Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2010-01-31,2010-02-05,2.0,,
2010-02-28,2010-03-05,1.9,2.0,2.1
2010-03-31,2010-04-02,1.8,1.9,1.9
2010-04-30,2010-05-07,1.6,1.8,1.8
2010-05-31,2010-06-04,1.9,1.6,1.6
2010-06-30,2010-07-02,1.7,2.0,2.0
2010-07-31,2010-08-06,1.8,1.6,1.6
2010-08-31,2010-09-03,1.7,1.6,1.6
2010-09-30,2010-10-08,1.7,1.7,1.7
2010-10-31,2010-11-05,1.7,1.6,1.6
2010-11-30,2010-12-03,1.6,1.7,1.7
2010-12-31,2011-01-07,1.8,1.8,1.8
2011-01-31,2011-02-04,1.9,1.7,1.7
2011-02-28,2011-03-04,1.7,1.9,1.9
2011-03-31,2011-04-01,1.7,1.9,1.9
2011-04-30,2011-05-06,1.9,1.8,1.8
2011-05-31,2011-06-03,1.8,1.9,1.9
2011-06-30,2011-07-08,1.9,1.9,1.9
2011-07-31,2011-08-05,2.3,1.9,1.9
2011-08-31,2011-09-02,1.9,2.2,2.2
2011-09-30,2011-10-07,1.9,1.9,1.9
2011-10-31,2011-11-04,1.8,1.8,1.8
2011-11-30,2011-12-02,1.8,2.0,2.0
2011-12-31,2012-01-06,2.1,2.1,2.0
2012-01-31,2012-02-03,1.9,1.9,1.9
2012-02-29,2012-03-09,1.9,2.0,2.0
2012-03-31,2012-04-06,2.1,1.9,1.9
2012-04-30,2012-05-04,1.8,2.0,2.0
2012-05-31,2012-06-01,1.7,1.8,1.8
2012-06-30,2012-07-06,2.0,1.7,1.7
2012-07-31,2012-08-03,1.7,1.7,1.8
2012-08-31,2012-09-07,1.7,1.9,1.9
2012-09-30,2012-10-05,1.8,1.8,1.7
2012-10-31,2012-11-02,1.6,1.7,1.7
2012-11-30,2012-12-07,1.7,1.7,1.7
2012-12-31,2013-01-04,2.1,1.7,1.7
2013-01-31,2013-02-01,2.1,2.1,2.1
2013-02-28,2013-03-08,2.1,2.1,2.1
2013-03-31,2013-04-05,1.8,2.0,2.1
2013-04-30,2013-05-03,1.9,1.9,1.9
2013-05-31,2013-06-07,2.0,2.1,2.1
2013-06-30,2013-07-05,2.2,1.9,1.9
2013-07-31,2013-08-02,1.9,2.2,2.2
2013-08-31,2013-09-06,2.2,2.1,2.1
2013-09-30,2013-10-22,2.1,2.1,2.1
2013-10-31,2013-11-08,2.2,2.3,2.3
2013-11-30,2013-12-06,2.0,2.0,2.0
2013-12-31,2014-01-10,1.8,1.9,1.8
2014-01-31,2014-02-07,1.9,1.8,1.8
2014-02-28,2014-03-07,2.2,2.0,2.0
2014-03-31,2014-04-04,2.1,2.3,2.3
2014-04-30,2014-05-02,1.9,2.1,2.1
2014-05-31,2014-06-06,2.1,2.0,2.0
2014-06-30,2014-07-03,2.0,1.9,1.9
2014-07-31,2014-08-01,2.0,2.2,2.2
2014-08-31,2014-09-05,2.1,2.1,2.1
2014-09-30,2014-10-03,2.0,2.2,2.2
2014-10-31,2014-11-07,2.0,2.1,2.1
2014-11-30,2014-12-05,2.1,2.1,2.1
2014-12-31,2015-01-09,1.7,2.2,2.2
2015-01-31,2015-02-06,2.2,1.9,1.8
2015-02-28,2015-03-06,2.0,2.2,2.2
