Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2006-11-30,2006-12-05,-22.7,,
2006-12-31,2007-01-04,-49.3,,
2007-01-31,2007-02-01,-39.1,,
2007-02-28,2007-03-01,-3.9,,
2007-03-31,2007-04-04,-24.6,,
2007-04-30,2007-05-02,18.4,,
2007-05-31,2007-06-06,32.4,,
2007-06-30,2007-07-05,-17.0,,
2007-07-31,2007-08-01,15.4,,
2007-08-31,2007-09-05,21.7,,
2007-09-30,2007-10-03,-28.5,,
2007-10-31,2007-11-01,-8.8,,
2007-11-30,2007-12-05,-4.7,,
2007-12-31,2008-01-03,-18.7,,
2008-01-31,2008-02-04,19.1,,
2008-02-29,2008-03-05,-14.2,,
2008-03-31,2008-04-02,9.4,,
2008-04-30,2008-05-01,27.4,,
2008-05-31,2008-06-04,45.6,,
2008-06-30,2008-07-02,46.7,,
2008-07-31,2008-08-04,140.8,,
2008-08-31,2008-09-03,11.7,,
2008-09-30,2008-10-01,32.6,,
2008-10-31,2008-11-05,78.9,,
2008-11-30,2008-12-03,148.4,,
2008-12-31,2009-01-07,274.5,,
2009-01-31,2009-02-04,222.4,,
2009-02-28,2009-03-04,158.5,,
2009-03-31,2009-04-01,180.7,,
2009-04-30,2009-05-06,47.0,,
2009-05-31,2009-06-03,7.4,,
2009-06-30,2009-07-01,-9.0,,
2009-07-31,2009-08-05,-5.7,,
2009-08-31,2009-09-02,-13.8,,
2009-09-30,2009-10-01,-30.2,,
2009-10-31,2009-11-04,-50.7,,
2009-11-30,2009-12-02,-72.3,,
2009-12-31,2010-01-06,-72.9,,
2010-01-31,2010-02-03,-70.4,,
2010-02-28,2010-03-03,-77.4,,
2010-03-31,2010-04-01,-55.0,,
2010-04-30,2010-05-05,-71.1,,
2010-05-31,2010-06-02,-65.1,,
2010-06-30,2010-07-01,-47.1,,
2010-07-31,2010-08-04,-57.2,,
2010-08-31,2010-09-01,-54.5,,
2010-09-30,2010-10-06,-44.1,,
2010-10-31,2010-11-03,-31.8,,
2010-11-30,2010-12-01,-3.3,,
2010-12-31,2011-01-05,-29.0,,
2011-01-31,2011-02-02,-46.1,,
2011-02-28,2011-03-02,20.5,,
2011-03-31,2011-03-30,-38.6,,
2011-04-30,2011-05-04,-4.8,,
2011-05-31,2011-06-01,-4.3,,
2011-06-30,2011-07-06,5.3,,
2011-07-31,2011-08-03,59.4,,
2011-08-31,2011-08-31,47.0,,
2011-09-30,2011-10-05,211.5,,
2011-10-31,2011-11-02,12.6,,
2011-11-30,2011-11-30,-12.8,,
2011-12-31,2012-01-05,30.6,,
2012-01-31,2012-02-02,38.9,,
2012-02-29,2012-03-08,2.0,,
2012-03-31,2012-04-05,-8.8,,
2012-04-30,2012-05-03,11.2,,
2012-05-31,2012-05-31,66.7,,
2012-06-30,2012-07-05,-9.4,,
2012-07-31,2012-08-02,-44.5,,
2012-08-31,2012-09-06,-36.9,,
2012-09-30,2012-10-04,-70.8,,
2012-10-31,2012-11-01,11.6,,
2012-11-30,2012-12-06,34.4,,
2012-12-31,2013-01-03,-22.1,,
2013-01-31,2013-01-31,-24.4,,
2013-02-28,2013-03-07,7.0,,
2013-03-31,2013-04-04,30.0,,
2013-04-30,2013-05-02,-6.0,,
2013-05-31,2013-06-06,-41.2,,
2013-06-30,2013-07-03,4.8,,
2013-07-31,2013-08-01,2.3,,
2013-08-31,2013-09-05,56.5,,
2013-09-30,2013-10-03,19.1,,
2013-10-31,2013-11-06,-4.2,,
2013-11-30,2013-12-05,-20.6,,
2013-12-31,2014-01-09,-5.9,,
2014-01-31,2014-02-06,11.6,,
2014-02-28,2014-03-06,-24.4,,
2014-03-31,2014-04-03,-30.2,,
2014-04-30,2014-05-01,5.7,,
2014-05-31,2014-06-05,45.5,,
2014-06-30,2014-07-03,-20.2,,
2014-07-31,2014-07-31,24.4,,
2014-08-31,2014-09-04,-20.7,,
2014-09-30,2014-10-02,-24.4,,
2014-10-31,2014-11-06,11.9,,
2014-11-30,2014-12-04,-20.7,,
2014-12-31,2015-01-08,6.6,,
2015-01-31,2015-02-05,17.6,,
2015-02-28,2015-03-05,20.9,,
2015-03-31,2015-04-02,6.4,,
2015-04-30,2015-05-07,52.8,,
2015-05-31,2015-06-04,-22.5,,
2015-06-30,2015-07-01,42.7,,
2015-07-31,2015-08-06,125.4,,
2015-08-31,2015-09-03,2.9,,
2015-09-30,2015-10-01,93.2,,
2015-10-31,2015-11-05,-1.3,,
2015-11-30,2015-12-03,-13.9,,
2015-12-31,2016-01-07,-27.6,,
2016-01-31,2016-02-04,41.6,,
2016-02-29,2016-03-03,21.8,,
2016-03-31,2016-03-31,31.7,,
2016-04-30,2016-05-05,5.8,,
2016-05-31,2016-06-02,-26.5,,
2016-06-30,2016-07-07,-14.1,,
2016-07-31,2016-08-04,-57.1,,
2016-08-31,2016-09-01,-21.8,,
2016-09-30,2016-10-06,-24.7,,
2016-10-31,2016-11-03,-39.1,,
2016-11-30,2016-12-01,-13.0,,
2016-12-31,2017-01-05,42.4,,
2017-01-31,2017-02-02,-38.8,,
2017-02-28,2017-03-09,-40.0,,
2017-03-31,2017-04-06,-2.0,,
2017-04-30,2017-05-04,-42.9,,
2017-05-31,2017-06-01,9.7,,
2017-06-30,2017-07-06,-19.3,,
2017-07-31,2017-08-03,-37.6,,
2017-08-31,2017-08-31,5.1,,
2017-09-30,2017-10-05,-27.0,,
2017-10-31,2017-11-02,-3.0,,
2017-11-30,2017-12-07,30.1,,
2017-12-31,2018-01-04,-3.6,,
2018-01-31,2018-02-01,-2.8,,
2018-02-28,2018-03-08,-4.3,,
2018-03-31,2018-04-05,39.4,,
2018-04-30,2018-05-03,-1.4,,
2018-05-31,2018-05-31,-4.8,,
2018-06-30,2018-07-05,19.6,,
2018-07-31,2018-08-02,-4.2,,
2018-08-31,2018-09-06,13.7,,
2018-09-30,2018-10-04,70.9,,
2018-10-31,2018-11-01,153.6,,
2018-11-30,2018-12-06,51.5,,
2018-12-31,2019-01-03,35.3,,
2019-01-31,2019-01-31,18.7,,
2019-02-28,2019-03-07,117.2,,
2019-03-31,2019-04-04,0.4,,
2019-04-30,2019-05-02,10.9,,
2019-05-31,2019-06-06,85.9,,
2019-06-30,2019-07-03,12.8,,
2019-07-31,2019-08-01,43.2,,
2019-08-31,2019-09-05,39.0,,
2019-09-30,2019-10-03,-24.8,,
2019-10-31,2019-10-31,-33.5,,
2019-11-30,2019-12-05,-16.0,,
2019-12-31,2020-01-02,-25.2,,
2020-01-31,2020-02-06,27.8,,
