Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2011-08-25,2011-08-25,0.7,,
2011-08-30,2011-08-30,1.4,,
2011-08-31,2011-08-31,1.6,,
2011-09-01,2011-09-01,1.4,,
2011-09-02,2011-09-02,1.4,,
2011-09-06,2011-09-06,1.4,,
2011-09-08,2011-09-08,2.3,,
2011-09-09,2011-09-09,2.4,,
2011-09-12,2011-09-12,2.4,,
2011-09-13,2011-09-13,2.6,,
2011-09-14,2011-09-14,2.0,,
2011-09-15,2011-09-15,2.1,,
2011-09-16,2011-09-16,2.1,,
2011-09-20,2011-09-20,2.1,,
2011-09-21,2011-09-21,2.2,,
2011-09-26,2011-09-26,2.2,,
2011-09-27,2011-09-27,2.2,,
2011-09-28,2011-09-28,2.3,,
2011-09-30,2011-09-30,2.1,,
2011-10-03,2011-10-03,2.6,,
2011-10-04,2011-10-04,2.5,,
2011-10-05,2011-10-05,2.6,,
2011-10-07,2011-10-07,2.5,,
2011-10-13,2011-10-13,2.5,,
2011-10-14,2011-10-14,3.0,,
2011-10-17,2011-10-17,3.2,,
2011-10-18,2011-10-18,3.1,,
2011-10-19,2011-10-19,3.3,,
2011-10-20,2011-10-20,3.2,,
2011-10-28,2011-10-28,2.3,,
2011-11-01,2011-11-01,2.2,,
2011-11-02,2011-11-02,2.3,,
2011-11-03,2011-11-03,2.4,,
2011-11-04,2011-11-04,2.6,,
2011-11-09,2011-11-09,3.1,,
2011-11-10,2011-11-10,3.3,,
2011-11-15,2011-11-15,3.7,,
2011-11-16,2011-11-16,3.7,,
2011-11-17,2011-11-17,3.7,,
2011-11-21,2011-11-21,3.7,,
2011-11-22,2011-11-22,3.5,,
2011-11-23,2011-11-23,3.2,,
2011-11-28,2011-11-28,3.2,,
2011-12-01,2011-12-01,4.0,,
2011-12-02,2011-12-02,4.0,,
2011-12-05,2011-12-05,4.4,,
2011-12-08,2011-12-08,5.1,,
2011-12-09,2011-12-09,5.8,,
2011-12-13,2011-12-13,5.6,,
2011-12-15,2011-12-15,5.5,,
2011-12-16,2011-12-16,5.6,,
2011-12-20,2011-12-20,5.6,,
2011-12-21,2011-12-21,5.6,,
2011-12-29,2011-12-29,4.9,,
2012-01-03,2012-01-03,5.3,,
2012-01-09,2012-01-09,5.5,,
2012-01-10,2012-01-10,5.2,,
2012-02-03,2012-02-03,2.8,,
2012-02-09,2012-02-09,2.3,,
2012-02-10,2012-02-10,2.3,,
2012-02-14,2012-02-14,2.1,,
2012-02-15,2012-02-15,2.1,,
2012-02-16,2012-02-16,2.1,,
2012-02-17,2012-02-17,1.9,,
2012-02-22,2012-02-22,1.9,,
2012-02-24,2012-02-24,1.9,,
2012-02-28,2012-02-28,1.9,,
2012-03-01,2012-03-01,1.1,,
2012-03-05,2012-03-05,1.1,,
2012-03-09,2012-03-09,0.6,,
2012-03-13,2012-03-13,1.3,,
2012-03-16,2012-03-16,1.1,,
2012-03-20,2012-03-20,1.2,,
2012-03-21,2012-03-21,1.2,,
2012-03-23,2012-03-23,1.2,,
