Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2009-12-31,2010-01-08,,,
2010-01-31,2010-02-05,,,
2010-02-28,2010-03-05,,,
2010-03-31,2010-04-02,,,
2010-04-30,2010-05-07,,,
2010-05-31,2010-06-04,,,
2010-06-30,2010-07-02,,,
2010-07-31,2010-08-06,,,
2010-08-31,2010-09-03,,,
2010-09-30,2010-10-08,,,
2010-10-31,2010-11-05,,,
2010-11-30,2010-12-03,,,
2011-07-31,2011-08-05,,,
2011-08-31,2011-09-02,16.2,,
2011-09-30,2011-10-07,16.5,,
2011-10-31,2011-11-04,16.2,,
2011-11-30,2011-12-02,15.6,,
2011-12-31,2012-01-06,15.2,,
2012-01-31,2012-02-03,15.1,,
2012-02-29,2012-03-09,14.9,,
2012-03-31,2012-04-06,14.5,,
2012-04-30,2012-05-04,14.5,,
2012-05-31,2012-06-01,14.8,,
2012-06-30,2012-07-06,14.9,,
2012-07-31,2012-08-03,15.0,,
2012-08-31,2012-09-07,14.7,,
2012-09-30,2012-10-05,14.7,,
2012-10-31,2012-11-02,14.6,,
2012-11-30,2012-12-07,14.4,,
2012-12-31,2013-01-04,14.4,,
2013-01-31,2013-02-01,14.4,,
2013-02-28,2013-03-08,14.3,,
2013-03-31,2013-04-05,13.8,,
2013-04-30,2013-05-03,13.9,,
2013-05-31,2013-06-07,13.8,,
2013-06-30,2013-07-05,14.3,,
2013-07-31,2013-08-02,14.0,,
2013-08-31,2013-09-06,13.7,,
2013-09-30,2013-10-22,13.6,,
2013-10-31,2013-11-08,13.8,,
2013-11-30,2013-12-06,13.2,,
2013-12-31,2014-01-10,13.1,,
2014-01-31,2014-02-07,12.7,,
2014-02-28,2014-03-07,12.6,,
2014-03-31,2014-04-04,12.7,,
2014-04-30,2014-05-02,12.3,,
2014-05-31,2014-06-06,12.2,,
2014-06-30,2014-07-03,12.1,,
2014-07-31,2014-08-01,12.2,,
2014-08-31,2014-09-05,12.0,,
2014-09-30,2014-10-03,11.8,,
2014-10-31,2014-11-07,11.5,,
2014-11-30,2014-12-05,11.4,,
2014-12-31,2015-01-09,11.2,,
2015-01-31,2015-02-06,11.3,,
2015-02-28,2015-03-06,11.0,,
2015-03-31,2015-04-03,10.9,,
2015-04-30,2015-05-08,10.8,,
2015-05-31,2015-06-05,10.8,,
2015-06-30,2015-07-02,10.5,10.7,10.6
2015-07-31,2015-08-07,10.4,10.5,10.5
2015-08-31,2015-09-04,10.3,,
2015-09-30,2015-10-02,10.0,,
2015-10-31,2015-11-06,9.8,9.9,9.9
2015-11-30,2015-12-04,9.9,9.7,9.7
2015-12-31,2016-01-08,9.9,,
2016-01-31,2016-02-05,9.9,,
2016-02-29,2016-03-04,9.7,,
2016-03-31,2016-04-01,9.8,,
2016-04-30,2016-05-06,9.7,,
2016-05-31,2016-06-03,9.7,,
2016-06-30,2016-07-08,9.6,,
2016-07-31,2016-08-05,9.7,,
2016-08-31,2016-09-02,9.7,,
2016-09-30,2016-10-07,9.7,,
2016-10-31,2016-11-04,9.5,,
