Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2009-12-31,2010-01-20,10.9,,
2010-01-31,2010-02-17,-4.9,-5.1,-5.9
2010-02-28,2010-03-16,-1.6,-3.4,-3.1
2010-03-31,2010-04-16,7.5,-1.9,-1.5
2010-04-30,2010-05-18,-11.5,0.0,0.1
2010-05-31,2010-06-16,-5.9,2.5,2.7
2010-06-30,2010-07-20,2.1,0.2,-0.6
2010-07-31,2010-08-17,-3.1,-0.5,-1.1
2010-08-31,2010-09-21,1.8,0.2,0.1
2010-09-30,2010-10-19,-5.6,0.7,0.4
2010-10-31,2010-11-17,0.5,3.9,3.4
2010-11-30,2010-12-16,-4.0,1.5,1.1
2010-12-31,2011-01-19,16.7,1.8,1.8
2011-01-31,2011-02-16,-10.4,-10.9,-11.5
2011-02-28,2011-03-16,-8.2,1.2,1.3
2011-03-31,2011-04-19,11.2,1.1,1.5
2011-04-30,2011-05-17,-4.0,0.9,0.0
2011-05-31,2011-06-16,8.7,-1.1,-1.1
2011-06-30,2011-07-19,2.5,-2.3,-2.2
2011-07-31,2011-08-16,-3.2,-1.9,-1.8
2011-08-31,2011-09-20,3.2,-1.8,-1.6
2011-09-30,2011-10-19,-5.0,-2.4,-2.0
2011-10-31,2011-11-17,10.9,2.4,2.3
2011-11-30,2011-12-20,5.7,-1.4,-1.3
2011-12-31,2012-01-19,-0.1,-0.2,0.0
2012-01-31,2012-02-16,0.7,0.6,0.6
2012-02-29,2012-03-20,5.1,0.6,1.2
2012-03-31,2012-04-17,4.5,-0.7,-0.8
2012-04-30,2012-05-16,-7.0,-4.5,-4.6
2012-05-31,2012-06-19,7.9,1.0,0.9
2012-06-30,2012-07-18,-3.7,-2.4,-2.1
2012-07-31,2012-08-16,6.8,1.2,1.1
2012-08-31,2012-09-19,-1.0,-1.9,-1.8
2012-09-30,2012-10-17,11.6,1.1,1.1
2012-10-31,2012-11-20,-2.7,-2.9,-3.1
2012-11-30,2012-12-19,3.6,0.8,1.3
2012-12-31,2013-01-17,0.3,0.5,0.4
2013-01-31,2013-02-20,1.8,1.2,1.3
2013-02-28,2013-03-19,4.6,2.3,2.5
2013-03-31,2013-04-16,-3.9,0.3,0.2
2013-04-30,2013-05-16,14.3,3.8,3.7
2013-05-31,2013-06-18,-3.1,-3.0,-2.8
2013-06-30,2013-07-17,-7.5,1.5,1.2
2013-07-31,2013-08-16,2.7,2.9,2.8
2013-08-31,2013-09-18,-3.8,-0.4,-0.5
2013-09-30,2013-11-26,5.2,1.0,1.1
2013-10-31,2013-11-26,6.2,,
2013-11-30,2013-12-18,-3.1,-4.7,-4.7
2013-12-31,2014-01-17,-3.0,-0.3,-0.3
2014-01-31,2014-02-19,-5.4,-1.6,-1.6
2014-02-28,2014-03-18,7.7,1.6,1.4
2014-03-31,2014-04-16,-2.4,-0.4,-0.2
2014-04-30,2014-05-16,8.0,1.3,1.5
2014-05-31,2014-06-17,-6.4,-0.9,-0.7
2014-06-30,2014-07-17,-4.2,3.0,3.2
2014-07-31,2014-08-19,8.1,2.8,2.8
2014-08-31,2014-09-18,-5.6,-1.6,-1.5
2014-09-30,2014-10-17,1.5,2.7,2.8
2014-10-31,2014-11-19,4.8,0.9,0.9
2014-11-30,2014-12-16,-5.2,-2.5,-2.4
2014-12-31,2015-01-21,-1.9,0.8,0.6
2015-01-31,2015-02-18,-0.7,0.9,0.8
2015-02-28,2015-03-17,3.0,0.5,0.1
2015-03-31,2015-04-16,-5.7,-1.9,-1.6
