Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-16,74.3,74.3,74.3119
2003-07-31,2003-08-15,74.5,74.4,74.375
2003-08-31,2003-09-15,74.6,74.6,74.634
2003-09-30,2003-10-16,74.7,74.8,74.8567
2003-10-31,2003-11-14,75.0,75.0,74.9585
2003-11-30,2003-12-16,75.7,75.4,75.3492
2003-12-31,2004-01-16,75.8,76.0,75.9883
2004-01-31,2004-02-17,76.2,76.4,76.3296
2004-02-29,2004-03-15,76.6,76.4,76.395
2004-03-31,2004-04-16,76.5,76.8,76.7947
2004-04-30,2004-05-14,76.9,76.7,76.7828
2004-05-31,2004-06-16,77.8,77.5,77.4492
2004-06-30,2004-07-15,77.2,77.7,77.6931
2004-07-31,2004-08-17,77.1,77.5,77.4948
2004-08-31,2004-09-15,77.3,77.4,77.38
2004-09-30,2004-10-15,77.2,77.5,77.4279
2004-10-31,2004-11-17,77.7,77.4,77.3735
2004-11-30,2004-12-14,77.6,77.8,77.7651
2004-12-31,2005-01-14,79.2,78.9,78.9
2005-01-31,2005-02-16,79.0,79.3,79.3138
2005-02-28,2005-03-16,79.4,79.2,79.246
2005-03-31,2005-04-15,79.4,79.6,79.5485
2005-04-30,2005-05-17,79.2,79.5,79.479
2005-05-31,2005-06-15,79.4,79.3,79.2759
2005-06-30,2005-07-15,80.0,79.6,79.6082
2005-07-31,2005-08-16,79.7,80.3,80.2833
2005-08-31,2005-09-14,79.8,79.8,79.8415
2005-09-30,2005-10-14,78.6,79.4,79.3759
2005-10-31,2005-11-17,79.5,79.6,79.5792
2005-11-30,2005-12-15,80.2,79.8,79.7797
2005-12-31,2006-01-17,80.7,80.5,80.514
2006-01-31,2006-02-15,80.9,80.8,80.7492
2006-02-28,2006-03-17,81.2,81.4,81.414
2006-03-31,2006-04-14,81.3,81.4,81.4153
2006-04-30,2006-05-16,81.9,81.5,81.515
2006-05-31,2006-06-15,81.7,81.9,81.918
2006-06-30,2006-07-17,82.4,82.0,81.9627
2006-07-31,2006-08-16,82.4,82.7,82.6596
2006-08-31,2006-09-15,82.4,82.5,82.4632
2006-09-30,2006-10-17,81.9,82.2,82.192
2006-10-31,2006-11-16,82.2,82.0,81.9668
2006-11-30,2006-12-15,81.8,82.1,82.0879
2006-12-31,2007-01-17,81.8,81.7,81.6873
2007-01-31,2007-02-15,81.2,81.65,81.6139
2007-02-28,2007-03-16,82.0,81.3,81.3446
