Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,-9.2,,
2003-09-30,2003-09-30,2.8,,
2003-12-31,2003-12-31,46.2,,
2004-03-31,2004-03-31,58.7,,
2004-06-30,2004-06-30,97.7,,
2004-09-30,2004-09-30,83.1,,
2004-12-31,2004-12-31,91.1,,
2005-03-31,2005-03-31,124.9,,
2005-06-30,2005-06-30,24.7,,
2005-09-30,2005-09-30,7.9,,
2005-12-31,2005-12-31,97.4,,
2006-03-31,2006-03-31,102.7,,
2006-06-30,2006-06-30,92.7,,
2006-09-30,2006-09-30,97.3,,
2006-12-31,2006-12-31,55.7,,
2007-03-31,2007-03-31,29.7,,
2007-06-30,2007-06-30,54.9,,
2007-09-30,2007-09-30,36.3,,
2007-12-31,2007-12-31,31.2,,
2008-03-31,2008-03-31,-6.8,,
2008-06-30,2008-06-30,-29.6,,
2008-09-30,2008-09-30,-14.8,,
2008-12-31,2008-12-31,-78.1,,
2009-03-31,2009-03-31,-167.7,,
2009-06-30,2009-06-30,-219.1,,
2009-09-30,2009-09-30,-236.8,,
2009-12-31,2009-12-31,-57.5,,
2010-03-31,2010-03-31,-6.9,,
2010-06-30,2010-06-30,35.3,,
2010-09-30,2010-09-30,120.3,,
2010-12-31,2010-12-31,68.9,,
2011-03-31,2011-03-31,29.1,,
2011-06-30,2011-06-30,65.5,,
2011-09-30,2011-09-30,-14.9,,
2011-12-31,2011-12-31,97.7,,
2012-03-31,2012-03-31,77.8,,
2012-06-30,2012-06-30,89.5,,
2012-09-30,2012-09-30,85.5,,
2012-12-31,2012-12-31,24.0,,
2013-03-31,2013-03-31,75.9,,
2013-06-30,2013-06-30,79.5,,
2013-09-30,2013-09-30,137.3,,
2013-12-31,2013-12-31,121.4,,
2014-03-31,2014-03-31,58.3,,
2014-06-30,2014-06-30,92.8,,
2014-09-30,2014-09-30,106.0,,
2014-12-31,2014-12-31,83.2,,
2015-03-31,2015-03-31,169.4,,
2015-06-30,2015-06-30,145.3,,
2015-09-30,2015-09-30,120.3,,
2015-12-31,2015-12-31,99.6,,
2016-03-31,2016-03-31,62.4,,
2016-06-30,2016-06-30,19.2,,
2016-09-30,2016-09-30,-3.7,,
2016-12-31,2016-12-31,55.6,,
2017-03-31,2017-03-31,7.0,,
2017-06-30,2017-06-30,26.0,,
2017-09-30,2017-09-30,55.5,,
2017-12-31,2017-12-31,42.1,,
2018-03-31,2018-03-31,34.1,,
2018-06-30,2018-06-30,0.5,,
2018-09-30,2018-09-30,92.9,,
2018-12-31,2018-12-31,89.8,,
2019-03-31,2019-03-31,114.3,,
2019-06-30,2019-06-30,82.5,,
2019-09-30,2019-09-30,67.5,,
2019-12-31,2019-12-31,25.3,,
2020-03-31,2020-03-31,-43.0,,
2020-06-30,2020-06-30,-262.5,,
2020-09-30,2020-09-30,107.5,,
2020-12-31,2020-12-31,79.5,,
2021-03-31,2021-03-31,-22.0,,
2021-06-30,2021-06-30,-141.0,,
2021-09-30,2021-09-30,9.5,,
2021-12-31,2021-12-31,200.1,,
2022-03-31,2022-03-31,195.8,,
2022-06-30,2022-06-30,86.7,,
2022-09-30,2022-09-30,58.8,,
2022-12-31,2022-12-31,135.1,,
2023-03-31,2023-03-31,20.6,,
2023-06-30,2023-06-30,-0.2,,
2023-09-30,2023-09-30,67.2,,
2023-12-31,2023-12-31,44.6,,
2024-03-31,2024-03-31,17.7,,
2024-06-30,2024-06-30,71.7,,
2024-09-30,2024-09-30,57.9,,
2024-12-31,2024-12-31,8.9,,
2025-03-31,2025-03-31,163.0,,
