Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2009-05-31,2009-06-29,-2.3,,
2009-06-30,2009-07-21,-1.8,-1.3,-1.4333
2009-07-31,2009-08-24,-0.74,,
2009-08-31,2009-09-28,-0.9,,
2009-09-30,2009-10-26,-0.81,,
2009-10-31,2009-11-23,-1.08,,
2009-11-30,2009-12-21,-0.32,,
2009-12-31,2010-01-28,-0.61,-0.4,-0.372
2010-01-31,2010-02-22,0.02,-0.19,-0.2633
2010-02-28,2010-03-22,-0.64,,
2010-03-31,2010-04-29,-0.07,-0.2,-0.2467
2010-04-30,2010-05-24,0.29,,
2010-05-31,2010-06-28,0.21,0.32,0.6567
2010-06-30,2010-07-26,-0.63,,
2010-07-31,2010-08-23,0.0,-0.1,-0.22
2010-08-31,2010-09-27,-0.53,-0.5,-0.6067
2010-09-30,2010-10-25,-0.58,-0.3,-0.2633
2010-10-31,2010-11-22,-0.28,-0.3,-0.286
2010-11-30,2010-12-20,-0.46,0.0,-0.002
2010-12-31,2011-01-27,0.03,0.11,0.164
2011-01-31,2011-02-24,-0.16,0.09,0.0017
2011-02-28,2011-03-21,-0.04,-0.2,-0.1033
2011-03-31,2011-04-28,0.26,0.5,0.4467
2011-04-30,2011-05-23,-0.45,0.2,0.136
2011-05-31,2011-06-23,-0.37,-0.045,-0.12
2011-06-30,2011-07-25,-0.46,-0.4,-0.394
2011-07-31,2011-08-22,-0.06,-0.48,-0.2957
2011-08-31,2011-09-26,-0.43,-0.37,-0.3733
2011-09-30,2011-10-24,-0.22,-0.1,-0.1886
2011-10-31,2011-11-21,-0.13,0.19,0.1933
2011-11-30,2011-12-22,-0.37,-0.165,-0.23
2011-12-31,2012-01-26,0.17,-0.115,-0.0825
2012-01-31,2012-02-21,0.22,0.21,0.1983
2012-02-29,2012-03-26,-0.09,0.0,0.0167
2012-03-31,2012-04-26,-0.29,,
2012-04-30,2012-05-21,0.11,,
2012-05-31,2012-06-25,-0.45,-0.3,-0.325
2012-06-30,2012-07-23,-0.15,,
2012-07-31,2012-08-20,-0.13,-0.05,0.0
2012-08-31,2012-09-24,-0.87,,
2012-09-30,2012-10-25,0.0,-0.2,-0.1
2012-10-31,2012-11-26,-0.56,,
2012-11-30,2012-12-21,0.1,,
2012-12-31,2013-01-22,0.02,,
2013-01-31,2013-02-25,-0.32,,
2013-02-28,2013-03-25,0.44,,
2013-03-31,2013-04-22,-0.23,0.285,0.2925
2013-04-30,2013-05-20,-0.53,,
2013-05-31,2013-06-24,-0.3,-0.1,-0.07
2013-06-30,2013-07-22,-0.13,0.0,0.3
2013-07-31,2013-08-20,-0.15,-0.1,-0.0625
2013-08-31,2013-09-23,0.14,-0.05,-0.05
2013-09-30,2013-11-12,0.14,0.15,0.14
2013-10-31,2013-11-27,-0.18,0.1,0.2813
