Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,0.636,,
2003-07-31,2003-07-31,0.593,,
2003-08-31,2003-08-31,0.557,,
2003-09-30,2003-09-30,0.519,,
2003-10-31,2003-10-31,0.566,,
2003-11-30,2003-11-30,0.577,,
2003-12-31,2003-12-31,0.549,,
2004-01-31,2004-01-31,0.534,,
2004-02-29,2004-02-29,0.508,,
2004-03-31,2004-03-31,0.593,,
2004-04-30,2004-04-30,0.541,,
2004-05-31,2004-05-31,0.538,,
2004-06-30,2004-06-30,0.467,,
2004-07-31,2004-07-31,0.555,,
2004-08-31,2004-08-31,0.594,,
2004-09-30,2004-09-30,0.579,,
2004-10-31,2004-10-31,0.581,,
2004-11-30,2004-11-30,0.562,,
2004-12-31,2004-12-31,0.577,,
2005-01-31,2005-01-31,0.561,,
2005-02-28,2005-02-28,0.574,,
2005-03-31,2005-03-31,0.522,,
2005-04-30,2005-04-30,0.54,,
2005-05-31,2005-05-31,0.544,,
2005-06-30,2005-06-30,0.501,,
2005-07-31,2005-07-31,0.458,,
2005-08-31,2005-08-31,0.515,,
2005-09-30,2005-09-30,0.57,,
2005-10-31,2005-10-31,0.501,,
2005-11-30,2005-11-30,0.478,,
2005-12-31,2005-12-31,0.497,,
2006-01-31,2006-01-31,0.475,,
2006-02-28,2006-02-28,0.475,,
2006-03-31,2006-03-31,0.46,,
2006-04-30,2006-04-30,0.526,,
2006-05-31,2006-05-31,0.475,,
2006-06-30,2006-06-30,0.491,,
2006-07-31,2006-07-31,0.483,,
2006-08-31,2006-08-31,0.449,,
2006-09-30,2006-09-30,0.476,,
2006-10-31,2006-10-31,0.449,,
2006-11-30,2006-11-30,0.469,,
2006-12-31,2006-12-31,0.438,,
2007-01-31,2007-01-31,0.503,,
2007-02-28,2007-02-28,0.467,,
2007-03-31,2007-03-31,0.463,,
2007-04-30,2007-04-30,0.471,,
2007-05-31,2007-05-31,0.459,,
2007-06-30,2007-06-30,0.484,,
2007-07-31,2007-07-31,0.512,,
2007-08-31,2007-08-31,0.502,,
2007-09-30,2007-09-30,0.496,,
2007-10-31,2007-10-31,0.504,,
2007-11-30,2007-11-30,0.51,,
2007-12-31,2007-12-31,0.578,,
2008-01-31,2008-01-31,0.504,,
2008-02-29,2008-02-29,0.547,,
2008-03-31,2008-03-31,0.582,,
2008-04-30,2008-04-30,0.535,,
2008-05-31,2008-05-31,0.604,,
2008-06-30,2008-06-30,0.6,,
2008-07-31,2008-07-31,0.605,,
2008-08-31,2008-08-31,0.632,,
2008-09-30,2008-09-30,0.631,,
2008-10-31,2008-10-31,0.65,,
2008-11-30,2008-11-30,0.709,,
2008-12-31,2008-12-31,0.754,,
2009-01-31,2009-01-31,0.829,,
2009-02-28,2009-02-28,0.944,,
2009-03-31,2009-03-31,0.884,,
2009-04-30,2009-04-30,0.872,,
2009-05-31,2009-05-31,0.911,,
2009-06-30,2009-06-30,0.925,,
2009-07-31,2009-07-31,0.889,,
2009-08-31,2009-08-31,0.925,,
2009-09-30,2009-09-30,0.914,,
2009-10-31,2009-10-31,0.973,,
2009-11-30,2009-11-30,0.917,,
2009-12-31,2009-12-31,0.922,,
2010-01-31,2010-01-31,0.946,,
2010-02-28,2010-02-28,0.86,,
2010-03-31,2010-03-31,0.894,,
2010-04-30,2010-04-30,0.904,,
2010-05-31,2010-05-31,0.864,,
2010-06-30,2010-06-30,0.847,,
2010-07-31,2010-07-31,0.886,,
2010-08-31,2010-08-31,0.885,,
2010-09-30,2010-09-30,0.947,,
2010-10-31,2010-10-31,0.963,,
2010-11-30,2010-11-30,1.045,,
2010-12-31,2010-12-31,0.985,,
2011-01-31,2011-01-31,0.922,,
2011-02-28,2011-02-28,0.894,,
2011-03-31,2011-03-31,0.913,,
2011-04-30,2011-04-30,0.929,,
2011-05-31,2011-05-31,0.895,,
2011-06-30,2011-06-30,0.913,,
2011-07-31,2011-07-31,0.892,,
2011-08-31,2011-08-31,0.912,,
2011-09-30,2011-09-30,0.93,,
2011-10-31,2011-10-31,0.912,,
2011-11-30,2011-11-30,0.908,,
2011-12-31,2011-12-31,0.837,,
2012-01-31,2012-01-31,0.806,,
2012-02-29,2012-02-29,0.833,,
2012-03-31,2012-03-31,0.816,,
2012-04-30,2012-04-30,0.8,,
2012-05-31,2012-05-31,0.833,,
2012-06-30,2012-06-30,0.847,,
2012-07-31,2012-07-31,0.837,,
2012-08-31,2012-08-31,0.808,,
2012-09-30,2012-09-30,0.698,,
2012-10-31,2012-10-31,0.779,,
2012-11-30,2012-11-30,0.785,,
2012-12-31,2012-12-31,0.815,,
2013-01-31,2013-01-31,0.846,,
2013-02-28,2013-02-28,0.826,,
2013-03-31,2013-03-31,0.799,,
2013-04-30,2013-04-30,0.797,,
2013-05-31,2013-05-31,0.833,,
2013-06-30,2013-06-30,0.792,,
2013-07-31,2013-07-31,0.701,,
2013-08-31,2013-08-31,0.748,,
2013-09-30,2013-09-30,0.786,,
2013-10-31,2013-10-31,0.745,,
2013-11-30,2013-11-30,0.773,,
2013-12-31,2013-12-31,0.751,,
2014-01-31,2014-01-31,0.689,,
2014-02-28,2014-02-28,0.76,,
2014-03-31,2014-03-31,0.714,,
2014-04-30,2014-04-30,0.711,,
2014-05-31,2014-05-31,0.677,,
2014-06-30,2014-06-30,0.665,,
2014-07-31,2014-07-31,0.741,,
2014-08-31,2014-08-31,0.683,,
2014-09-30,2014-09-30,0.621,,
2014-10-31,2014-10-31,0.621,,
2014-11-30,2014-11-30,0.629,,
2014-12-31,2014-12-31,0.636,,
2015-01-31,2015-01-31,0.618,,
2015-02-28,2015-02-28,0.608,,
2015-03-31,2015-03-31,0.607,,
2015-04-30,2015-04-30,0.583,,
2015-05-31,2015-05-31,0.656,,
2015-06-30,2015-06-30,0.576,,
2015-07-31,2015-07-31,0.585,,
2015-08-31,2015-08-31,0.576,,
2015-09-30,2015-09-30,0.531,,
2015-10-31,2015-10-31,0.553,,
2015-11-30,2015-11-30,0.532,,
2015-12-31,2015-12-31,0.523,,
2016-01-31,2016-01-31,0.543,,
2016-02-29,2016-02-29,0.515,,
2016-03-31,2016-03-31,0.537,,
2016-04-30,2016-04-30,0.595,,
2016-05-31,2016-05-31,0.492,,
2016-06-30,2016-06-30,0.478,,
2016-07-31,2016-07-31,0.464,,
2016-08-31,2016-08-31,0.5,,
2016-09-30,2016-09-30,0.549,,
2016-10-31,2016-10-31,0.52,,
2016-11-30,2016-11-30,0.466,,
2016-12-31,2016-12-31,0.434,,
2017-01-31,2017-01-31,0.397,,
2017-02-28,2017-02-28,0.415,,
2017-03-31,2017-03-31,0.486,,
2017-04-30,2017-04-30,0.521,,
2017-05-31,2017-05-31,0.505,,
2017-06-30,2017-06-30,0.48,,
2017-07-31,2017-07-31,0.413,,
2017-08-31,2017-08-31,0.438,,
2017-09-30,2017-09-30,0.425,,
2017-10-31,2017-10-31,0.422,,
2017-11-30,2017-11-30,0.398,,
2017-12-31,2017-12-31,0.42,,
2018-01-31,2018-01-31,0.425,,
2018-02-28,2018-02-28,0.402,,
2018-03-31,2018-03-31,0.396,,
2018-04-30,2018-04-30,0.452,,
2018-05-31,2018-05-31,0.4,,
2018-06-30,2018-06-30,0.422,,
2018-07-31,2018-07-31,0.42,,
2018-08-31,2018-08-31,0.408,,
2018-09-30,2018-09-30,0.452,,
2018-10-31,2018-10-31,0.438,,
2018-11-30,2018-11-30,0.415,,
2018-12-31,2018-12-31,0.425,,
2019-01-31,2019-01-31,0.433,,
2019-02-28,2019-02-28,0.436,,
2019-03-31,2019-03-31,0.349,,
2019-04-30,2019-04-30,0.418,,
2019-05-31,2019-05-31,0.321,,
2019-06-30,2019-06-30,0.359,,
2019-07-31,2019-07-31,0.372,,
2019-08-31,2019-08-31,0.402,,
2019-09-30,2019-09-30,0.324,,
2019-10-31,2019-10-31,0.415,,
2019-11-30,2019-11-30,0.37,,
2019-12-31,2019-12-31,0.352,,
2020-01-31,2020-01-31,0.387,,
2020-02-29,2020-02-29,0.383,,
2020-03-31,2020-03-31,0.386,,
2020-04-30,2020-04-30,0.392,,
2020-05-31,2020-05-31,0.418,,
2020-06-30,2020-06-30,0.509,,
2020-07-31,2020-07-31,0.504,,
2020-08-31,2020-08-31,0.465,,
2020-09-30,2020-09-30,0.471,,
2020-10-31,2020-10-31,0.535,,
2020-11-30,2020-11-30,0.608,,
2020-12-31,2020-12-31,0.494,,
2021-01-31,2021-01-31,0.468,,
2021-02-28,2021-02-28,0.539,,
2021-03-31,2021-03-31,0.469,,
2021-04-30,2021-04-30,0.477,,
2021-05-31,2021-05-31,0.482,,
2021-06-30,2021-06-30,0.489,,
2021-07-31,2021-07-31,0.488,,
2021-08-31,2021-08-31,0.448,,
2021-09-30,2021-09-30,0.417,,
2021-10-31,2021-10-31,0.344,,
2021-11-30,2021-11-30,0.362,,
2021-12-31,2021-12-31,0.36,,
2022-01-31,2022-01-31,0.386,,
2022-02-28,2022-02-28,0.35,,
2022-03-31,2022-03-31,0.396,,
2022-04-30,2022-04-30,0.368,,
2022-05-31,2022-05-31,0.328,,
2022-06-30,2022-06-30,0.333,,
2022-07-31,2022-07-31,0.359,,
2022-08-31,2022-08-31,0.354,,
2022-09-30,2022-09-30,0.336,,
2022-10-31,2022-10-31,0.35,,
2022-11-30,2022-11-30,0.369,,
2022-12-31,2022-12-31,0.288,,
2023-01-31,2023-01-31,0.325,,
2023-02-28,2023-02-28,0.334,,
2023-03-31,2023-03-31,0.339,,
2023-04-30,2023-04-30,0.294,,
2023-05-31,2023-05-31,0.363,,
2023-06-30,2023-06-30,0.339,,
2023-07-31,2023-07-31,0.348,,
2023-08-31,2023-08-31,0.35,,
2023-09-30,2023-09-30,0.379,,
2023-10-31,2023-10-31,0.347,,
2023-11-30,2023-11-30,0.346,,
2023-12-31,2023-12-31,0.36,,
2024-01-31,2024-01-31,0.357,,
2024-02-29,2024-02-29,0.394,,
2024-03-31,2024-03-31,0.361,,
2024-04-30,2024-04-30,0.366,,
2024-05-31,2024-05-31,0.369,,
2024-06-30,2024-06-30,0.428,,
2024-07-31,2024-07-31,0.443,,
2024-08-31,2024-08-31,0.455,,
2024-09-30,2024-09-30,0.391,,
2024-10-31,2024-10-31,0.428,,
2024-11-30,2024-11-30,0.437,,
2024-12-31,2024-12-31,0.405,,
2025-01-31,2025-01-31,0.406,,
2025-02-28,2025-02-28,0.441,,
2025-03-31,2025-03-31,0.406,,
