Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-24,83.5,82.0,82.19
2003-07-31,2003-07-29,76.6,85.0,84.8
2003-08-31,2003-08-26,81.3,80.0,79.35
2003-09-30,2003-09-30,76.8,80.5,80.9
2003-10-31,2003-10-28,81.1,79.25,79.26
2003-11-30,2003-11-25,91.7,85.0,85.34
2003-12-31,2003-12-30,91.3,91.75,91.8
2004-01-31,2004-01-27,96.8,98.5,98.53
2004-02-29,2004-02-24,87.3,92.5,92.7
2004-03-31,2004-03-30,88.3,86.0,86.46
2004-04-30,2004-04-27,92.9,88.5,88.55
2004-05-31,2004-05-25,93.2,94.0,93.56
2004-06-30,2004-06-29,101.9,95.0,95.36
2004-07-31,2004-07-27,106.1,102.0,101.89
2004-08-31,2004-08-31,98.0,103.5,103.24
2004-09-30,2004-09-28,96.8,99.5,99.24
2004-10-31,2004-10-26,92.8,94.0,93.25
2004-11-30,2004-11-30,90.5,96.0,95.97
2004-12-31,2004-12-28,102.3,94.0,94.2
2005-01-31,2005-01-25,103.4,101.0,101.13
2005-02-28,2005-02-22,104.0,103.0,102.98
2005-03-31,2005-03-29,102.4,103.0,102.79
2005-04-30,2005-04-26,97.7,98.0,97.83
2005-05-31,2005-05-31,102.2,96.05,96.34
2005-06-30,2005-06-28,105.8,104.0,104.45
2005-07-31,2005-07-26,103.2,106.25,106.29
2005-08-31,2005-08-30,105.6,101.0,100.58
2005-09-30,2005-09-27,86.6,95.0,93.98
2005-10-31,2005-10-25,85.0,88.0,87.87
2005-11-30,2005-11-29,98.9,90.2,90.56
2005-12-31,2005-12-28,103.6,103.0,102.69
2006-01-31,2006-01-31,106.3,105.0,104.62
2006-02-28,2006-02-28,101.7,104.0,104.18
2006-03-31,2006-03-28,107.2,102.0,101.78
2006-04-30,2006-04-25,109.6,106.2,106.07
2006-05-31,2006-05-30,103.2,101.0,100.88
2006-06-30,2006-06-27,105.7,103.8,103.39
2006-07-31,2006-07-25,106.5,104.0,104.2
2006-08-31,2006-08-29,99.6,102.7,102.55
2006-09-30,2006-09-26,104.5,103.0,102.56
2006-10-31,2006-10-31,105.4,108.0,107.88
2006-11-30,2006-11-28,102.9,106.0,106.1
2006-12-31,2006-12-28,109.0,102.0,102.03
2007-01-31,2007-01-30,110.3,110.0,110.18
2007-02-28,2007-02-27,112.5,108.5,108.5
2007-03-31,2007-03-27,107.2,108.5,108.24
2007-04-30,2007-04-24,104.0,105.0,104.65
2007-05-31,2007-05-29,108.0,105.0,104.45
2007-06-30,2007-06-26,103.9,105.0,105.2
2007-07-31,2007-07-31,112.6,105.0,105.41
2007-08-31,2007-08-28,105.0,104.0,104.25
2007-09-30,2007-09-25,99.8,104.3,104.32
2007-10-31,2007-10-30,95.6,99.0,98.53
2007-11-30,2007-11-27,87.3,91.0,91.17
2007-12-31,2007-12-27,88.6,86.5,86.49
2008-01-31,2008-01-29,87.9,87.0,86.87
2008-02-29,2008-02-26,75.0,82.0,81.88
2008-03-31,2008-03-25,64.5,73.5,73.22
2008-04-30,2008-04-29,62.3,61.0,61.5
2008-05-31,2008-05-27,57.2,60.0,60.24
2008-06-30,2008-06-24,50.4,56.0,56.04
2008-07-31,2008-07-29,51.9,50.05,50.42
2008-08-31,2008-08-26,56.9,53.0,53.24
2008-09-30,2008-09-30,59.8,55.0,56.1
2008-10-31,2008-10-28,38.0,52.0,51.7
2008-11-30,2008-11-25,44.9,38.0,37.93
2008-12-31,2008-12-30,38.0,45.5,45.67
2009-01-31,2009-01-27,37.7,39.0,38.88
2009-02-28,2009-02-24,25.0,35.0,35.29
2009-03-31,2009-03-31,26.0,28.0,27.71
2009-04-30,2009-04-28,39.2,29.7,29.73
2009-05-31,2009-05-26,54.9,42.55,42.57
2009-06-30,2009-06-30,49.3,55.3,55.3
2009-07-31,2009-07-28,46.6,49.0,49.09
2009-08-31,2009-08-25,54.1,47.9,47.59
2009-09-30,2009-09-29,53.1,57.0,57.44
2009-10-31,2009-10-27,47.7,53.5,53.26
2009-11-30,2009-11-24,49.5,47.25,47.38
