Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2017-01-31,2017-01-31,129.7,,
2017-02-28,2017-02-28,133.4,,
2017-03-31,2017-03-28,143.1,,
2017-04-30,2017-04-25,140.6,,
2017-05-31,2017-05-30,140.7,,
2017-06-30,2017-06-27,146.3,,
2017-07-31,2017-07-25,147.8,,
2017-08-31,2017-08-29,151.2,,
2017-09-30,2017-09-26,146.1,,
2017-10-31,2017-10-31,151.1,,
2017-11-30,2017-11-28,153.9,,
2017-12-31,2017-12-27,156.6,,
2018-01-31,2018-01-30,155.3,,
2018-02-28,2018-02-27,162.4,,
2018-03-31,2018-03-27,159.9,,
2018-04-30,2018-04-24,159.6,,
2018-05-31,2018-05-29,161.7,,
2018-06-30,2018-06-26,161.1,,
2018-07-31,2018-07-31,165.9,,
2018-08-31,2018-08-28,172.2,,
2018-09-30,2018-09-25,173.1,,
2018-10-31,2018-10-30,172.8,,
2018-11-30,2018-11-27,172.7,,
2018-12-31,2018-12-27,171.6,,
2019-01-31,2019-01-29,169.6,,
2019-02-28,2019-02-26,173.5,,
2019-03-31,2019-03-26,160.6,,
2019-04-30,2019-04-30,168.3,,
2019-05-31,2019-05-28,175.2,,
2019-06-30,2019-06-25,162.6,,
2019-07-31,2019-07-30,170.9,,
2019-08-31,2019-08-27,177.2,,
2019-09-30,2019-09-24,169.0,,
2019-10-31,2019-10-29,172.3,,
2019-11-30,2019-11-26,166.9,,
2019-12-31,2019-12-31,170.0,,
2020-01-31,2020-01-28,175.3,,
2020-02-29,2020-02-25,165.1,,
2020-03-31,2020-03-31,167.7,,
2020-04-30,2020-04-28,76.4,,
2020-05-31,2020-05-26,71.1,,
2020-06-30,2020-06-30,86.2,,
2020-07-31,2020-07-28,94.2,,
2020-08-31,2020-08-25,84.2,,
2020-09-30,2020-09-29,98.5,,
2020-10-31,2020-10-27,104.6,,
2020-11-30,2020-11-24,105.9,,
2020-12-31,2020-12-22,90.3,,
2021-01-31,2021-01-26,84.4,,
2021-02-28,2021-02-23,92.0,,
2021-03-31,2021-03-30,110.0,,
2021-04-30,2021-04-27,139.6,,
2021-05-31,2021-05-25,144.3,,
2021-06-30,2021-06-29,157.7,,
2021-07-31,2021-07-27,160.3,,
2021-08-31,2021-08-31,147.3,,
2021-09-30,2021-09-28,143.4,,
2021-10-31,2021-10-26,147.4,,
2021-11-30,2021-11-30,142.5,,
2021-12-31,2021-12-22,144.1,,
2022-01-31,2022-01-25,148.2,,
2022-02-28,2022-02-22,145.1,,
2022-03-31,2022-03-29,153.0,,
2022-04-30,2022-04-26,152.6,,
2022-05-31,2022-05-31,149.6,,
2022-06-30,2022-06-28,147.1,,
2022-07-31,2022-07-26,141.3,,
2022-08-31,2022-08-30,145.4,,
2022-09-30,2022-09-27,149.6,,
2022-10-31,2022-10-25,138.9,,
2022-11-30,2022-11-29,137.4,,
2022-12-31,2022-12-21,147.2,,
2023-01-31,2023-01-31,150.9,,
2023-02-28,2023-02-28,152.8,,
2023-03-31,2023-03-28,151.1,,
2023-04-30,2023-04-25,151.1,,
2023-05-31,2023-05-30,148.6,,
2023-06-30,2023-06-27,155.3,,
2023-07-31,2023-07-25,160.0,,
2023-08-31,2023-08-29,144.8,,
2023-09-30,2023-09-26,147.1,,
2023-10-31,2023-10-31,143.1,,
2023-11-30,2023-11-28,138.2,,
2023-12-31,2023-12-20,148.5,,
2024-01-31,2024-01-30,161.3,,
2024-02-29,2024-02-27,147.2,,
2024-03-31,2024-03-26,151.0,,
2024-04-30,2024-04-30,142.9,,
2024-05-31,2024-05-28,143.1,,
2024-06-30,2024-06-25,141.5,,
2024-07-31,2024-07-30,133.6,,
2024-08-31,2024-08-27,134.4,,
2024-09-30,2024-09-24,124.3,,
2024-10-31,2024-10-29,138.0,,
2024-11-30,2024-11-26,140.9,,
2024-12-31,2024-12-23,140.2,,
2025-01-31,2025-01-28,134.3,,
2025-02-28,2025-02-25,136.5,,
2025-03-31,2025-03-25,134.5,,
2025-04-30,2025-04-29,133.5,,
2025-05-31,2025-05-27,135.9,,
