Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-08-07,-0.4,6.0,6.458
2003-07-31,2003-09-08,6.0,5.0,4.567
2003-08-31,2003-10-07,8.2,6.5,6.611
2003-09-30,2003-11-07,15.1,5.1,5.463
2003-10-31,2003-12-05,0.9,5.0,5.39
2003-11-30,2004-01-08,4.0,5.0,5.412
2003-12-31,2004-02-06,6.6,7.0,7.255
2004-01-31,2004-03-05,14.3,5.0,5.191
2004-02-29,2004-04-07,4.2,7.5,7.064
2004-03-31,2004-05-07,5.7,7.0,7.105
2004-04-30,2004-06-07,3.9,5.85,5.791
2004-05-31,2004-07-08,8.2,7.5,7.633
2004-06-30,2004-08-06,6.6,4.0,4.5
2004-07-31,2004-09-08,10.9,7.5,7.533
2004-08-31,2004-10-07,-2.4,6.0,5.859
2004-09-30,2004-11-05,9.8,7.0,6.937
2004-10-31,2004-12-07,7.7,6.0,6.016
2004-11-30,2005-01-07,-8.7,6.0,5.713
2004-12-31,2005-02-07,3.1,8.0,8.665
2005-01-31,2005-03-07,11.5,5.2,6.31
2005-02-28,2005-04-07,5.6,7.5,6.722
2005-03-31,2005-05-06,5.5,6.35,6.205
2005-04-30,2005-06-07,1.3,7.4,7.271
2005-05-31,2005-07-08,-3.0,4.1,4.097
2005-06-30,2005-08-05,14.5,6.0,6.212
2005-07-31,2005-09-08,4.4,10.0,10.878
2005-08-31,2005-10-07,4.9,5.0,5.106
2005-09-30,2005-11-07,-0.1,5.8,5.1
2005-10-31,2005-12-07,-7.2,5.0,4.439
2005-11-30,2006-01-09,-0.6,5.0,4.719
2005-12-31,2006-02-07,3.348,4.95,4.488
2006-01-31,2006-03-07,3.9,5.0,5.241
2006-02-28,2006-04-07,3.3,3.0,3.21
2006-03-31,2006-05-05,2.5,4.1,4.496
2006-04-30,2006-06-07,10.6,3.5,3.758
2006-05-31,2006-07-10,4.4,3.2,3.253
2006-06-30,2006-08-07,10.3,3.55,3.656
2006-07-31,2006-09-08,5.5,6.75,6.318
2006-08-31,2006-10-06,5.0,5.0,5.506
2006-09-30,2006-11-07,-1.2,6.0,5.395
2006-10-31,2006-12-07,-1.2,4.0,4.059
2006-11-30,2007-01-08,12.3,5.2,5.3
2006-12-31,2007-02-07,6.0,6.0,6.573
2007-01-31,2007-03-07,6.4,6.95,6.597
2007-02-28,2007-04-06,3.0,5.5,5.576
2007-03-31,2007-05-07,13.5,4.0,4.5
2007-04-30,2007-06-07,2.6,6.0,6.103
2007-05-31,2007-07-09,12.9,7.0,6.7
2007-06-30,2007-08-07,13.2,5.75,5.615
2007-07-31,2007-09-10,7.5,8.0,8.1
2007-08-31,2007-10-05,12.2,9.5,8.868
2007-09-30,2007-11-07,3.7,9.0,8.833
2007-10-31,2007-12-07,4.7,5.0,6.094
2007-11-30,2008-01-08,15.4,8.0,7.772
2007-12-31,2008-02-07,4.5,7.4,7.259
2008-01-31,2008-03-07,6.9,7.0,6.684
2008-02-29,2008-04-07,5.2,5.9,5.854
2008-03-31,2008-05-07,15.3,6.0,5.9
2008-04-30,2008-06-06,8.9,7.2,7.057
2008-05-31,2008-07-08,7.8,7.5,7.712
2008-06-30,2008-08-07,14.3,6.3,6.063
2008-07-31,2008-09-08,4.6,8.5,8.011
2008-08-31,2008-10-07,-7.9,5.0,5.39
2008-09-30,2008-11-07,6.9,0.0,-0.128
2008-10-31,2008-12-05,-3.5,2.0,0.983
2008-11-30,2009-01-08,-7.9,0.0,0.364
2008-12-31,2009-02-06,-6.6,-3.5,-3.907
2009-01-31,2009-03-06,1.8,-5.0,-4.411
2009-02-28,2009-04-07,-7.5,-3.0,-1.824
2009-03-31,2009-05-07,-11.1,-4.0,-3.554
2009-04-30,2009-06-05,-15.7,-6.0,-5.772
2009-05-31,2009-07-08,-3.23,-8.75,-8.17
2009-06-30,2009-08-07,-10.3,-5.0,-5.027
2009-07-31,2009-09-08,-21.6,-4.0,-4.81
2009-08-31,2009-10-07,-12.0,-10.0,-8.036
2009-09-30,2009-11-06,-14.8,-10.0,-11.591
2009-10-31,2009-12-07,-3.5,-9.4,-9.106
2009-11-30,2010-01-08,-17.5,-5.0,-5.025
