Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2011-12-31,2012-01-12,-0.2,0.3,0.3
2012-01-31,2012-02-14,0.7,0.4,0.4
2012-02-29,2012-03-13,0.5,0.5,0.5
2012-03-31,2012-04-16,0.4,0.5,0.5
2012-04-30,2012-05-15,0.4,0.3,0.3
2012-05-31,2012-06-13,0.0,0.3,0.3
2012-06-30,2012-07-16,-0.1,0.2,0.2
2012-07-31,2012-08-14,0.9,0.5,0.4
2012-08-31,2012-09-14,-0.1,0.4,0.4
2012-09-30,2012-10-15,0.9,0.4,0.4
2012-10-31,2012-11-14,-0.1,0.4,0.3
2012-11-30,2012-12-13,0.5,0.3,0.3
2012-12-31,2013-01-15,0.6,0.3,0.3
2013-01-31,2013-02-13,0.1,0.3,0.2
2013-02-28,2013-03-13,0.4,0.2,0.2
2013-03-31,2013-04-12,-0.2,0.2,0.2
2013-04-30,2013-05-13,0.5,0.3,0.3
2013-05-31,2013-06-13,0.3,0.3,0.3
2013-06-30,2013-07-15,0.1,0.3,0.3
2013-07-31,2013-08-13,0.5,0.4,0.4
2013-08-31,2013-09-13,0.2,0.3,0.3
2013-09-30,2013-10-29,0.5,0.4,0.4
2013-10-31,2013-11-20,0.4,0.3,0.3
2013-11-30,2013-12-12,0.5,0.3,0.2
2013-12-31,2014-01-14,0.7,0.3,0.3
2014-01-31,2014-02-13,-0.3,0.2,0.2
2014-02-28,2014-03-13,0.3,0.2,0.3
2014-03-31,2014-04-14,0.8,0.5,0.5
2014-04-30,2014-05-13,-0.1,0.5,0.5
2014-05-31,2014-06-12,0.0,0.4,0.4
2014-06-30,2014-07-15,0.6,0.5,0.5
2014-07-31,2014-08-13,0.1,0.4,0.5
2014-08-31,2014-09-12,0.4,0.5,0.5
2014-09-30,2014-10-15,-0.2,0.4,0.4
2014-10-31,2014-11-14,0.5,0.4,0.4
2014-11-30,2014-12-11,0.6,0.5,0.5
2014-12-31,2015-01-14,-0.4,0.4,0.4
2015-01-31,2015-02-12,0.1,0.4,0.5
2015-02-28,2015-03-12,0.0,0.4,0.4
2015-03-31,2015-04-14,0.3,0.5,0.5
2015-04-30,2015-05-13,0.0,0.5,0.5
2015-05-31,2015-06-11,0.7,0.5,0.5
2015-06-30,2015-07-14,-0.1,0.3,0.3
2015-07-31,2015-08-13,0.3,0.5,0.5
2015-08-31,2015-09-15,0.4,0.3,0.3
2015-09-30,2015-10-14,-0.1,0.3,0.3
2015-10-31,2015-11-13,0.2,0.4,0.3
2015-11-30,2015-12-11,0.6,0.4,0.4
2015-12-31,2016-01-15,-0.3,0.3,0.3
2016-01-31,2016-02-12,0.6,0.3,0.3
2016-02-29,2016-03-15,0.0,0.2,0.1
2016-03-31,2016-04-13,0.1,0.4,0.4
2016-04-30,2016-05-13,0.9,0.4,0.4
2016-05-31,2016-06-14,0.4,0.3,0.2
2016-06-30,2016-07-15,0.5,0.3,0.3
2016-07-31,2016-08-12,0.0,0.3,0.4
2016-08-31,2016-09-15,-0.1,0.4,0.3
2016-09-30,2016-10-14,0.1,0.4,0.3
2016-10-31,2016-11-15,0.8,0.4,0.4
2016-11-30,2016-12-14,0.1,0.3,0.3
2016-12-31,2017-01-13,0.2,0.4,0.3
2017-01-31,2017-02-15,0.4,0.3,0.4
2017-02-28,2017-03-15,0.1,0.2,0.1
2017-03-31,2017-04-14,0.5,0.3,0.4
2017-04-30,2017-05-12,0.2,0.4,0.4
2017-05-31,2017-06-14,0.0,0.3,0.3
2017-06-30,2017-07-14,-0.1,0.3,0.3
2017-07-31,2017-08-15,0.6,0.4,0.4
2017-08-31,2017-09-15,-0.2,0.2,0.2
2017-09-30,2017-10-13,0.4,0.4,0.4
2017-10-31,2017-11-15,0.3,0.3,0.3
2017-11-30,2017-12-14,0.8,0.4,0.4
2017-12-31,2018-01-12,0.3,0.4,0.4
2018-01-31,2018-02-14,0.0,0.4,0.4
2018-02-28,2018-03-14,0.1,0.4,0.4
2018-03-31,2018-04-16,0.4,0.4,0.4
2018-04-30,2018-05-15,0.4,0.4,0.4
2018-05-31,2018-06-14,0.5,0.4,0.4
2018-06-30,2018-07-16,0.0,0.4,0.4
2018-07-31,2018-08-15,0.5,0.4,0.4
2018-08-31,2018-09-14,0.1,0.4,0.4
2018-09-30,2018-10-15,0.5,0.4,0.4
2018-10-31,2018-11-15,0.3,0.4,0.4
2018-11-30,2018-12-14,0.9,0.4,0.5
2018-12-31,2019-02-14,-1.7,0.4,0.4
2019-01-31,2019-03-11,1.1,0.6,0.6
2019-02-28,2019-04-01,-0.2,0.3,0.3
2019-03-31,2019-04-18,1.0,0.4,0.5
2019-04-30,2019-05-15,0.0,0.3,0.4
2019-05-31,2019-06-14,0.5,0.4,0.4
2019-06-30,2019-07-16,0.7,0.3,0.3
2019-07-31,2019-08-15,1.0,0.4,0.4
2019-08-31,2019-09-13,0.3,0.3,0.2
2019-09-30,2019-10-16,0.0,0.3,0.3
2019-10-31,2019-11-15,0.3,0.3,0.3
2019-11-30,2019-12-13,0.1,0.3,0.3
2019-12-31,2020-01-16,0.5,0.4,0.4
2020-01-31,2020-02-14,0.0,0.3,0.3
2020-02-29,2020-03-17,0.0,0.4,0.4
2020-03-31,2020-04-15,1.7,-2.0,-2.0
2020-04-30,2020-05-15,-15.3,-5.0,-4.1
2020-05-31,2020-06-16,11.0,5.2,5.4
2020-06-30,2020-07-16,5.6,4.0,3.9
2020-07-31,2020-08-14,1.4,0.8,0.8
2020-08-31,2020-09-16,-0.1,0.3,0.4
2020-09-30,2020-10-16,1.4,0.3,0.4
2020-10-31,2020-11-17,0.1,0.5,0.4
2020-11-30,2020-12-16,-0.5,0.2,0.2
2020-12-31,2021-01-15,-1.9,0.1,-0.1
2021-01-31,2021-02-17,6.0,1.0,1.4
2021-02-28,2021-03-16,-3.5,-0.6,-0.8
2021-03-31,2021-04-15,6.9,7.2,7.2
2021-04-30,2021-05-14,-1.5,-0.2,-0.2
2021-05-31,2021-06-15,-0.7,-0.5,-0.4
2021-06-30,2021-07-16,1.1,0.4,0.4
2021-07-31,2021-08-17,-1.0,-0.2,-0.5
2021-08-31,2021-09-16,2.5,0.0,0.1
2021-09-30,2021-10-15,0.8,0.5,0.5
2021-10-31,2021-11-16,1.6,0.9,0.9
2021-11-30,2021-12-15,-0.1,0.7,0.6
2021-12-31,2022-01-14,-3.1,0.0,-0.3
2022-01-31,2022-02-16,4.8,1.3,1.4
2022-02-28,2022-03-16,-1.2,0.3,0.1
2022-03-31,2022-04-14,-0.1,0.1,0.1
2022-04-30,2022-05-17,1.0,0.7,0.7
2022-05-31,2022-06-15,0.0,0.3,0.3
2022-06-30,2022-07-15,0.8,0.3,0.1
2022-07-31,2022-08-17,0.8,0.6,0.6
2022-08-31,2022-09-15,0.0,0.5,0.5
2022-09-30,2022-10-14,0.4,0.3,0.2
2022-10-31,2022-11-16,0.7,0.3,0.3
2022-11-30,2022-12-15,-0.2,0.1,0.1
2022-12-31,2023-01-18,-0.7,-0.3,-0.4
2023-01-31,2023-02-15,1.7,1.0,1.1
2023-02-28,2023-03-15,0.5,-0.3,-0.2
2023-03-31,2023-04-14,-0.3,-0.5,-0.4
2023-04-30,2023-05-16,0.7,0.4,0.3
2023-05-31,2023-06-15,0.2,0.2,0.2
2023-06-30,2023-07-18,0.6,0.3,0.3
2023-07-31,2023-08-15,1.0,0.5,0.5
2023-08-31,2023-09-14,0.1,-0.1,0.0
2023-09-30,2023-10-17,0.6,0.1,0.0
2023-10-31,2023-11-15,0.2,0.2,0.1
2023-11-30,2023-12-14,0.4,0.2,0.2
2023-12-31,2024-01-17,0.8,0.2,0.2
2024-01-31,2024-02-15,-0.4,0.2,0.2
2024-02-29,2024-03-14,0.0,0.4,0.4
2024-03-31,2024-04-15,1.1,0.4,0.4
2024-04-30,2024-05-15,-0.3,0.1,0.1
2024-05-31,2024-06-18,0.4,0.5,0.4
2024-06-30,2024-07-16,0.9,0.2,0.2
2024-07-31,2024-08-15,0.3,0.1,0.0
2024-08-31,2024-09-17,0.3,0.3,0.2
2024-09-30,2024-10-17,0.7,0.3,0.3
2024-10-31,2024-11-15,-0.1,0.3,0.2
2024-11-30,2024-12-17,0.4,0.4,0.4
2024-12-31,2025-01-16,0.7,0.4,0.4
2025-01-31,2025-02-14,-0.8,0.3,0.3
2025-02-28,2025-03-17,1.0,0.4,0.3
2025-03-31,2025-04-16,0.4,0.6,0.6
2025-04-30,2025-05-15,-0.2,0.3,0.2
2025-05-31,2025-06-17,,0.3,0.5
