Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-25,2.1,1.1,1.4
2003-07-31,2003-08-26,1.0,1.0,1.0
2003-08-31,2003-09-25,-0.9,0.6,0.5
2003-09-30,2003-10-28,0.8,1.0,1.2
2003-10-31,2003-11-26,3.3,0.7,0.8
2003-11-30,2003-12-24,-3.1,1.0,1.0
2003-12-31,2004-01-28,0.0,2.0,2.3
2004-01-31,2004-02-26,-1.8,1.4,1.4
2004-02-29,2004-03-24,2.5,1.5,1.8
2004-03-31,2004-04-23,3.4,0.7,0.7
2004-04-30,2004-05-26,-2.9,-0.9,-0.7
2004-05-31,2004-06-24,-1.6,1.5,1.6
2004-06-30,2004-07-28,0.7,1.5,1.6
2004-07-31,2004-08-25,1.7,1.0,1.1
2004-08-31,2004-09-24,-0.5,-0.3,-0.3
2004-09-30,2004-10-27,0.2,0.5,0.5
2004-10-31,2004-11-24,-0.4,0.5,0.4
2004-11-30,2004-12-23,1.6,0.6,0.6
2004-12-31,2005-01-27,0.6,0.7,0.8
2005-01-31,2005-02-24,-0.9,0.0,0.0
2005-02-28,2005-03-24,0.3,0.9,1.0
2005-03-31,2005-04-27,-2.8,0.3,0.3
2005-04-30,2005-05-25,1.9,1.3,1.4
2005-05-31,2005-06-24,5.5,1.5,1.6
2005-06-30,2005-07-27,1.4,-1.0,-1.0
2005-07-31,2005-08-24,-4.9,-1.5,-1.8
2005-08-31,2005-09-28,3.3,0.7,0.7
2005-09-30,2005-10-27,-2.1,-1.5,-1.3
2005-10-31,2005-11-29,3.4,1.5,1.4
2005-11-30,2005-12-23,4.4,1.2,1.4
2005-12-31,2006-01-26,1.3,1.0,0.7
2006-01-31,2006-02-24,-10.2,-2.0,-2.4
2006-02-28,2006-03-24,2.6,1.3,1.5
2006-03-31,2006-04-26,6.1,1.8,2.0
2006-04-30,2006-05-24,-4.8,-0.5,-0.6
2006-05-31,2006-06-23,-0.3,0.4,0.1
2006-06-30,2006-07-27,3.1,2.0,2.3
2006-07-31,2006-08-24,-2.4,-0.5,-0.7
2006-08-31,2006-09-27,-0.5,0.5,0.4
2006-09-30,2006-10-26,7.8,2.0,2.6
2006-10-31,2006-11-28,-8.3,-5.0,-4.9
2006-11-30,2006-12-22,1.9,1.3,1.3
2006-12-31,2007-01-26,3.1,3.0,3.3
2007-01-31,2007-02-27,-7.8,-3.0,-3.1
2007-02-28,2007-03-28,2.5,3.5,3.5
2007-03-31,2007-04-25,3.4,2.5,2.6
2007-04-30,2007-05-24,0.6,1.0,0.7
2007-05-31,2007-06-27,-2.8,-1.0,-1.1
2007-06-30,2007-07-26,1.4,1.9,1.9
2007-07-31,2007-08-24,5.9,1.0,1.3
2007-08-31,2007-09-26,-4.9,-4.0,-3.9
2007-09-30,2007-10-25,-1.7,1.5,1.5
2007-10-31,2007-11-28,-0.4,-0.1,-0.2
2007-11-30,2007-12-27,0.1,2.0,2.1
