Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-31,0.9,0.9,0.95
2003-09-30,2003-10-30,1.0,0.9,0.91
2003-12-31,2004-01-29,0.7,0.9,0.89
2004-03-31,2004-04-29,1.1,0.9,0.93
2004-06-30,2004-07-29,0.9,0.9,0.95
2004-09-30,2004-10-29,0.9,1.0,0.99
2004-12-31,2005-01-28,0.7,0.8,0.86
2005-03-31,2005-04-29,0.7,1.0,0.99
2005-06-30,2005-07-29,0.7,0.8,0.84
2005-09-30,2005-10-28,0.8,0.8,0.79
2005-12-31,2006-01-31,0.8,0.9,0.88
2006-03-31,2006-04-28,0.6,,0.09
2006-06-30,2006-07-28,0.9,,0.8
2006-09-30,2006-10-31,1.0,0.9,0.86
2006-12-31,2007-01-31,0.8,1.0,0.97
2007-03-31,2007-04-27,0.8,0.9,0.96
2007-06-30,2007-07-31,0.9,0.9,0.88
2007-09-30,2007-10-31,0.8,0.9,0.9
2007-12-31,2008-01-31,0.8,0.8,0.81
2008-03-31,2008-04-30,0.7,0.8,0.81
2008-06-30,2008-07-31,0.7,0.7,0.73
2008-09-30,2008-10-31,0.7,0.7,0.68
2008-12-31,2009-01-30,0.5,0.7,0.69
2009-03-31,2009-04-30,0.3,0.5,0.52
2009-06-30,2009-07-31,0.4,0.3,0.3
2009-09-30,2009-10-30,0.4,0.4,0.41
2009-12-31,2010-01-29,0.5,0.4,0.4
2010-03-31,2010-04-30,0.6,0.5,0.45
2010-06-30,2010-07-30,0.5,0.5,0.47
2010-09-30,2010-10-29,0.4,0.5,0.48
2010-12-31,2011-01-28,0.4,0.5,0.47
2011-03-31,2011-04-29,0.6,0.5,0.47
2011-06-30,2011-07-29,0.7,0.5,0.5
2011-09-30,2011-10-28,0.3,0.6,0.59
2011-12-31,2012-01-31,0.4,0.4,0.43
2012-03-31,2012-04-27,0.4,0.5,0.52
2012-06-30,2012-07-31,0.5,0.5,0.49
2012-09-30,2012-10-31,0.4,0.48,0.45
2012-12-31,2013-01-31,0.5,0.5,0.48
2013-03-31,2013-04-30,0.3,0.5,0.49
2013-06-30,2013-07-31,0.5,0.4,0.44
2013-09-30,2013-11-19,0.4,0.5,0.47
2013-12-31,2014-01-31,0.5,0.4,0.41
2014-03-31,2014-04-30,0.3,0.5,0.51
2014-06-30,2014-07-31,0.7,0.5,0.47
2014-09-30,2014-10-31,0.7,0.5,0.5
2014-12-31,2015-01-30,0.6,0.6,0.56
2015-03-31,2015-04-30,0.7,0.6,0.61
2015-06-30,2015-07-31,0.2,0.6,0.61
2015-09-30,2015-10-30,0.6,0.6,0.59
2015-12-31,2016-01-29,0.6,0.6,0.6
2016-03-31,2016-04-29,0.6,0.6,0.61
2016-06-30,2016-07-29,0.6,0.6,0.61
2016-09-30,2016-10-28,0.6,0.6,0.61
2016-12-31,2017-01-31,0.5,0.6,0.62
2017-03-31,2017-04-28,0.8,0.6,0.58
2017-06-30,2017-07-28,0.5,0.6,0.61
2017-09-30,2017-10-31,0.7,0.7,0.67
2017-12-31,2018-01-31,0.6,0.6,0.58
2018-03-31,2018-04-27,0.8,0.7,0.69
2018-06-30,2018-07-31,0.6,0.7,0.68
2018-09-30,2018-10-31,0.8,0.7,0.71
2018-12-31,2019-01-31,0.7,0.8,0.76
2019-03-31,2019-04-30,0.7,0.7,0.73
2019-06-30,2019-07-31,0.6,0.7,0.7
2019-09-30,2019-10-31,0.7,0.7,0.69
2019-12-31,2020-01-31,0.7,0.7,0.71
2020-03-31,2020-04-30,0.8,0.6,0.62
2020-06-30,2020-07-31,0.5,0.6,0.69
2020-09-30,2020-10-30,0.5,0.5,0.55
2020-12-31,2021-01-29,0.7,0.5,0.51
2021-03-31,2021-04-30,0.9,0.7,0.72
2021-06-30,2021-07-30,0.7,0.9,0.93
2021-09-30,2021-10-29,1.3,0.9,0.88
2021-12-31,2022-01-28,1.0,1.2,1.19
2022-03-31,2022-04-29,1.4,1.1,1.11
2022-06-30,2022-07-29,1.3,1.2,1.17
2022-09-30,2022-10-28,1.2,1.2,1.21
2022-12-31,2023-01-31,1.0,1.1,1.11
2023-03-31,2023-04-28,1.2,1.1,1.06
2023-06-30,2023-07-28,1.0,1.1,1.09
2023-09-30,2023-10-31,1.1,1.0,0.96
2023-12-31,2024-01-31,0.9,1.0,0.99
2024-03-31,2024-04-30,1.2,1.0,0.97
2024-06-30,2024-07-31,0.9,1.0,0.96
2024-09-30,2024-10-31,0.8,0.9,0.92
2024-12-31,2025-01-31,0.9,0.9,0.88
2025-03-31,2025-04-30,0.9,0.9,0.9
