Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2006-05-31,2006-06-27,-1.2,-1.99,-2.01
2006-06-30,2006-07-25,-1.3,-1.3,-1.43
2006-07-31,2006-08-23,-4.1,-1.2,-1.06
2006-08-31,2006-09-25,-0.5,-2.1,-2.48
2006-09-30,2006-10-25,-1.9,-1.2,-1.26
2006-10-31,2006-11-28,0.5,-0.6,-0.66
2006-11-30,2006-12-28,0.6,-0.8,-0.9
2006-12-31,2007-01-25,-0.8,-0.5,198226.82
2007-01-31,2007-02-27,3.0,0.3,0.33
2007-02-28,2007-03-23,3.9,-2.5,58.95
2007-03-31,2007-04-24,-8.4,-4.3,-3.89
2007-04-30,2007-05-25,-2.6,-0.1,0.08
2007-05-31,2007-06-25,-0.3,-0.3,-0.42
2007-06-30,2007-07-25,-3.8,-2.1,-2.11
2007-07-31,2007-08-27,-0.2,-0.9,-0.63
2007-08-31,2007-09-25,-4.3,-4.6,-4.88
2007-09-30,2007-10-24,-8.0,-4.5,-4.34
2007-10-31,2007-11-28,-1.2,-0.8,-1.11
2007-11-30,2007-12-31,0.4,0.0,-0.15
2007-12-31,2008-01-24,-2.2,-1.0,-1.03
2008-01-31,2008-02-25,-0.4,-1.8,-1.67
2008-02-29,2008-03-24,2.9,-0.8,-1.09
2008-03-31,2008-04-22,-2.0,-2.29,-2.22
2008-04-30,2008-05-23,-1.0,-1.62,-1.67
2008-05-31,2008-06-26,2.0,1.23,1.12
2008-06-30,2008-07-24,-2.6,-1.0,-0.99
2008-07-31,2008-08-25,3.1,1.03,1.01
2008-08-31,2008-09-24,-2.2,-1.2,-1.13
2008-09-30,2008-10-24,5.5,0.81,0.82
2008-10-31,2008-11-24,-3.1,-3.47,-3.46
2008-11-30,2008-12-23,-8.6,-1.0,-1.65
2008-12-31,2009-01-26,6.5,-2.0,-2.22
2009-01-31,2009-02-25,-5.3,1.11,0.55
2009-02-28,2009-03-23,5.1,-0.89,-0.75
2009-03-31,2009-04-23,-3.0,-1.48,-1.21
2009-04-30,2009-05-27,2.9,1.97,1.93
2009-05-31,2009-06-23,2.4,2.99,2.97
2009-06-30,2009-07-23,3.6,1.47,1.32
2009-07-31,2009-08-21,7.2,2.15,2.03
2009-08-31,2009-09-24,-2.7,2.1,2.03
2009-09-30,2009-10-23,9.4,4.9,4.86
2009-10-31,2009-11-23,10.1,2.33,2.02
2009-11-30,2009-12-22,7.4,2.46,2.1
2009-12-31,2010-01-25,-16.7,-9.79,-9.17
2010-01-31,2010-02-26,-7.2,0.92,0.67
2010-02-28,2010-03-23,-0.6,-1.09,-1.31
2010-03-31,2010-04-22,6.8,5.28,5.28
2010-04-30,2010-05-24,7.6,5.05,5.32
2010-05-31,2010-06-22,-2.2,5.98,5.57
2010-06-30,2010-07-22,-5.1,-9.89,-9.36
2010-07-31,2010-08-24,-27.2,-13.41,-13.28
2010-08-31,2010-09-23,7.6,7.05,7.67
2010-09-30,2010-10-25,10.0,4.12,4.49
2010-10-31,2010-11-23,-2.2,-1.1,-1.73
2010-11-30,2010-12-22,5.6,7.1,6.62
2010-12-31,2011-01-20,12.3,4.06,3.91
2011-01-31,2011-02-23,2.7,-1.14,-1.24
2011-02-28,2011-03-21,-9.6,-4.25,-4.58
2011-03-31,2011-04-20,3.7,2.46,2.63
2011-04-30,2011-05-19,-0.8,1.96,2.47
2011-05-31,2011-06-21,-3.8,-4.95,-5.06
2011-06-30,2011-07-20,-0.8,1.87,2.32
2011-07-31,2011-08-18,-3.5,2.73,2.64
2011-08-31,2011-09-21,7.7,1.71,1.52
2011-09-30,2011-10-20,-3.0,-2.33,-2.32
2011-10-31,2011-11-21,1.4,-2.24,-2.17
2011-11-30,2011-12-21,4.0,2.21,1.25
2011-12-31,2012-01-20,5.0,5.2,4.89
2012-01-31,2012-02-22,4.3,1.08,1.19
2012-02-29,2012-03-21,-0.9,0.88,0.99
2012-03-31,2012-04-19,-2.6,0.48,0.53
2012-04-30,2012-05-22,3.4,2.9,3.35
2012-05-31,2012-06-21,-1.5,-1.08,-1.06
2012-06-30,2012-07-19,-5.4,1.54,1.74
2012-07-31,2012-08-22,2.3,3.2,3.41
2012-08-31,2012-09-19,7.8,2.01,2.12
2012-09-30,2012-10-19,-1.7,-1.56,-1.64
2012-10-31,2012-11-19,2.1,-0.21,-0.45
2012-11-30,2012-12-20,5.9,2.3,1.77
2012-12-31,2013-01-22,-1.0,1.19,1.09
2013-01-31,2013-02-21,0.4,-0.81,-0.62
2013-02-28,2013-03-21,0.8,1.63,1.57
2013-03-31,2013-04-22,-0.6,0.4,0.6
2013-04-30,2013-05-22,0.6,1.42,1.28
2013-05-31,2013-06-20,4.2,0.6,0.83
2013-06-30,2013-07-22,-1.2,1.54,1.43
2013-07-31,2013-08-21,6.5,1.38,1.54
2013-08-31,2013-09-19,1.7,-2.6,-2.64
2013-09-30,2013-10-21,-1.9,-3.28,-3.27
2013-10-31,2013-11-20,-3.2,-2.93,-2.79
2013-11-30,2013-12-19,-4.3,-1.95,-1.52
2013-12-31,2014-01-23,1.0,0.56,0.57
2014-01-31,2014-02-21,-5.1,-4.11,-3.99
2014-02-28,2014-03-20,-0.4,-0.43,-0.13
2014-03-31,2014-04-22,-0.2,-0.98,-0.52
2014-04-30,2014-05-22,1.3,2.16,2.05
2014-05-31,2014-06-23,4.9,1.94,1.76
2014-06-30,2014-07-22,2.6,1.94,1.81
2014-07-31,2014-08-21,2.4,-0.5,-0.18
2014-08-31,2014-09-22,-1.8,0.97,0.73
2014-09-30,2014-10-21,2.4,0.99,0.83
2014-10-31,2014-11-20,1.5,-0.39,-0.26
2014-11-30,2014-12-22,-6.1,-1.14,-1.71
2014-12-31,2015-01-23,2.4,3.04,2.84
2015-01-31,2015-02-23,-4.9,-1.79,-1.57
2015-02-28,2015-03-23,1.2,1.66,1.69
2015-03-31,2015-04-22,6.1,3.07,3.15
2015-04-30,2015-05-21,-3.3,0.77,0.64
2015-05-31,2015-06-22,5.1,4.37,4.25
2015-06-30,2015-07-22,3.2,0.93,0.92
2015-07-31,2015-08-20,2.0,-1.09,-0.96
2015-08-31,2015-09-21,-4.8,-1.61,-1.43
2015-09-30,2015-10-22,4.7,1.51,1.35
2015-10-31,2015-11-23,-3.4,-2.7,-2.83
2015-11-30,2015-12-22,-10.5,-0.19,-1.0
2015-12-31,2016-01-22,14.7,9.24,8.9
2016-01-31,2016-02-23,0.4,-2.47,-2.32
2016-02-29,2016-03-21,-7.1,-3.02,-2.67
2016-03-31,2016-04-20,5.1,3.94,3.77
2016-04-30,2016-05-20,1.7,1.31,1.04
2016-05-31,2016-06-22,1.8,1.83,1.72
2016-06-30,2016-07-21,1.1,-0.9,-0.95
2016-07-31,2016-08-24,-3.2,-1.08,-1.0
2016-08-31,2016-09-22,-0.9,1.11,1.2
2016-09-30,2016-10-20,3.2,0.38,0.67
2016-10-31,2016-11-22,2.0,-0.55,-0.52
2016-11-30,2016-12-21,0.7,-1.79,-1.45
2016-12-31,2017-01-24,-2.8,-1.6,-1.61
2017-01-31,2017-02-22,3.3,1.09,0.82
2017-02-28,2017-03-22,-3.7,-2.46,-2.53
2017-03-31,2017-04-21,4.4,-1.93,-1.84
2017-04-30,2017-05-24,-2.3,-1.05,-1.2
2017-05-31,2017-06-21,1.1,-0.36,-0.37
2017-06-30,2017-07-24,-1.8,-0.89,-0.92
2017-07-31,2017-08-24,-1.3,0.54,0.33
2017-08-31,2017-09-20,-1.7,0.18,0.26
2017-09-30,2017-10-20,0.7,-0.93,-0.89
2017-10-31,2017-11-21,2.0,0.19,0.5
2017-11-30,2017-12-20,5.6,0.91,1.38
2017-12-31,2018-01-24,-3.6,-1.89,-1.95
2018-01-31,2018-02-21,-3.2,0.54,0.54
2018-02-28,2018-03-21,3.0,0.37,0.45
2018-03-31,2018-04-23,1.1,0.18,-0.01
2018-04-30,2018-05-24,-2.5,-0.89,-0.71
2018-05-31,2018-06-20,-0.4,1.1,1.12
2018-06-30,2018-07-23,-0.6,0.18,0.15
2018-07-31,2018-08-22,-0.7,0.37,0.6
2018-08-31,2018-09-20,0.0,0.47,0.49
2018-09-30,2018-10-19,-3.4,-0.94,-0.97
2018-10-31,2018-11-21,1.4,0.97,0.61
2018-11-30,2018-12-19,1.9,-0.38,-0.38
2018-12-31,2019-01-22,-6.4,-1.5,-2.03
2019-01-31,2019-02-21,-1.2,0.2,0.5
2019-02-28,2019-03-22,11.8,3.24,4.09
2019-03-31,2019-04-22,-4.9,-3.81,-3.42
2019-04-30,2019-05-21,-0.4,2.69,2.51
2019-05-31,2019-06-21,2.5,2.12,1.79
2019-06-30,2019-07-23,-1.7,-0.37,-0.23
2019-07-31,2019-08-21,2.5,2.47,2.08
2019-08-31,2019-09-19,1.3,-0.74,-0.88
2019-09-30,2019-10-22,-2.2,-0.73,-0.65
2019-10-31,2019-11-21,1.9,2.04,1.74
2019-11-30,2019-12-19,-1.7,-0.37,-0.34
2019-12-31,2020-01-22,3.6,1.5,1.51
2020-01-31,2020-02-21,-1.3,-1.81,-2.07
2020-02-29,2020-03-20,6.5,0.92,1.22
2020-03-31,2020-04-21,-8.5,-9.01,-9.7
2020-04-30,2020-05-21,-17.8,-19.92,-18.92
2020-05-31,2020-06-22,-9.7,-5.59,-6.19
2020-06-30,2020-07-22,20.7,21.36,20.74
2020-07-31,2020-08-21,24.7,14.62,14.61
2020-08-31,2020-09-22,2.4,2.39,2.81
2020-09-30,2020-10-22,9.4,5.0,4.87
2020-10-31,2020-11-19,4.3,-1.07,-1.06
2020-11-30,2020-12-22,-2.5,-2.19,-2.4
2020-12-31,2021-01-22,0.7,-1.94,-2.0
2021-01-31,2021-02-19,0.6,-2.37,-2.12
2021-02-28,2021-03-22,-6.6,-2.99,-3.59
2021-03-31,2021-04-22,-3.7,-1.77,-1.26
2021-04-30,2021-05-21,-2.7,0.96,0.51
2021-05-31,2021-06-22,-0.9,-2.13,-2.19
2021-06-30,2021-07-22,1.4,1.72,1.77
2021-07-31,2021-08-23,2.0,-0.51,-0.42
2021-08-31,2021-09-22,-2.0,-1.67,-1.84
2021-09-30,2021-10-21,7.0,3.74,3.47
2021-10-31,2021-11-22,0.8,-1.43,-1.38
2021-11-30,2021-12-22,1.9,2.92,2.69
2021-12-31,2022-01-20,-4.6,-0.62,-0.43
2022-01-31,2022-02-18,6.7,-1.29,-0.85
2022-02-28,2022-03-18,-7.2,-6.15,-5.94
2022-03-31,2022-04-20,-2.7,-4.09,-4.14
2022-04-30,2022-05-19,-2.4,-2.25,-2.44
2022-05-31,2022-06-21,-3.4,-3.74,-3.8
2022-06-30,2022-07-20,-5.4,-1.11,-1.33
2022-07-31,2022-08-18,-5.9,-5.08,-4.83
2022-08-31,2022-09-21,-0.4,-2.29,-2.63
2022-09-30,2022-10-20,-1.5,-2.08,-2.56
2022-10-31,2022-11-18,-5.9,-6.58,-6.74
2022-11-30,2022-12-21,-7.7,-5.19,-5.17
2022-12-31,2023-01-20,-1.5,-3.42,-3.47
2023-01-31,2023-02-21,-0.7,1.99,2.21
2023-02-28,2023-03-21,14.5,5.0,4.81
2023-03-31,2023-04-20,-2.4,-1.75,-2.27
2023-04-30,2023-05-18,-3.4,-3.15,-3.27
2023-05-31,2023-06-22,0.2,-0.7,-0.68
2023-06-30,2023-07-20,-3.3,-2.33,-1.79
2023-07-31,2023-08-22,-2.2,-0.24,-0.38
2023-08-31,2023-09-21,-0.7,0.74,0.81
2023-09-30,2023-10-19,-2.0,-3.71,-3.57
2023-10-31,2023-11-21,-4.1,-1.52,-1.6
2023-11-30,2023-12-20,0.8,-0.26,-0.3
2023-12-31,2024-01-19,-1.0,0.26,0.24
2024-01-31,2024-02-22,3.1,4.89,4.69
2024-02-29,2024-03-21,9.5,-1.25,-0.58
2024-03-31,2024-04-18,-4.3,-4.11,-4.31
2024-04-30,2024-05-22,-1.9,0.84,0.59
