Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2005-01-31,2005-02-25,6.8,,
2005-02-28,2005-03-23,6.79,6.7,6.72
2005-03-31,2005-04-25,6.89,6.79,6.73
2005-04-30,2005-05-24,7.18,6.9,6.92
2005-05-31,2005-06-23,7.13,7.15,7.13
2005-06-30,2005-07-25,7.33,7.15,7.13
2005-07-31,2005-08-23,7.16,7.25,7.26
2005-08-31,2005-09-26,7.29,7.12,7.13
2005-09-30,2005-10-25,7.28,7.2,7.17
2005-10-31,2005-11-28,7.09,7.2,7.18
2005-11-30,2005-12-29,6.97,7.0,7.02
2005-12-31,2006-01-25,6.6,6.87,6.87
2006-01-31,2006-02-28,6.56,6.6,6.65
2006-02-28,2006-03-23,6.91,6.5,6.5
2006-03-31,2006-04-25,6.92,6.66,6.65
2006-04-30,2006-05-25,6.76,6.75,6.72
2006-05-31,2006-06-27,6.67,6.6,6.62
2006-06-30,2006-07-25,6.62,6.6,6.59
2006-07-31,2006-08-23,6.33,6.55,6.55
2006-08-31,2006-09-25,6.3,6.2,6.17
2006-09-30,2006-10-25,6.18,6.23,6.22
2006-10-31,2006-11-28,6.24,6.14,6.14
2006-11-30,2006-12-28,6.28,6.19,6.18
2006-12-31,2007-01-25,6.22,6.25,6.26
2007-01-31,2007-02-27,6.46,6.24,6.24
2007-02-28,2007-03-23,6.69,6.3,6.31
2007-03-31,2007-04-24,6.12,6.4,6.43
2007-04-30,2007-05-25,5.99,6.12,6.12
2007-05-31,2007-06-25,5.99,5.97,5.97
2007-06-30,2007-07-25,5.75,5.86,5.86
2007-07-31,2007-08-27,5.75,5.7,5.71
2007-08-31,2007-09-25,5.5,5.48,5.47
2007-09-30,2007-10-24,5.04,5.25,5.26
2007-10-31,2007-11-28,4.97,5.0,4.98
2007-11-30,2007-12-31,5.0,4.97,4.96
2007-12-31,2008-01-24,4.89,4.95,4.95
2008-01-31,2008-02-25,4.89,4.8,4.81
2008-02-29,2008-03-24,5.03,4.85,4.84
2008-03-31,2008-04-22,4.93,4.92,4.92
2008-04-30,2008-05-23,4.89,4.85,4.85
2008-05-31,2008-06-26,4.99,4.95,4.94
2008-06-30,2008-07-24,4.86,4.94,4.94
2008-07-31,2008-08-25,5.0,4.91,4.91
2008-08-31,2008-09-24,4.91,4.94,4.94
2008-09-30,2008-10-24,5.18,4.95,4.95
2008-10-31,2008-11-24,4.98,5.0,5.0
2008-11-30,2008-12-23,4.49,4.93,4.9
2008-12-31,2009-01-26,4.74,4.4,4.39
2009-01-31,2009-02-25,4.49,4.79,4.77
2009-02-28,2009-03-23,4.72,4.45,4.46
2009-03-31,2009-04-23,4.57,4.65,4.66
2009-04-30,2009-05-27,4.68,4.66,4.66
2009-05-31,2009-06-23,4.77,4.82,4.82
2009-06-30,2009-07-23,4.89,4.84,4.83
2009-07-31,2009-08-21,5.24,5.0,4.99
2009-08-31,2009-09-24,5.1,5.35,5.35
2009-09-30,2009-10-23,5.57,5.35,5.35
2009-10-31,2009-11-23,6.1,5.7,5.68
2009-11-30,2009-12-22,6.54,6.25,6.23
2009-12-31,2010-01-25,5.45,5.9,5.95
2010-01-31,2010-02-26,5.05,5.5,5.49
2010-02-28,2010-03-23,5.02,5.0,4.98
2010-03-31,2010-04-22,5.35,5.29,5.28
2010-04-30,2010-05-24,5.77,5.62,5.63
2010-05-31,2010-06-22,5.66,6.12,6.09
2010-06-30,2010-07-22,5.37,5.1,5.13
2010-07-31,2010-08-24,3.83,4.65,4.66
2010-08-31,2010-09-23,4.13,4.1,4.12
2010-09-30,2010-10-25,4.53,4.3,4.32
2010-10-31,2010-11-23,4.43,4.48,4.45
2010-11-30,2010-12-22,4.68,4.75,4.72
2010-12-31,2011-01-20,5.28,4.87,4.86
2011-01-31,2011-02-23,5.36,5.22,5.21
2011-02-28,2011-03-21,4.88,5.13,5.11
2011-03-31,2011-04-20,5.1,5.0,5.01
2011-04-30,2011-05-19,5.05,5.2,5.23
2011-05-31,2011-06-21,4.81,4.8,4.79
2011-06-30,2011-07-20,4.77,4.9,4.92
2011-07-31,2011-08-18,4.67,4.9,4.9
2011-08-31,2011-09-21,5.03,4.75,4.74
2011-09-30,2011-10-20,4.91,4.91,4.91
2011-10-31,2011-11-21,4.97,4.8,4.8
2011-11-30,2011-12-21,4.42,5.05,4.99
2011-12-31,2012-01-20,4.61,4.65,4.64
2012-01-31,2012-02-22,4.57,4.66,4.67
2012-02-29,2012-03-21,4.59,4.61,4.62
2012-03-31,2012-04-19,4.48,4.61,4.61
2012-04-30,2012-05-22,4.62,4.61,4.63
2012-05-31,2012-06-21,4.55,4.57,4.57
2012-06-30,2012-07-19,4.37,4.62,4.63
2012-07-31,2012-08-22,4.47,4.51,4.52
2012-08-31,2012-09-19,4.82,4.56,4.56
2012-09-30,2012-10-19,4.75,4.75,4.74
2012-10-31,2012-11-19,4.79,4.74,4.73
2012-11-30,2012-12-20,5.04,4.9,4.87
2012-12-31,2013-01-22,4.94,5.1,5.09
2013-01-31,2013-02-21,4.92,4.9,4.91
2013-02-28,2013-03-21,4.98,5.0,5.0
2013-03-31,2013-04-22,4.92,5.0,5.01
2013-04-30,2013-05-22,4.97,4.99,4.98
2013-05-31,2013-06-20,5.18,5.0,5.01
2013-06-30,2013-07-22,5.08,5.26,5.25
2013-07-31,2013-08-21,5.39,5.15,5.16
2013-08-31,2013-09-19,5.48,5.25,5.25
2013-09-30,2013-10-21,5.29,5.3,5.3
2013-10-31,2013-11-20,5.12,5.14,5.14
2013-11-30,2013-12-19,4.9,5.02,5.04
2013-12-31,2014-01-23,4.87,4.93,4.93
2014-01-31,2014-02-21,4.62,4.67,4.68
2014-02-28,2014-03-20,4.6,4.6,4.61
2014-03-31,2014-04-22,4.59,4.56,4.58
2014-04-30,2014-05-22,4.65,4.69,4.68
2014-05-31,2014-06-23,4.89,4.74,4.73
2014-06-30,2014-07-22,5.04,4.99,4.98
2014-07-31,2014-08-21,5.15,5.01,5.03
2014-08-31,2014-09-22,5.05,5.2,5.19
2014-09-30,2014-10-21,5.17,5.1,5.09
2014-10-31,2014-11-20,5.26,5.15,5.16
2014-11-30,2014-12-22,4.93,5.2,5.17
2014-12-31,2015-01-23,5.04,5.08,5.07
