Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-08-04,1.7,1.5,1.6
2003-07-31,2003-09-04,1.6,0.8,0.9
2003-08-31,2003-10-02,-0.8,-0.5,-0.4
2003-09-30,2003-11-05,0.5,0.6,0.6
2003-10-31,2003-12-05,2.2,2.1,2.0
2003-11-30,2004-01-06,-1.4,-1.5,-1.4
2003-12-31,2004-02-04,1.1,0.2,0.3
2004-01-31,2004-03-04,-0.5,-0.5,-0.3
2004-02-29,2004-03-31,0.3,1.5,1.5
2004-03-31,2004-05-04,4.3,2.4,2.4
2004-04-30,2004-06-03,-1.7,-1.4,-1.4
2004-05-31,2004-07-02,-0.3,-0.7,-0.5
2004-06-30,2004-08-04,0.7,0.5,0.6
2004-07-31,2004-09-02,1.3,1.1,1.1
2004-08-31,2004-10-04,-0.1,0.1,0.1
2004-09-30,2004-11-03,-0.4,0.4,0.4
2004-10-31,2004-12-02,0.5,0.2,0.2
2004-11-30,2005-01-04,1.2,1.0,0.9
2004-12-31,2005-02-03,0.3,0.6,0.6
2005-01-31,2005-03-04,0.2,-0.1,0.0
2005-02-28,2005-03-31,0.2,0.5,0.5
2005-03-31,2005-05-03,0.1,-1.2,-1.0
2005-04-30,2005-06-02,0.9,1.1,1.1
2005-05-31,2005-07-05,2.9,3.0,2.9
2005-06-30,2005-08-02,1.0,1.0,1.1
2005-07-31,2005-08-30,-1.9,-2.3,-2.3
2005-08-31,2005-10-04,2.5,2.0,2.0
2005-09-30,2005-11-03,-1.7,-1.0,-0.9
2005-10-31,2005-12-06,2.2,2.3,2.2
2005-11-30,2006-01-04,2.5,2.4,2.2
2005-12-31,2006-02-03,1.1,1.0,1.0
2006-01-31,2006-03-06,-4.5,-5.4,-5.3
2006-02-28,2006-03-31,0.2,1.3,1.3
2006-03-31,2006-05-03,4.2,3.7,3.5
2006-04-30,2006-06-02,-1.8,-2.1,-1.9
2006-05-31,2006-07-05,0.7,0.1,0.1
2006-06-30,2006-08-03,1.2,1.8,1.7
2006-07-31,2006-08-31,-0.6,-0.9,-0.8
2006-08-31,2006-10-04,0.0,-0.2,-0.1
2006-09-30,2006-11-02,2.1,4.0,3.7
2006-10-31,2006-12-05,-4.7,-4.2,-4.0
2006-11-30,2007-01-04,0.9,1.3,1.3
2006-12-31,2007-02-02,2.4,1.9,2.0
2007-01-31,2007-03-06,-5.6,-4.5,-4.2
2007-02-28,2007-04-04,1.0,1.8,1.9
2007-03-31,2007-05-02,3.1,2.2,2.2
2007-04-30,2007-06-04,0.3,0.7,0.8
2007-05-31,2007-07-03,-0.5,-1.2,-1.2
2007-06-30,2007-08-02,0.6,1.0,0.9
2007-07-31,2007-08-31,3.7,3.3,3.0
2007-08-31,2007-10-04,-3.3,-2.8,-2.7
