Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,14.6,,
2003-09-30,2003-09-30,-0.1,,
2003-12-31,2003-12-31,7.6,,
2004-03-31,2004-03-31,4.4,,
2004-06-30,2004-06-30,2.4,,
2004-09-30,2004-09-30,4.5,,
2004-12-31,2004-12-31,-0.7,,
2005-03-31,2005-03-31,4.5,,
2005-06-30,2005-06-30,-0.4,,
2005-09-30,2005-09-30,3.1,,
2005-12-31,2005-12-31,0.1,,
2006-03-31,2006-03-31,10.8,,
2006-06-30,2006-06-30,-2.7,,
2006-09-30,2006-09-30,-3.6,,
2006-12-31,2006-12-31,5.9,,
2007-03-31,2007-03-31,-2.4,,
2007-06-30,2007-06-30,6.7,,
2007-09-30,2007-09-30,3.5,,
2007-12-31,2007-12-31,6.9,,
2008-03-31,2008-03-31,6.2,,
2008-06-30,2008-06-30,8.8,,
2008-09-30,2008-09-30,5.3,,
2008-12-31,2008-12-31,5.3,,
2009-03-31,2009-03-31,5.4,,
2009-06-30,2009-06-30,9.8,,
2009-09-30,2009-09-30,3.7,,
2009-12-31,2009-12-31,6.1,,
2010-03-31,2010-03-31,4.5,,
2010-06-30,2010-06-30,5.3,,
2010-09-30,2010-09-30,-1.8,,
2010-12-31,2010-12-31,-0.6,,
2011-03-31,2011-03-31,-5.5,,
2011-06-30,2011-06-30,-1.5,,
2011-09-30,2011-09-30,-8.4,,
2011-12-31,2011-12-31,1.5,,
2012-03-31,2012-03-31,0.0,,
2012-06-30,2012-06-30,-3.1,,
2012-09-30,2012-09-30,0.8,,
2012-12-31,2012-12-31,-7.7,,
2013-03-31,2013-03-31,-8.7,,
2013-06-30,2013-06-30,-3.0,,
2013-09-30,2013-09-30,-5.5,,
2013-12-31,2013-12-31,-6.6,,
2014-03-31,2014-03-31,-0.3,,
2014-06-30,2014-06-30,-2.3,,
2014-09-30,2014-09-30,4.7,,
2014-12-31,2014-12-31,-5.9,,
2015-03-31,2015-03-31,1.6,,
2015-06-30,2015-06-30,1.2,,
2015-09-30,2015-09-30,-0.4,,
2015-12-31,2015-12-31,3.0,,
2016-03-31,2016-03-31,0.3,,
2016-06-30,2016-06-30,-2.0,,
2016-09-30,2016-09-30,2.1,,
2016-12-31,2016-12-31,0.3,,
2017-03-31,2017-03-31,-1.7,,
2017-06-30,2017-06-30,2.2,,
2017-09-30,2017-09-30,-0.2,,
2017-12-31,2017-12-31,5.5,,
2018-03-31,2018-03-31,4.1,,
2018-06-30,2018-06-30,2.9,,
2018-09-30,2018-09-30,5.2,,
2018-12-31,2018-12-31,1.9,,
2019-03-31,2019-03-31,4.4,,
2019-06-30,2019-06-30,4.1,,
2019-09-30,2019-09-30,5.1,,
2019-12-31,2019-12-31,2.2,,
2020-03-31,2020-03-31,4.2,,
2020-06-30,2020-06-30,32.9,,
2020-09-30,2020-09-30,-12.1,,
2020-12-31,2020-12-31,0.1,,
2021-03-31,2021-03-31,17.2,,
2021-06-30,2021-06-30,-8.0,,
2021-09-30,2021-09-30,-7.5,,
2021-12-31,2021-12-31,3.1,,
2022-03-31,2022-03-31,-8.5,,
2022-06-30,2022-06-30,-3.3,,
2022-09-30,2022-09-30,-0.4,,
2022-12-31,2022-12-31,9.0,,
2023-03-31,2023-03-31,4.6,,
2023-06-30,2023-06-30,-1.1,,
2023-09-30,2023-09-30,5.3,,
2023-12-31,2023-12-31,-0.3,,
2024-03-31,2024-03-31,-0.4,,
2024-06-30,2024-06-30,4.3,,
2024-09-30,2024-09-30,8.9,,
2024-12-31,2024-12-31,4.0,,
2025-03-31,2025-03-31,-4.6,,
