Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2011-04-30,2011-05-06,-190.0,,
2011-05-31,2011-06-03,105.0,,
2011-06-30,2011-07-08,-445.0,,
2011-07-31,2011-08-05,-38.0,,
2011-08-31,2011-09-02,331.0,,
2011-09-30,2011-10-07,398.0,,
2011-10-31,2011-11-04,277.0,,
2011-11-30,2011-12-02,278.0,,
2011-12-31,2012-01-06,176.0,,
2012-01-31,2012-02-03,847.0,,
2012-02-29,2012-03-09,428.0,,
2012-03-31,2012-04-06,-31.0,,
2012-04-30,2012-05-04,-169.0,,
2012-05-31,2012-06-01,422.0,,
2012-06-30,2012-07-06,128.0,,
2012-07-31,2012-08-03,-195.0,,
2012-08-31,2012-09-07,-119.0,,
2012-09-30,2012-10-05,873.0,,
2012-10-31,2012-11-02,410.0,,
2012-11-30,2012-12-07,-122.0,,
2012-12-31,2013-01-04,28.0,,
2013-01-31,2013-02-01,17.0,,
2013-02-28,2013-03-08,170.0,,
2013-03-31,2013-04-05,-206.0,,
2013-04-30,2013-05-03,293.0,,
2013-05-31,2013-06-07,319.0,,
2013-06-30,2013-07-05,160.0,,
2013-07-31,2013-08-02,227.0,,
2013-08-31,2013-09-06,-115.0,,
2013-09-30,2013-10-22,133.0,,
2013-10-31,2013-11-08,-735.0,,
2013-11-30,2013-12-06,818.0,735.0,773.0
2013-12-31,2014-01-10,143.0,,
2014-01-31,2014-02-07,638.0,,
2014-02-28,2014-03-07,42.0,,
2014-03-31,2014-04-04,476.0,210.0,300.0
2014-04-30,2014-05-02,-73.0,250.0,315.0
2014-05-31,2014-06-06,145.0,,
2014-06-30,2014-07-03,407.0,,
2014-07-31,2014-08-01,131.0,,
2014-08-31,2014-09-05,16.0,238.0,256.0
2014-09-30,2014-10-03,232.0,235.0,255.0
2014-10-31,2014-11-07,683.0,,
2014-11-30,2014-12-05,4.0,320.0,320.0
2014-12-31,2015-01-09,111.0,310.0,300.0
2015-01-31,2015-02-06,759.0,250.0,277.0
2015-02-28,2015-03-06,96.0,250.0,227.0
2015-03-31,2015-04-03,34.0,245.0,260.0
2015-04-30,2015-05-08,192.0,,
2015-05-31,2015-06-05,272.0,,
2015-06-30,2015-07-02,-56.0,,
2015-07-31,2015-08-07,101.0,,
2015-08-31,2015-09-04,196.0,300.0,327.0
2015-09-30,2015-10-02,-236.0,,
2015-10-31,2015-11-06,320.0,188.0,198.0
2015-11-30,2015-12-04,244.0,225.0,208.0
2015-12-31,2016-01-08,485.0,,
2016-01-31,2016-02-05,615.0,,
2016-02-29,2016-03-04,530.0,175.0,184.0
2016-03-31,2016-04-01,246.0,180.0,177.0
2016-04-30,2016-05-06,-316.0,170.0,160.0
2016-05-31,2016-06-03,26.0,,
2016-06-30,2016-07-08,67.0,,
2016-07-31,2016-08-05,420.0,,
2016-08-31,2016-09-02,97.0,,
2016-09-30,2016-10-07,354.0,,
2016-10-31,2016-11-04,-43.0,,
2016-11-30,2016-12-02,160.0,,
