Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,147056.0,,
2003-07-31,2003-07-31,146485.0,,
2003-08-31,2003-08-31,146445.0,,
2003-09-30,2003-09-30,146530.0,,
2003-10-31,2003-10-31,146716.0,,
2003-11-30,2003-11-30,147000.0,,
2003-12-31,2003-12-31,146729.0,,
2004-01-31,2004-01-31,146842.0,,
2004-02-29,2004-02-29,146709.0,,
2004-03-31,2004-03-31,146944.0,,
2004-04-30,2004-04-30,146850.0,,
2004-05-31,2004-05-31,147065.0,,
2004-06-30,2004-06-30,147460.0,,
2004-07-31,2004-07-31,147692.0,,
2004-08-31,2004-08-31,147564.0,,
2004-09-30,2004-09-30,147415.0,,
2004-10-31,2004-10-31,147793.0,,
2004-11-30,2004-11-30,148162.0,,
2004-12-31,2004-12-31,148059.0,,
2005-01-31,2005-01-31,148029.0,,
2005-02-28,2005-02-28,148364.0,,
2005-03-31,2005-03-31,148391.0,,
2005-04-30,2005-04-30,148926.0,,
2005-05-31,2005-05-31,149261.0,,
2005-06-30,2005-06-30,149238.0,,
2005-07-31,2005-07-31,149432.0,,
2005-08-31,2005-08-31,149779.0,,
2005-09-30,2005-09-30,149954.0,,
2005-10-31,2005-10-31,150001.0,,
2005-11-30,2005-11-30,150065.0,,
2005-12-31,2005-12-31,150030.0,,
2006-01-31,2006-01-31,150214.0,,
2006-02-28,2006-02-28,150641.0,,
2006-03-31,2006-03-31,150813.0,,
2006-04-30,2006-04-30,150881.0,,
2006-05-31,2006-05-31,151069.0,,
2006-06-30,2006-06-30,151354.0,,
2006-07-31,2006-07-31,151377.0,,
2006-08-31,2006-08-31,151716.0,,
2006-09-30,2006-09-30,151662.0,,
2006-10-31,2006-10-31,152041.0,,
2006-11-30,2006-11-30,152406.0,,
2006-12-31,2006-12-31,152732.0,,
2007-01-31,2007-01-31,153144.0,,
2007-02-28,2007-02-28,152983.0,,
2007-03-31,2007-03-31,153051.0,,
2007-04-30,2007-04-30,152435.0,,
2007-05-31,2007-05-31,152670.0,,
2007-06-30,2007-06-30,153041.0,,
2007-07-31,2007-07-31,153054.0,,
2007-08-31,2007-08-31,152749.0,,
2007-09-30,2007-09-30,153414.0,,
2007-10-31,2007-10-31,153183.0,,
2007-11-30,2007-11-30,153835.0,,
2007-12-31,2007-12-31,153918.0,,
2008-01-31,2008-01-31,154063.0,,
2008-02-29,2008-02-29,153653.0,,
2008-03-31,2008-03-31,153908.0,,
2008-04-30,2008-04-30,153769.0,,
2008-05-31,2008-05-31,154303.0,,
2008-06-30,2008-06-30,154313.0,,
2008-07-31,2008-07-31,154469.0,,
2008-08-31,2008-08-31,154641.0,,
2008-09-30,2008-09-30,154570.0,,
2008-10-31,2008-10-31,154876.0,,
2008-11-30,2008-11-30,154639.0,,
2008-12-31,2008-12-31,154655.0,,
2009-01-31,2009-01-31,154210.0,,
2009-02-28,2009-02-28,154538.0,,
2009-03-31,2009-03-31,154133.0,,
2009-04-30,2009-04-30,154509.0,,
2009-05-31,2009-05-31,154747.0,,
2009-06-30,2009-06-30,154716.0,,
2009-07-31,2009-07-31,154502.0,,
2009-08-31,2009-08-31,154307.0,,
2009-09-30,2009-09-30,153827.0,,
2009-10-31,2009-10-31,153784.0,,
2009-11-30,2009-11-30,153878.0,,
2009-12-31,2009-12-31,153111.0,,
2010-01-31,2010-01-31,153484.0,,
2010-02-28,2010-02-28,153694.0,,
2010-03-31,2010-03-31,153954.0,,
2010-04-30,2010-04-30,154622.0,,
2010-05-31,2010-05-31,154091.0,,
2010-06-30,2010-06-30,153616.0,,
2010-07-31,2010-07-31,153691.0,,
2010-08-31,2010-08-31,154086.0,,
2010-09-30,2010-09-30,153975.0,,
2010-10-31,2010-10-31,153635.0,,
2010-11-30,2010-11-30,154125.0,,
2010-12-31,2010-12-31,153650.0,,
2011-01-31,2011-01-31,153263.0,,
2011-02-28,2011-02-28,153214.0,,
2011-03-31,2011-03-31,153376.0,,
2011-04-30,2011-04-30,153543.0,,
2011-05-31,2011-05-31,153479.0,,
2011-06-30,2011-06-30,153346.0,,
2011-07-31,2011-07-31,153288.0,,
2011-08-31,2011-08-31,153760.0,,
2011-09-30,2011-09-30,154131.0,,
2011-10-31,2011-10-31,153961.0,,
2011-11-30,2011-11-30,154128.0,,
2011-12-31,2011-12-31,153995.0,,
2012-01-31,2012-01-31,154381.0,,
2012-02-29,2012-02-29,154671.0,,
2012-03-31,2012-03-31,154749.0,,
2012-04-30,2012-04-30,154545.0,,
2012-05-31,2012-05-31,154866.0,,
2012-06-30,2012-06-30,155083.0,,
2012-07-31,2012-07-31,154948.0,,
2012-08-31,2012-08-31,154763.0,,
2012-09-30,2012-09-30,155160.0,,
2012-10-31,2012-10-31,155554.0,,
2012-11-30,2012-11-30,155338.0,,
2012-12-31,2012-12-31,155628.0,,
2013-01-31,2013-01-31,155763.0,,
2013-02-28,2013-02-28,155312.0,,
2013-03-31,2013-03-31,155005.0,,
2013-04-30,2013-04-30,155394.0,,
2013-05-31,2013-05-31,155536.0,,
2013-06-30,2013-06-30,155749.0,,
2013-07-31,2013-07-31,155599.0,,
2013-08-31,2013-08-31,155605.0,,
2013-09-30,2013-09-30,155687.0,,
2013-10-31,2013-10-31,154673.0,,
2013-11-30,2013-11-30,155265.0,,
2013-12-31,2013-12-31,155182.0,,
2014-01-31,2014-01-31,155352.0,,
2014-02-28,2014-02-28,155483.0,,
2014-03-31,2014-03-31,156028.0,,
2014-04-30,2014-04-30,155369.0,,
2014-05-31,2014-05-31,155684.0,,
2014-06-30,2014-06-30,155707.0,,
2014-07-31,2014-07-31,156007.0,,
2014-08-31,2014-08-31,156130.0,,
2014-09-30,2014-09-30,156040.0,,
2014-10-31,2014-10-31,156417.0,,
2014-11-30,2014-11-30,156494.0,,
2014-12-31,2014-12-31,156332.0,,
2015-01-31,2015-01-31,157030.0,,
2015-02-28,2015-02-28,156644.0,,
2015-03-31,2015-03-31,156643.0,,
2015-04-30,2015-04-30,157060.0,,
2015-05-31,2015-05-31,157651.0,,
2015-06-30,2015-06-30,157062.0,,
2015-07-31,2015-07-31,156997.0,,
2015-08-31,2015-08-31,157172.0,,
2015-09-30,2015-09-30,156733.0,,
2015-10-31,2015-10-31,157167.0,,
2015-11-30,2015-11-30,157463.0,,
2015-12-31,2015-12-31,158035.0,,
2016-01-31,2016-01-31,158280.0,,
2016-02-29,2016-02-29,158640.0,,
2016-03-31,2016-03-31,159179.0,,
2016-04-30,2016-04-30,159141.0,,
2016-05-31,2016-05-31,158784.0,,
2016-06-30,2016-06-30,158967.0,,
2016-07-31,2016-07-31,159194.0,,
2016-08-31,2016-08-31,159562.0,,
2016-09-30,2016-09-30,159714.0,,
2016-10-31,2016-10-31,159605.0,,
2016-11-30,2016-11-30,159506.0,,
2016-12-31,2016-12-31,159678.0,,
2017-01-31,2017-01-31,159620.0,,
2017-02-28,2017-02-28,159859.0,,
2017-03-31,2017-03-31,160137.0,,
2017-04-30,2017-04-30,160345.0,,
2017-05-31,2017-05-31,160068.0,,
2017-06-30,2017-06-30,160192.0,,
2017-07-31,2017-07-31,160462.0,,
2017-08-31,2017-08-31,160586.0,,
2017-09-30,2017-09-30,161140.0,,
2017-10-31,2017-10-31,160309.0,,
2017-11-30,2017-11-30,160579.0,,
2017-12-31,2017-12-31,160535.0,,
2018-01-31,2018-01-31,160914.0,,
2018-02-28,2018-02-28,161778.0,,
2018-03-31,2018-03-31,161686.0,,
2018-04-30,2018-04-30,161771.0,,
2018-05-31,2018-05-31,161848.0,,
2018-06-30,2018-06-30,162210.0,,
2018-07-31,2018-07-31,162341.0,,
2018-08-31,2018-08-31,161660.0,,
2018-09-30,2018-09-30,162087.0,,
2018-10-31,2018-10-31,162602.0,,
2018-11-30,2018-11-30,162836.0,,
2018-12-31,2018-12-31,163206.0,,
2019-01-31,2019-01-31,162963.0,,
2019-02-28,2019-02-28,162999.0,,
2019-03-31,2019-03-31,162904.0,,
2019-04-30,2019-04-30,162586.0,,
2019-05-31,2019-05-31,162751.0,,
2019-06-30,2019-06-30,163168.0,,
2019-07-31,2019-07-31,163590.0,,
2019-08-31,2019-08-31,163774.0,,
2019-09-30,2019-09-30,164092.0,,
2019-10-31,2019-10-31,164416.0,,
2019-11-30,2019-11-30,164496.0,,
2019-12-31,2019-12-31,164699.0,,
2020-01-31,2020-01-31,164377.0,,
2020-02-29,2020-02-29,164467.0,,
2020-03-31,2020-03-31,162559.0,,
2020-04-30,2020-04-30,156269.0,,
2020-05-31,2020-05-31,158101.0,,
2020-06-30,2020-06-30,159994.0,,
2020-07-31,2020-07-31,160132.0,,
2020-08-31,2020-08-31,160706.0,,
2020-09-30,2020-09-30,160174.0,,
2020-10-31,2020-10-31,161003.0,,
2020-11-30,2020-11-30,160629.0,,
2020-12-31,2020-12-31,160745.0,,
2021-01-31,2021-01-31,160088.0,,
2021-02-28,2021-02-28,160184.0,,
