Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,55.35,,
2003-07-31,2003-07-31,59.55,,
2003-08-31,2003-08-31,64.0,,
2003-09-30,2003-09-30,61.1,,
2003-10-31,2003-10-31,64.3,,
2003-11-30,2003-11-30,65.2,,
2003-12-31,2003-12-31,66.25,,
2004-01-31,2004-01-31,68.0,,
2004-02-29,2004-02-29,63.85,,
2004-03-31,2004-03-31,63.35,,
2004-04-30,2004-04-30,64.35,,
2004-05-31,2004-05-31,62.6,,
2004-06-30,2004-06-30,61.5,,
2004-07-31,2004-07-31,63.0,,
2004-08-31,2004-08-31,60.55,,
2004-09-30,2004-09-30,59.15,,
2004-10-31,2004-10-31,60.05,,
2004-11-30,2004-11-30,60.6,,
2004-12-31,2004-12-31,64.75,,
2005-01-31,2005-01-31,60.15,,
2005-02-28,2005-02-28,59.6,,
2005-03-31,2005-03-31,59.1,,
2005-04-30,2005-04-30,55.45,,
2005-05-31,2005-05-31,55.0,,
2005-06-30,2005-06-30,57.45,,
2005-07-31,2005-07-31,60.8,,
2005-08-31,2005-08-31,61.55,,
2005-09-30,2005-09-30,58.55,,
2005-10-31,2005-10-31,59.45,,
2005-11-30,2005-11-30,60.4,,
2005-12-31,2005-12-31,61.45,,
2006-01-31,2006-01-31,58.15,,
2006-02-28,2006-02-28,59.4,,
2006-03-31,2006-03-31,57.8,,
2006-04-30,2006-04-30,58.4,,
2006-05-31,2006-05-31,56.75,,
2006-06-30,2006-06-30,56.0,,
2006-07-31,2006-07-31,56.95,,
2006-08-31,2006-08-31,54.2,,
2006-09-30,2006-09-30,55.65,,
2006-10-31,2006-10-31,54.7,,
2006-11-30,2006-11-30,53.75,,
2006-12-31,2006-12-31,53.1,,
2007-01-31,2007-01-31,53.9,,
2007-02-28,2007-02-28,55.4,,
2007-03-31,2007-03-31,51.7,,
2007-04-30,2007-04-30,56.15,,
2007-05-31,2007-05-31,57.85,,
2007-06-30,2007-06-30,57.45,,
2007-07-31,2007-07-31,56.55,,
2007-08-31,2007-08-31,55.55,,
2007-09-30,2007-09-30,53.5,,
2007-10-31,2007-10-31,55.85,,
2007-11-30,2007-11-30,52.15,,
2007-12-31,2007-12-31,49.5,,
2008-01-31,2008-01-31,45.65,,
2008-02-29,2008-02-29,50.3,,
2008-03-31,2008-03-31,49.3,,
2008-04-30,2008-04-30,48.05,,
2008-05-31,2008-05-31,50.9,,
2008-06-30,2008-06-30,49.25,,
2008-07-31,2008-07-31,48.9,,
2008-08-31,2008-08-31,49.55,,
2008-09-30,2008-09-30,47.3,,
2008-10-31,2008-10-31,38.1,,
2008-11-30,2008-11-30,34.95,,
2008-12-31,2008-12-31,32.3,,
2009-01-31,2009-01-31,36.55,,
2009-02-28,2009-02-28,36.65,,
2009-03-31,2009-03-31,39.25,,
2009-04-30,2009-04-30,46.4,,
2009-05-31,2009-05-31,48.45,,
2009-06-30,2009-06-30,49.2,,
2009-07-31,2009-07-31,53.2,,
2009-08-31,2009-08-31,57.8,,
2009-09-30,2009-09-30,58.7,,
2009-10-31,2009-10-31,56.7,,
2009-11-30,2009-11-30,59.4,,
2009-12-31,2009-12-31,57.65,,
2010-01-31,2010-01-31,56.4,,
2010-02-28,2010-02-28,55.55,,
2010-03-31,2010-03-31,59.1,,
2010-04-30,2010-04-30,61.0,,
2010-05-31,2010-05-31,59.6,,
2010-06-30,2010-06-30,57.6,,
2010-07-31,2010-07-31,56.45,,
2010-08-31,2010-08-31,54.15,,
2010-09-30,2010-09-30,53.05,,
2010-10-31,2010-10-31,58.1,,
2010-11-30,2010-11-30,58.35,,
2010-12-31,2010-12-31,60.9,,
2011-01-31,2011-01-31,63.75,,
2011-02-28,2011-02-28,63.05,,
2011-03-31,2011-03-31,60.45,,
2011-04-30,2011-04-30,58.7,,
2011-05-31,2011-05-31,55.3,,
2011-06-30,2011-06-30,55.0,,
2011-07-31,2011-07-31,55.3,,
2011-08-31,2011-08-31,53.4,,
2011-09-30,2011-09-30,53.2,,
2011-10-31,2011-10-31,52.7,,
2011-11-30,2011-11-30,54.15,,
2011-12-31,2011-12-31,54.8,,
2012-01-31,2012-01-31,61.4,,
2012-02-29,2012-02-29,58.9,,
2012-03-31,2012-03-31,57.6,,
2012-04-30,2012-04-30,57.9,,
2012-05-31,2012-05-31,57.25,,
2012-06-30,2012-06-30,50.8,,
2012-07-31,2012-07-31,50.35,,
2012-08-31,2012-08-31,48.95,,
2012-09-30,2012-09-30,52.95,,
2012-10-31,2012-10-31,54.15,,
2012-11-30,2012-11-30,52.1,,
2012-12-31,2012-12-31,53.6,,
2013-01-31,2013-01-31,56.7,,
2013-02-28,2013-02-28,59.45,,
2013-03-31,2013-03-31,55.05,,
2013-04-30,2013-04-30,54.55,,
2013-05-31,2013-05-31,54.4,,
2013-06-30,2013-06-30,52.45,,
2013-07-31,2013-07-31,55.5,,
2013-08-31,2013-08-31,56.75,,
2013-09-30,2013-09-30,58.6,,
2013-10-31,2013-10-31,56.75,,
2013-11-30,2013-11-30,56.95,,
2013-12-31,2013-12-31,57.75,,
2014-01-31,2014-01-31,54.35,,
2014-02-28,2014-02-28,56.75,,
2014-03-31,2014-03-31,57.4,,
2014-04-30,2014-04-30,58.0,,
2014-05-31,2014-05-31,58.35,,
2014-06-30,2014-06-30,58.95,,
2014-07-31,2014-07-31,58.9,,
2014-08-31,2014-08-31,60.6,,
2014-09-30,2014-09-30,59.2,,
2014-10-31,2014-10-31,59.2,,
2014-11-30,2014-11-30,61.35,,
2014-12-31,2014-12-31,59.2,,
2015-01-31,2015-01-31,56.65,,
2015-02-28,2015-02-28,55.95,,
2015-03-31,2015-03-31,56.6,,
2015-04-30,2015-04-30,55.45,,
2015-05-31,2015-05-31,56.1,,
2015-06-30,2015-06-30,56.05,,
2015-07-31,2015-07-31,57.85,,
2015-08-31,2015-08-31,57.0,,
2015-09-30,2015-09-30,53.5,,
2015-10-31,2015-10-31,55.65,,
2015-11-30,2015-11-30,54.7,,
2015-12-31,2015-12-31,53.6,,
2016-01-31,2016-01-31,53.4,,
2016-02-29,2016-02-29,52.7,,
2016-03-31,2016-03-31,56.35,,
2016-04-30,2016-04-30,56.45,,
2016-05-31,2016-05-31,55.95,,
