Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2016-12-31,2017-01-03,53.1,,
2017-01-31,2017-02-01,56.1,,
2017-02-28,2017-03-01,54.2,,
2017-03-31,2017-04-03,58.9,,
2017-04-30,2017-05-01,52.0,,
2017-05-31,2017-06-01,53.5,,
2017-06-30,2017-07-03,57.2,,
2017-07-31,2017-08-01,55.2,,
2017-08-31,2017-09-01,59.9,,
2017-09-30,2017-10-02,60.3,,
2017-10-31,2017-11-01,59.8,,
2017-11-30,2017-12-01,59.7,,
2017-12-31,2018-01-03,57.0,,
2018-01-31,2018-02-01,54.2,,
2018-02-28,2018-03-01,59.7,,
2018-03-31,2018-04-02,57.3,,
2018-04-30,2018-05-01,54.2,,
2018-05-31,2018-06-01,56.3,,
2018-06-30,2018-07-02,56.0,,
2018-07-31,2018-08-01,56.5,,
2018-08-31,2018-09-04,58.5,,
2018-09-30,2018-10-01,58.8,,
2018-10-31,2018-11-01,56.8,,
2018-11-30,2018-12-03,58.4,,
2018-12-31,2019-01-03,56.2,,
2019-01-31,2019-02-01,55.5,,
2019-02-28,2019-03-01,52.3,,
2019-03-31,2019-04-01,57.5,,
2019-04-30,2019-05-01,52.4,,
2019-05-31,2019-06-03,53.7,,
2019-06-30,2019-07-01,54.5,,
2019-07-31,2019-08-01,51.7,,
2019-08-31,2019-09-03,47.4,,
2019-09-30,2019-10-01,46.3,,
2019-10-31,2019-11-01,47.7,,
2019-11-30,2019-12-02,46.6,48.2,48.2
2019-12-31,2020-01-03,45.1,,
2020-01-31,2020-02-03,46.6,,
2020-02-29,2020-03-02,46.9,47.5,47.9
2020-03-31,2020-04-01,43.8,,
2020-04-30,2020-05-01,27.5,,
2020-05-31,2020-06-01,32.1,,
2020-06-30,2020-07-01,42.1,,
2020-07-31,2020-08-03,44.3,,
2020-08-31,2020-09-01,46.4,,
2020-09-30,2020-10-01,49.6,,
2020-10-31,2020-11-02,53.2,,
2020-11-30,2020-12-01,48.4,,
2020-12-31,2021-01-05,51.5,,
2021-01-31,2021-02-01,52.6,,
2021-02-28,2021-03-01,54.4,,
2021-03-31,2021-04-01,59.6,,
2021-04-30,2021-05-03,55.1,,
2021-05-31,2021-06-01,50.9,54.6,54.7
2021-06-30,2021-07-01,49.9,,
2021-07-31,2021-08-02,52.9,51.7,51.5
2021-08-31,2021-09-01,49.0,,
2021-09-30,2021-10-01,50.2,50.2,50.9
2021-10-31,2021-11-01,52.0,51.0,51.0
2021-11-30,2021-12-01,53.3,,
2021-12-31,2022-01-04,54.2,53.6,53.4
2022-01-31,2022-02-01,54.5,53.0,52.9
2022-02-28,2022-03-01,52.9,54.2,54.1
2022-03-31,2022-04-01,56.3,53.1,53.0
2022-04-30,2022-05-02,50.9,55.0,55.0
2022-05-31,2022-06-01,49.6,52.0,51.7
2022-06-30,2022-07-01,47.3,50.0,49.9
2022-07-31,2022-08-01,49.9,48.2,47.9
2022-08-31,2022-09-01,54.2,49.5,49.4
2022-09-30,2022-10-03,48.7,53.0,53.1
2022-10-31,2022-11-01,50.0,,
2022-11-30,2022-12-01,48.4,50.0,49.6
2022-12-31,2023-01-04,51.4,,
2023-01-31,2023-02-01,50.6,,
2023-02-28,2023-03-01,49.1,,
2023-03-31,2023-04-03,46.9,,
2023-04-30,2023-05-01,50.2,,
2023-05-31,2023-06-01,51.4,,
2023-06-30,2023-07-03,48.1,,
2023-07-31,2023-08-01,44.4,,
2023-08-31,2023-09-01,48.5,,
2023-09-30,2023-10-02,51.2,48.6,47.8
2023-10-31,2023-11-01,46.8,50.6,49.9
2023-11-30,2023-12-01,45.8,47.6,47.6
2023-12-31,2024-01-03,48.1,46.5,46.6
2024-01-31,2024-02-01,47.1,47.0,47.5
2024-02-29,2024-03-01,45.9,48.5,48.3
2024-03-31,2024-04-01,47.4,47.5,47.6
2024-04-30,2024-05-01,48.6,48.2,48.5
2024-05-31,2024-06-03,51.1,48.5,48.6
2024-06-30,2024-07-01,49.3,50.0,50.2
2024-07-31,2024-08-01,43.4,49.2,49.1
2024-08-31,2024-09-03,46.0,,
2024-09-30,2024-10-01,43.9,47.1,46.7
2024-10-31,2024-11-01,44.4,45.0,44.8
2024-11-30,2024-12-02,48.1,47.0,46.8
2024-12-31,2025-01-03,45.3,,
2025-01-31,2025-02-03,50.3,47.8,47.6
2025-02-28,2025-03-03,47.6,50.1,49.9
2025-03-31,2025-04-01,44.7,47.3,47.4
2025-04-30,2025-05-01,46.5,44.6,44.7
2025-05-31,2025-06-02,46.8,,
