Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-01,49.8,51.0,51.2
2003-07-31,2003-08-01,51.8,52.0,51.8
2003-08-31,2003-09-02,54.7,54.0,53.9
2003-09-30,2003-10-01,53.7,54.5,54.5
2003-10-31,2003-11-03,57.0,56.0,55.7
2003-11-30,2003-12-01,62.8,58.5,58.5
2003-12-31,2004-01-02,66.2,61.0,60.9
2004-01-31,2004-02-02,63.6,64.0,63.3
2004-02-29,2004-03-01,61.4,62.0,61.7
2004-03-31,2004-04-01,62.5,59.5,59.6
2004-04-30,2004-05-03,62.4,62.7,62.4
2004-05-31,2004-06-01,62.8,61.5,61.5
2004-06-30,2004-07-01,61.1,61.0,61.2
2004-07-31,2004-08-02,62.0,62.0,61.8
2004-08-31,2004-09-01,59.0,60.0,59.6
2004-09-30,2004-10-01,58.5,58.4,58.6
2004-10-31,2004-11-01,56.8,58.5,58.8
2004-11-30,2004-12-01,57.8,57.0,56.8
2004-12-31,2005-01-03,58.6,58.5,58.5
2005-01-31,2005-02-01,56.4,57.0,56.8
2005-02-28,2005-03-01,55.3,57.0,56.6
2005-03-31,2005-04-01,55.2,55.0,54.9
2005-04-30,2005-05-02,53.3,55.0,55.0
2005-05-31,2005-06-01,51.4,52.0,52.2
2005-06-30,2005-07-01,53.8,51.4,51.2
2005-07-31,2005-08-01,56.6,54.5,54.5
2005-08-31,2005-09-01,53.6,57.0,56.8
2005-09-30,2005-10-03,59.4,52.0,52.1
2005-10-31,2005-11-01,59.1,57.2,57.2
2005-11-30,2005-12-01,58.1,58.0,57.8
2005-12-31,2006-01-03,54.2,57.5,57.5
2006-01-31,2006-02-01,54.8,55.5,55.7
2006-02-28,2006-03-01,56.7,55.5,55.5
2006-03-31,2006-04-03,55.2,57.7,57.6
2006-04-30,2006-05-01,57.3,55.0,55.2
2006-05-31,2006-06-01,54.4,55.7,55.6
2006-06-30,2006-07-03,53.8,55.0,54.9
2006-07-31,2006-08-01,54.7,53.5,53.6
2006-08-31,2006-09-01,54.5,54.5,54.6
2006-09-30,2006-10-02,52.9,53.5,53.7
2006-10-31,2006-11-01,51.2,53.0,52.9
2006-11-30,2006-12-01,49.5,51.5,51.7
2006-12-31,2007-01-03,51.4,50.0,50.0
2007-01-31,2007-02-01,49.3,51.7,51.5
2007-02-28,2007-03-01,52.3,50.0,49.8
2007-03-31,2007-04-02,50.9,51.4,51.5
2007-04-30,2007-05-01,54.7,51.0,50.9
2007-05-31,2007-06-01,55.0,54.0,53.8
2007-06-30,2007-07-02,56.0,55.0,55.1
2007-07-31,2007-08-01,53.8,55.0,55.4
2007-08-31,2007-09-04,52.9,53.0,53.0
2007-09-30,2007-10-01,52.0,52.6,52.6
2007-10-31,2007-11-01,50.9,51.5,51.5
2007-11-30,2007-12-03,50.8,50.8,50.7
2007-12-31,2008-01-02,47.7,50.5,50.5
2008-01-31,2008-02-01,50.7,47.3,47.3
2008-02-29,2008-03-03,48.3,48.0,48.1
2008-03-31,2008-04-01,48.6,47.5,47.3
2008-04-30,2008-05-01,48.6,48.0,47.9
2008-05-31,2008-06-02,49.6,48.5,48.5
2008-06-30,2008-07-01,50.2,48.5,48.6
2008-07-31,2008-08-01,50.0,49.0,49.3
2008-08-31,2008-09-02,49.9,50.0,49.9
2008-09-30,2008-10-01,43.5,49.5,49.4
2008-10-31,2008-11-03,38.9,41.0,41.6
2008-11-30,2008-12-01,36.2,37.0,37.1
2008-12-31,2009-01-02,32.4,35.4,35.5
2009-01-31,2009-02-02,35.6,32.5,32.7
2009-02-28,2009-03-02,35.8,33.8,33.8
2009-03-31,2009-04-01,36.3,36.0,35.9
2009-04-30,2009-05-01,40.1,38.4,38.4
2009-05-31,2009-06-01,42.8,42.3,42.2
2009-06-30,2009-07-01,44.8,44.9,44.6
2009-07-31,2009-08-03,48.9,46.5,46.4
2009-08-31,2009-09-01,52.9,50.5,50.8
2009-09-30,2009-10-01,52.6,54.0,53.9
2009-10-31,2009-11-02,55.7,53.0,53.2
2009-11-30,2009-12-01,53.6,55.0,54.9
2009-12-31,2010-01-04,55.9,54.3,54.2
2010-01-31,2010-02-01,58.4,55.5,55.6
2010-02-28,2010-03-01,56.5,57.9,57.9
2010-03-31,2010-04-01,59.6,57.0,56.8
2010-04-30,2010-05-03,60.4,60.0,59.8
2010-05-31,2010-06-01,59.7,59.0,59.1
2010-06-30,2010-07-01,56.2,59.0,58.8
2010-07-31,2010-08-02,55.5,54.5,54.4
2010-08-31,2010-09-01,56.3,52.8,52.9
2010-09-30,2010-10-01,54.4,54.5,54.4
2010-10-31,2010-11-01,56.9,54.0,54.1
2010-11-30,2010-12-01,56.6,56.5,56.4
2010-12-31,2011-01-03,57.0,57.0,57.0
2011-01-31,2011-02-01,60.8,58.0,58.1
2011-02-28,2011-03-01,61.4,61.0,60.8
2011-03-31,2011-04-01,61.2,61.1,61.0
2011-04-30,2011-05-02,60.4,59.5,59.5
2011-05-31,2011-06-01,53.5,57.1,57.3
2011-06-30,2011-07-01,55.3,52.0,51.6
2011-07-31,2011-08-01,50.9,54.5,54.5
2011-08-31,2011-09-01,50.6,48.5,48.6
2011-09-30,2011-10-03,51.6,50.5,50.5
2011-10-31,2011-11-01,50.8,52.0,52.3
2011-11-30,2011-12-01,52.7,51.8,51.6
2011-12-31,2012-01-03,53.9,53.5,53.3
2012-01-31,2012-02-01,54.1,54.5,54.4
2012-02-29,2012-03-01,52.4,54.5,54.7
2012-03-31,2012-04-02,53.4,53.0,53.0
2012-04-30,2012-05-01,54.8,53.0,52.9
2012-05-31,2012-06-01,53.5,53.8,53.6
2012-06-30,2012-07-02,49.7,52.0,52.1
2012-07-31,2012-08-01,49.8,50.2,50.1
2012-08-31,2012-09-04,49.6,50.0,50.0
2012-09-30,2012-10-01,51.5,49.7,49.7
2012-10-31,2012-11-01,51.7,51.0,51.2
2012-11-30,2012-12-03,49.5,51.4,51.4
2012-12-31,2013-01-02,50.7,50.5,50.4
2013-01-31,2013-02-01,53.1,50.7,50.6
2013-02-28,2013-03-01,54.2,52.5,52.5
2013-03-31,2013-04-01,51.3,54.0,54.0
2013-04-30,2013-05-01,50.7,50.5,50.7
2013-05-31,2013-06-03,49.0,51.0,51.0
2013-06-30,2013-07-01,50.9,50.5,50.5
2013-07-31,2013-08-01,55.4,52.0,52.0
2013-08-31,2013-09-03,55.7,54.0,53.8
2013-09-30,2013-10-01,56.2,55.0,55.0
2013-10-31,2013-11-01,56.4,55.0,54.9
2013-11-30,2013-12-02,57.3,55.1,55.2
2013-12-31,2014-01-02,57.0,56.8,56.7
2014-01-31,2014-02-03,51.3,56.0,56.0
2014-02-28,2014-03-03,53.2,52.3,52.1
2014-03-31,2014-04-01,53.7,54.0,53.8
2014-04-30,2014-05-01,54.9,54.3,54.4
2014-05-31,2014-06-02,55.4,55.5,55.5
2014-06-30,2014-07-01,55.3,55.9,55.8
2014-07-31,2014-08-01,57.1,56.0,56.0
2014-08-31,2014-09-02,59.0,57.0,56.9
2014-09-30,2014-10-01,56.6,58.5,58.4
2014-10-31,2014-11-03,59.0,56.1,56.3
2014-11-30,2014-12-01,58.7,58.0,58.0
2014-12-31,2015-01-02,55.5,57.5,57.3
2015-01-31,2015-02-02,53.5,54.5,54.6
2015-02-28,2015-03-02,52.9,53.0,52.9
2015-03-31,2015-04-01,51.5,52.5,52.6
2015-04-30,2015-05-01,51.5,52.0,52.0
2015-05-31,2015-06-01,52.8,52.0,51.8
2015-06-30,2015-07-01,53.5,53.2,53.2
2015-07-31,2015-08-03,52.7,53.5,53.5
2015-08-31,2015-09-01,51.1,52.5,52.6
2015-09-30,2015-10-01,50.2,50.6,50.6
2015-10-31,2015-11-02,50.1,50.0,50.1
2015-11-30,2015-12-01,48.6,50.5,50.4
2015-12-31,2016-01-04,48.2,49.0,48.9
2016-01-31,2016-02-01,48.2,48.4,48.5
2016-02-29,2016-03-01,49.5,48.5,48.6
2016-03-31,2016-04-01,51.8,51.0,50.9
2016-04-30,2016-05-02,50.8,51.4,51.3
2016-05-31,2016-06-01,51.3,50.3,50.3
2016-06-30,2016-07-01,53.2,51.3,51.2
2016-07-31,2016-08-01,52.6,53.0,52.9
2016-08-31,2016-09-01,49.4,52.0,52.0
2016-09-30,2016-10-03,51.5,50.4,50.2
2016-10-31,2016-11-01,51.9,51.7,51.7
2016-11-30,2016-12-01,53.2,52.5,52.4
2016-12-31,2017-01-03,54.7,53.8,53.8
2017-01-31,2017-02-01,56.0,55.0,55.0
2017-02-28,2017-03-01,57.7,56.2,56.3
2017-03-31,2017-04-03,57.2,57.2,57.4
2017-04-30,2017-05-01,54.8,56.5,56.5
2017-05-31,2017-06-01,54.9,54.8,54.8
2017-06-30,2017-07-03,57.8,55.3,55.3
2017-07-31,2017-08-01,56.3,56.5,56.2
2017-08-31,2017-09-01,58.8,56.5,56.4
2017-09-30,2017-10-02,60.8,58.1,58.1
2017-10-31,2017-11-01,58.7,59.5,59.4
2017-11-30,2017-12-01,58.2,58.3,58.3
2017-12-31,2018-01-03,59.7,58.2,58.3
2018-01-31,2018-02-01,59.1,58.6,58.7
2018-02-28,2018-03-01,60.8,58.7,58.7
2018-03-31,2018-04-02,59.3,59.6,59.6
2018-04-30,2018-05-01,57.3,58.5,58.4
2018-05-31,2018-06-01,58.7,58.2,58.3
2018-06-30,2018-07-02,60.2,58.5,58.5
2018-07-31,2018-08-01,58.1,59.4,59.3
2018-08-31,2018-09-04,61.3,57.6,57.7
2018-09-30,2018-10-01,59.8,60.0,59.9
2018-10-31,2018-11-01,57.7,59.0,58.9
2018-11-30,2018-12-03,59.3,57.5,57.5
2018-12-31,2019-01-03,54.1,57.5,57.4
2019-01-31,2019-02-01,56.6,54.0,54.2
2019-02-28,2019-03-01,54.2,55.8,55.7
2019-03-31,2019-04-01,55.3,54.5,54.5
2019-04-30,2019-05-01,52.8,55.0,54.9
2019-05-31,2019-06-03,52.1,53.0,52.9
2019-06-30,2019-07-01,51.7,51.0,51.1
2019-07-31,2019-08-01,51.2,52.0,51.8
2019-08-31,2019-09-03,49.1,51.3,51.3
2019-09-30,2019-10-01,47.8,50.0,50.1
2019-10-31,2019-11-01,48.3,48.9,48.9
2019-11-30,2019-12-02,48.1,49.2,49.3
2019-12-31,2020-01-03,47.2,49.0,48.9
2020-01-31,2020-02-03,50.9,48.5,48.6
2020-02-29,2020-03-02,50.1,50.5,50.6
2020-03-31,2020-04-01,49.1,44.5,43.9
2020-04-30,2020-05-01,41.5,36.0,36.1
2020-05-31,2020-06-01,43.1,43.8,43.5
2020-06-30,2020-07-01,52.6,49.8,49.7
2020-07-31,2020-08-03,54.2,53.6,53.4
2020-08-31,2020-09-01,56.0,54.8,54.6
2020-09-30,2020-10-01,55.4,56.5,56.2
2020-10-31,2020-11-02,59.3,56.0,56.0
2020-11-30,2020-12-01,57.5,58.0,57.8
2020-12-31,2021-01-05,60.7,56.8,56.7
2021-01-31,2021-02-01,58.7,60.0,60.1
