Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2016-01-31,2016-02-01,51.5,,
2016-02-29,2016-03-01,51.5,,
2016-03-31,2016-04-01,58.3,,
2016-04-30,2016-05-02,55.8,,
2016-05-31,2016-06-01,55.7,52.4,52.1
2016-06-30,2016-07-01,57.0,55.9,55.3
2016-07-31,2016-08-01,56.9,,
2016-08-31,2016-09-01,49.1,,
2016-09-30,2016-10-03,55.1,,
2016-10-31,2016-11-01,52.1,,
2016-11-30,2016-12-01,53.0,,
2016-12-31,2017-01-03,60.2,,
2017-01-31,2017-02-01,60.4,,
2017-02-28,2017-03-01,65.1,,
2017-03-31,2017-04-03,64.5,,
2017-04-30,2017-05-01,57.5,,
2017-05-31,2017-06-01,59.5,,
2017-06-30,2017-07-03,63.5,,
2017-07-31,2017-08-01,60.4,,
2017-08-31,2017-09-01,60.3,60.0,58.3
2017-09-30,2017-10-02,64.6,,
2017-10-31,2017-11-01,63.4,,
2017-11-30,2017-12-01,64.0,,
2017-12-31,2018-01-03,69.4,,
2018-01-31,2018-02-01,65.4,,
2018-02-28,2018-03-01,64.2,,
2018-03-31,2018-04-02,61.9,,
2018-04-30,2018-05-01,61.2,,
2018-05-31,2018-06-01,63.7,,
2018-06-30,2018-07-02,63.5,,
2018-07-31,2018-08-01,60.2,,
2018-08-31,2018-09-04,65.1,,
2018-09-30,2018-10-01,61.8,,
2018-10-31,2018-11-01,57.4,,
2018-11-30,2018-12-03,62.1,,
2018-12-31,2019-01-03,51.1,,
2019-01-31,2019-02-01,58.2,,
2019-02-28,2019-03-01,55.5,,
2019-03-31,2019-04-01,57.4,,
2019-04-30,2019-05-01,51.7,,
2019-05-31,2019-06-03,52.7,,
2019-06-30,2019-07-01,50.0,52.5,52.5
2019-07-31,2019-08-01,50.8,,
2019-08-31,2019-09-03,47.2,50.5,50.7
2019-09-30,2019-10-01,47.3,,
2019-10-31,2019-11-01,49.1,,
2019-11-30,2019-12-02,47.2,49.0,49.0
2019-12-31,2020-01-03,46.8,,
2020-01-31,2020-02-03,52.0,47.7,48.3
2020-02-29,2020-03-02,49.8,51.8,51.8
2020-03-31,2020-04-01,42.2,,
2020-04-30,2020-05-01,27.1,30.0,30.1
2020-05-31,2020-06-01,31.8,,
2020-06-30,2020-07-01,56.4,51.9,53.0
2020-07-31,2020-08-03,61.5,55.1,55.2
2020-08-31,2020-09-01,67.6,58.8,59.9
2020-09-30,2020-10-01,60.2,65.2,64.1
2020-10-31,2020-11-02,67.9,62.0,62.3
2020-11-30,2020-12-01,65.1,,
2020-12-31,2021-01-05,67.9,,
2021-01-31,2021-02-01,61.1,,
2021-02-28,2021-03-01,64.8,60.0,60.2
2021-03-31,2021-04-01,68.0,67.0,66.5
2021-04-30,2021-05-03,64.3,69.5,69.6
2021-05-31,2021-06-01,67.0,66.0,66.1
2021-06-30,2021-07-01,66.0,65.0,65.2
2021-07-31,2021-08-02,64.9,64.2,64.7
2021-08-31,2021-09-01,66.7,61.0,61.5
2021-09-30,2021-10-01,66.7,63.6,62.7
2021-10-31,2021-11-01,59.8,64.2,64.7
2021-11-30,2021-12-01,61.5,,
2021-12-31,2022-01-04,60.4,60.4,59.6
2022-01-31,2022-02-01,57.9,58.0,58.1
2022-02-28,2022-03-01,61.7,56.3,56.3
2022-03-31,2022-04-01,53.8,58.5,59.9
2022-04-30,2022-05-02,53.5,54.1,54.4
2022-05-31,2022-06-01,55.1,52.9,52.6
2022-06-30,2022-07-01,49.2,52.0,52.2
2022-07-31,2022-08-01,48.0,49.0,49.3
2022-08-31,2022-09-01,51.3,48.0,48.0
2022-09-30,2022-10-03,47.1,50.5,50.6
2022-10-31,2022-11-01,49.2,,
2022-11-30,2022-12-01,47.2,48.5,48.2
2022-12-31,2023-01-04,45.2,,
2023-01-31,2023-02-01,42.5,,
2023-02-28,2023-03-01,47.0,,
2023-03-31,2023-04-03,44.3,47.5,47.5
2023-04-30,2023-05-01,45.7,,
2023-05-31,2023-06-01,42.6,,
2023-06-30,2023-07-03,45.6,,
2023-07-31,2023-08-01,47.3,,
2023-08-31,2023-09-01,46.8,,
2023-09-30,2023-10-02,49.2,47.8,47.4
2023-10-31,2023-11-01,45.5,49.8,49.2
2023-11-30,2023-12-01,48.3,46.7,47.4
2023-12-31,2024-01-03,47.1,49.1,48.4
2024-01-31,2024-02-01,52.5,48.2,49.0
2024-02-29,2024-03-01,49.2,52.7,52.2
2024-03-31,2024-04-01,51.4,49.8,50.9
2024-04-30,2024-05-01,49.1,51.0,51.3
2024-05-31,2024-06-03,45.4,49.4,49.3
2024-06-30,2024-07-01,49.3,49.0,49.2
2024-07-31,2024-08-01,47.4,49.0,49.1
2024-08-31,2024-09-03,44.6,,
2024-09-30,2024-10-01,46.1,45.0,45.6
2024-10-31,2024-11-01,47.1,47.0,46.8
2024-11-30,2024-12-02,50.4,48.0,48.0
2024-12-31,2025-01-03,52.5,,
2025-01-31,2025-02-03,55.1,52.0,52.4
2025-02-28,2025-03-03,48.6,54.6,54.0
2025-03-31,2025-04-01,45.2,48.2,48.2
2025-04-30,2025-05-01,47.2,45.0,45.4
2025-05-31,2025-06-02,47.6,,
