Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2008-01-31,2008-02-05,44.6,52.5,52.3
2008-02-29,2008-03-05,49.3,47.3,47.5
2008-03-31,2008-04-03,49.6,48.5,48.5
2008-04-30,2008-05-05,52.0,49.1,49.2
2008-05-31,2008-06-04,51.7,51.0,50.8
2008-06-30,2008-07-03,48.2,51.0,51.0
2008-07-31,2008-08-05,49.5,48.8,48.8
2008-08-31,2008-09-04,50.6,49.5,49.6
2008-09-30,2008-10-03,50.2,50.0,49.7
2008-10-31,2008-11-05,44.4,47.0,46.9
2008-11-30,2008-12-03,37.3,42.0,42.1
2008-12-31,2009-01-06,40.6,36.5,36.5
2009-01-31,2009-02-04,42.9,39.0,39.0
2009-02-28,2009-03-04,41.6,41.0,40.9
2009-03-31,2009-04-03,40.8,42.0,42.0
2009-04-30,2009-05-05,43.7,42.2,42.5
2009-05-31,2009-06-03,44.0,45.0,45.0
2009-06-30,2009-07-06,47.0,46.0,45.8
2009-07-31,2009-08-05,46.4,48.0,48.1
2009-08-31,2009-09-03,48.4,48.0,48.4
2009-09-30,2009-10-05,50.9,50.0,49.7
2009-10-31,2009-11-04,50.6,51.5,51.6
2009-11-30,2009-12-03,48.7,51.5,51.5
2009-12-31,2010-01-06,50.1,50.5,50.5
2010-01-31,2010-02-03,50.5,51.0,51.0
2010-02-28,2010-03-03,53.0,51.0,50.9
2010-03-31,2010-04-05,55.4,54.0,53.7
2010-04-30,2010-05-05,55.4,56.0,56.1
2010-05-31,2010-06-03,55.4,55.6,55.6
2010-06-30,2010-07-06,53.8,55.0,54.8
2010-07-31,2010-08-04,54.3,53.0,53.1
2010-08-31,2010-09-03,51.5,53.2,53.2
2010-09-30,2010-10-05,53.2,52.0,51.9
2010-10-31,2010-11-03,54.3,53.5,53.4
2010-11-30,2010-12-03,55.0,54.8,54.6
2010-12-31,2011-01-05,57.1,55.7,55.7
2011-01-31,2011-02-03,59.4,57.2,57.2
2011-02-28,2011-03-03,59.7,59.3,59.3
2011-03-31,2011-04-05,57.3,59.5,59.6
2011-04-30,2011-05-04,52.8,57.5,57.3
2011-05-31,2011-06-03,54.6,54.0,53.9
2011-06-30,2011-07-06,53.3,53.7,53.7
2011-07-31,2011-08-03,52.7,53.5,53.4
2011-08-31,2011-09-06,53.3,51.0,51.1
2011-09-30,2011-10-05,53.0,52.8,52.8
2011-10-31,2011-11-03,52.9,53.5,53.6
2011-11-30,2011-12-05,52.0,53.9,53.7
2011-12-31,2012-01-05,52.6,53.0,53.1
2012-01-31,2012-02-03,56.8,53.2,53.2
2012-02-29,2012-03-05,57.3,56.0,56.2
2012-03-31,2012-04-04,56.0,56.8,56.8
2012-04-30,2012-05-03,53.5,55.3,55.4
2012-05-31,2012-06-05,53.7,53.4,53.3
2012-06-30,2012-07-05,52.1,53.0,52.8
2012-07-31,2012-08-03,52.6,52.1,52.2
2012-08-31,2012-09-06,53.7,52.5,52.6
2012-09-30,2012-10-03,55.1,53.4,53.3
2012-10-31,2012-11-05,54.2,54.5,54.6
2012-11-30,2012-12-05,54.7,53.5,53.5
2012-12-31,2013-01-04,56.1,54.1,54.1
2013-01-31,2013-02-05,55.2,55.0,55.2
2013-02-28,2013-03-05,56.0,55.0,54.9
2013-03-31,2013-04-03,54.4,55.5,55.6
2013-04-30,2013-05-03,53.1,54.0,53.9
2013-05-31,2013-06-05,53.7,53.5,53.5
2013-06-30,2013-07-03,52.2,54.0,54.2
2013-07-31,2013-08-05,56.0,53.1,53.3
2013-08-31,2013-09-05,58.6,55.0,55.1
2013-09-30,2013-10-03,54.4,57.0,57.1
2013-10-31,2013-11-05,55.4,54.0,54.0
2013-11-30,2013-12-04,53.9,55.0,55.1
2013-12-31,2014-01-06,53.0,54.7,54.6
2014-01-31,2014-02-05,54.0,53.7,53.7
2014-02-28,2014-03-05,51.6,53.5,53.4
2014-03-31,2014-04-03,53.1,53.5,53.3
2014-04-30,2014-05-05,55.2,54.0,54.1
2014-05-31,2014-06-04,56.3,55.5,55.4
2014-06-30,2014-07-03,56.0,56.3,56.3
2014-07-31,2014-08-05,58.7,56.5,56.4
2014-08-31,2014-09-04,59.6,57.7,57.7
2014-09-30,2014-10-03,58.6,58.5,58.5
2014-10-31,2014-11-05,57.1,58.0,58.0
2014-11-30,2014-12-03,59.3,57.5,57.3
2014-12-31,2015-01-06,56.2,58.0,58.1
2015-01-31,2015-02-04,56.7,56.4,56.3
