Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2022-12-31,2023-01-06,49.8,,
2023-01-31,2023-02-03,50.0,,
2023-02-28,2023-03-03,54.0,,
2023-03-31,2023-04-05,51.3,,
2023-04-30,2023-05-03,50.8,,
2023-05-31,2023-06-05,49.2,,
2023-06-30,2023-07-06,53.1,,
2023-07-31,2023-08-03,50.7,,
2023-08-31,2023-09-06,54.7,,
2023-09-30,2023-10-04,53.4,,
2023-10-31,2023-11-03,50.2,53.5,53.3
2023-11-30,2023-12-05,50.7,51.4,51.3
2023-12-31,2024-01-05,43.3,51.0,51.1
2024-01-31,2024-02-05,50.5,49.4,49.5
2024-02-29,2024-03-05,48.0,51.4,51.1
2024-03-31,2024-04-03,48.5,49.0,49.4
2024-04-30,2024-05-03,45.9,49.0,49.2
2024-05-31,2024-06-05,47.1,47.2,47.6
2024-06-30,2024-07-03,46.1,49.5,49.9
2024-07-31,2024-08-05,51.1,46.4,46.7
2024-08-31,2024-09-05,50.2,50.5,50.3
2024-09-30,2024-10-03,48.1,50.0,50.8
2024-10-31,2024-11-05,53.0,48.0,47.8
2024-11-30,2024-12-04,51.5,53.0,52.7
2024-12-31,2025-01-07,51.4,51.4,51.9
2025-01-31,2025-02-05,52.3,,
2025-02-28,2025-03-05,53.9,51.6,51.6
2025-03-31,2025-04-03,46.2,53.0,52.7
2025-04-30,2025-05-05,49.0,47.1,47.6
2025-05-31,2025-06-04,50.7,49.0,49.0
