Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2022-12-31,2023-01-06,45.2,,
2023-01-31,2023-02-03,60.4,,
2023-02-28,2023-03-03,62.6,,
2023-03-31,2023-04-05,52.2,,
2023-04-30,2023-05-03,56.1,,
2023-05-31,2023-06-05,52.9,,
2023-06-30,2023-07-06,55.5,,
2023-07-31,2023-08-03,55.0,,
2023-08-31,2023-09-06,57.5,,
2023-09-30,2023-10-04,51.8,,
2023-10-31,2023-11-03,55.5,51.5,51.7
2023-11-30,2023-12-05,55.5,54.9,54.8
2023-12-31,2024-01-05,52.8,56.1,55.6
2024-01-31,2024-02-05,55.0,54.8,54.8
2024-02-29,2024-03-05,56.1,54.4,54.3
2024-03-31,2024-04-03,54.4,55.5,55.9
2024-04-30,2024-05-03,52.2,54.5,54.4
2024-05-31,2024-06-05,54.1,53.2,52.9
2024-06-30,2024-07-03,47.3,53.6,53.6
2024-07-31,2024-08-05,52.4,49.8,49.2
2024-08-31,2024-09-05,53.0,51.9,51.9
2024-09-30,2024-10-03,59.4,52.5,52.1
2024-10-31,2024-11-05,57.4,58.0,57.7
2024-11-30,2024-12-04,53.7,56.6,56.7
2024-12-31,2025-01-07,54.2,54.2,54.3
2025-01-31,2025-02-05,51.3,,
2025-02-28,2025-03-05,52.2,51.5,51.5
2025-03-31,2025-04-03,50.4,51.9,51.9
2025-04-30,2025-05-05,52.3,50.3,50.8
2025-05-31,2025-06-04,46.4,51.6,51.5
