Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,6.0,,
2003-09-30,2003-09-30,6.4,,
2003-12-31,2003-12-31,13.3,,
2004-03-31,2004-03-31,11.7,,
2004-06-30,2004-06-30,16.7,,
2004-09-30,2004-09-30,5.7,,
2004-12-31,2004-12-31,9.7,,
2005-03-31,2005-03-31,3.5,,
2005-06-30,2005-06-30,5.5,,
2005-09-30,2005-09-30,2.3,,
2005-12-31,2005-12-31,13.5,,
2006-03-31,2006-03-31,8.5,,
2006-06-30,2006-06-30,4.0,,
2006-09-30,2006-09-30,4.1,,
2006-12-31,2006-12-31,-0.5,,
2007-03-31,2007-03-31,6.0,,
2007-06-30,2007-06-30,2.1,,
2007-09-30,2007-09-30,2.3,,
2007-12-31,2007-12-31,-3.7,,
2008-03-31,2008-03-31,1.5,,
2008-06-30,2008-06-30,-3.7,,
2008-09-30,2008-09-30,-5.0,,
2008-12-31,2008-12-31,-13.7,,
2009-03-31,2009-03-31,-32.9,,
2009-06-30,2009-06-30,-15.3,,
2009-09-30,2009-09-30,17.6,,
2009-12-31,2009-12-31,20.9,,
2010-03-31,2010-03-31,10.5,,
2010-06-30,2010-06-30,19.5,,
2010-09-30,2010-09-30,14.7,,
2010-12-31,2010-12-31,1.5,,
2011-03-31,2011-03-31,2.0,,
2011-06-30,2011-06-30,1.5,,
2011-09-30,2011-09-30,4.5,,
2011-12-31,2011-12-31,5.4,,
2012-03-31,2012-03-31,2.0,,
2012-06-30,2012-06-30,1.5,,
2012-09-30,2012-09-30,2.2,,
2012-12-31,2012-12-31,-3.7,,
2013-03-31,2013-03-31,-0.3,,
2013-06-30,2013-06-30,5.9,,
2013-09-30,2013-09-30,2.9,,
2013-12-31,2013-12-31,3.2,,
2014-03-31,2014-03-31,5.3,,
2014-06-30,2014-06-30,9.4,,
2014-09-30,2014-09-30,0.8,,
2014-12-31,2014-12-31,10.9,,
2015-03-31,2015-03-31,6.1,,
2015-06-30,2015-06-30,3.2,,
2015-09-30,2015-09-30,2.8,,
2015-12-31,2015-12-31,1.1,,
2016-03-31,2016-03-31,-0.5,,
2016-06-30,2016-06-30,0.5,,
2016-09-30,2016-09-30,3.0,,
2016-12-31,2016-12-31,5.9,,
2017-03-31,2017-03-31,6.3,,
2017-06-30,2017-06-30,3.9,,
2017-09-30,2017-09-30,1.5,,
2017-12-31,2017-12-31,11.7,,
2018-03-31,2018-03-31,1.7,,
2018-06-30,2018-06-30,0.5,,
2018-09-30,2018-09-30,5.7,,
2018-12-31,2018-12-31,4.2,,
2019-03-31,2019-03-31,-0.2,,
2019-06-30,2019-06-30,2.2,,
2019-09-30,2019-09-30,-1.7,,
2019-12-31,2019-12-31,-7.3,,
2020-03-31,2020-03-31,-13.7,,
2020-06-30,2020-06-30,-52.8,,
2020-09-30,2020-09-30,85.7,,
2020-12-31,2020-12-31,32.3,,
2021-03-31,2021-03-31,8.3,,
2021-06-30,2021-06-30,8.3,,
2021-09-30,2021-09-30,8.6,,
2021-12-31,2021-12-31,20.8,,
2022-03-31,2022-03-31,13.4,,
2022-06-30,2022-06-30,5.9,,
2022-09-30,2022-09-30,-5.4,,
2022-12-31,2022-12-31,-4.5,,
2023-03-31,2023-03-31,-0.8,,
2023-06-30,2023-06-30,-3.1,,
2023-09-30,2023-09-30,4.7,,
2023-12-31,2023-12-31,4.2,,
2024-03-31,2024-03-31,6.1,,
2024-06-30,2024-06-30,7.6,,
2024-09-30,2024-09-30,10.7,,
2024-12-31,2024-12-31,-1.9,,
2025-03-31,2025-03-31,42.6,,
