Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2019-01-31,2019-01-31,3.57,,
2019-02-28,2019-02-28,3.7,,
2019-03-31,2019-03-31,3.85,,
2019-04-30,2019-04-30,3.57,,
2019-05-31,2019-05-31,3.56,,
2019-06-30,2019-06-30,3.45,,
2019-07-31,2019-07-31,3.3,,
2019-08-31,2019-08-31,3.42,,
2019-09-30,2019-09-30,2.86,,
2019-10-31,2019-10-31,2.91,,
2019-11-30,2019-11-30,3.04,,
2019-12-31,2019-12-31,2.34,,
2020-01-31,2020-01-31,2.68,,
2020-02-29,2020-02-29,2.44,,
2020-03-31,2020-03-31,3.13,,
2020-04-30,2020-04-30,3.53,,
2020-05-31,2020-05-31,1.96,,
2020-06-30,2020-06-30,1.79,,
2020-07-31,2020-07-31,2.17,,
2020-08-31,2020-08-31,2.8,,
2020-09-30,2020-09-30,3.03,,
2020-10-31,2020-10-31,3.45,,
2020-11-30,2020-11-30,3.41,,
2020-12-31,2020-12-31,3.7,,
2021-01-31,2021-01-31,4.0,,
2021-02-28,2021-02-28,4.76,,
2021-03-31,2021-03-31,4.59,,
2021-04-30,2021-04-30,5.22,,
2021-05-31,2021-05-31,7.96,,
2021-06-30,2021-06-30,8.29,,
2021-07-31,2021-07-31,8.33,,
2021-08-31,2021-08-31,8.51,,
2021-09-30,2021-09-30,8.86,,
2021-10-31,2021-10-31,9.38,,
2021-11-30,2021-11-30,9.52,,
2021-12-31,2021-12-31,9.09,,
2022-01-31,2022-01-31,9.44,,
2022-02-28,2022-02-28,9.09,,
2022-03-31,2022-03-31,9.38,,
2022-04-30,2022-04-30,9.09,,
2022-05-31,2022-05-31,8.2,,
2022-06-30,2022-06-30,7.89,,
2022-07-31,2022-07-31,7.69,,
2022-08-31,2022-08-31,7.41,,
2022-09-30,2022-09-30,6.67,,
2022-10-31,2022-10-31,6.6,,
2022-11-30,2022-11-30,6.25,,
2022-12-31,2022-12-31,6.25,,
2023-01-31,2023-01-31,6.1,,
2023-02-28,2023-02-28,6.19,,
2023-03-31,2023-03-31,5.88,,
2023-04-30,2023-04-30,5.32,,
2023-05-31,2023-05-31,5.26,,
2023-06-30,2023-06-30,5.0,,
2023-07-31,2023-07-31,4.35,,
2023-08-31,2023-08-31,4.17,,
2023-09-30,2023-09-30,4.17,,
2023-10-31,2023-10-31,3.71,,
2023-11-30,2023-11-30,3.57,,
2023-12-31,2023-12-31,3.45,,
2024-01-31,2024-01-31,3.13,,
2024-02-29,2024-02-29,3.13,,
2024-03-31,2024-03-31,3.07,,
2024-04-30,2024-04-30,3.0,,
2024-05-31,2024-05-31,3.03,,
2024-06-30,2024-06-30,3.13,,
2024-07-31,2024-07-31,3.32,,
2024-08-31,2024-08-31,3.33,,
2024-09-30,2024-09-30,3.38,,
2024-10-31,2024-10-31,3.53,,
2024-11-30,2024-11-30,3.45,,
2024-12-31,2024-12-31,3.26,,
2025-01-31,2025-01-31,3.41,,
2025-02-28,2025-02-28,3.33,,
2025-03-31,2025-03-31,3.13,,
2025-04-30,2025-04-30,3.0,,
