Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,-0.17,,
2003-07-31,2003-07-31,0.38,,
2003-08-31,2003-08-31,0.27,,
2003-09-30,2003-09-30,0.82,,
2003-10-31,2003-10-31,1.22,,
2003-11-30,2003-11-30,1.36,,
2003-12-31,2003-12-31,1.97,,
2004-01-31,2004-01-31,1.31,,
2004-02-29,2004-02-29,1.81,,
2004-03-31,2004-03-31,1.69,,
2004-04-30,2004-04-30,2.73,,
2004-05-31,2004-05-31,3.52,,
2004-06-30,2004-06-30,2.59,,
2004-07-31,2004-07-31,2.82,,
2004-08-31,2004-08-31,3.12,,
2004-09-30,2004-09-30,2.58,,
2004-10-31,2004-10-31,3.35,,
2004-11-30,2004-11-30,2.9,,
2004-12-31,2004-12-31,3.65,,
2005-01-31,2005-01-31,3.85,,
2005-02-28,2005-02-28,3.95,,
2005-03-31,2005-03-31,4.21,,
2005-04-30,2005-04-30,4.02,,
2005-05-31,2005-05-31,3.36,,
2005-06-30,2005-06-30,4.61,,
2005-07-31,2005-07-31,3.52,,
2005-08-31,2005-08-31,3.77,,
2005-09-30,2005-09-30,1.64,,
2005-10-31,2005-10-31,1.98,,
2005-11-30,2005-11-30,2.85,,
2005-12-31,2005-12-31,2.54,,
2006-01-31,2006-01-31,2.35,,
2006-02-28,2006-02-28,1.65,,
2006-03-31,2006-03-31,2.03,,
2006-04-30,2006-04-30,2.12,,
2006-05-31,2006-05-31,2.05,,
2006-06-30,2006-06-30,1.95,,
2006-07-31,2006-07-31,2.21,,
2006-08-31,2006-08-31,2.31,,
2006-09-30,2006-09-30,4.14,,
2006-10-31,2006-10-31,2.78,,
2006-11-30,2006-11-30,1.64,,
2006-12-31,2006-12-31,2.18,,
2007-01-31,2007-01-31,1.66,,
2007-02-28,2007-02-28,2.6,,
2007-03-31,2007-03-31,2.54,,
2007-04-30,2007-04-30,2.93,,
2007-05-31,2007-05-31,2.96,,
2007-06-30,2007-06-30,2.64,,
2007-07-31,2007-07-31,2.55,,
2007-08-31,2007-08-31,2.3,,
2007-09-30,2007-09-30,2.74,,
2007-10-31,2007-10-31,2.54,,
2007-11-30,2007-11-30,3.15,,
2007-12-31,2007-12-31,2.16,,
2008-01-31,2008-01-31,2.4,,
2008-02-29,2008-02-29,1.05,,
2008-03-31,2008-03-31,0.55,,
2008-04-30,2008-04-30,-0.8,,
2008-05-31,2008-05-31,-1.47,,
2008-06-30,2008-06-30,-1.75,,
2008-07-31,2008-07-31,-2.05,,
2008-08-31,2008-08-31,-3.78,,
2008-09-30,2008-09-30,-8.23,,
2008-10-31,2008-10-31,-7.03,,
2008-11-30,2008-11-30,-8.76,,
2008-12-31,2008-12-31,-11.39,,
2009-01-31,2009-01-31,-13.49,,
2009-02-28,2009-02-28,-13.69,,
2009-03-31,2009-03-31,-14.77,,
2009-04-30,2009-04-30,-14.85,,
2009-05-31,2009-05-31,-15.17,,
2009-06-30,2009-06-30,-15.22,,
2009-07-31,2009-07-31,-13.81,,
2009-08-31,2009-08-31,-11.46,,
