Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,871.0,,
2003-07-31,2003-07-31,787.0,,
2003-08-31,2003-08-31,789.0,,
2003-09-30,2003-09-30,837.0,,
2003-10-31,2003-10-31,804.0,,
2003-11-30,2003-11-30,922.0,,
2003-12-31,2003-12-31,785.0,,
2004-01-31,2004-01-31,817.0,,
2004-02-29,2004-02-29,822.0,,
2004-03-31,2004-03-31,864.0,,
2004-04-30,2004-04-30,837.0,,
2004-05-31,2004-05-31,841.0,,
2004-06-30,2004-06-30,914.0,,
2004-07-31,2004-07-31,894.0,,
2004-08-31,2004-08-31,878.0,,
2004-09-30,2004-09-30,814.0,,
2004-10-31,2004-10-31,825.0,,
2004-11-30,2004-11-30,881.0,,
2004-12-31,2004-12-31,919.0,,
2005-01-31,2005-01-31,815.0,,
2005-02-28,2005-02-28,955.0,,
2005-03-31,2005-03-31,879.0,,
2005-04-30,2005-04-30,907.0,,
2005-05-31,2005-05-31,931.0,,
2005-06-30,2005-06-30,858.0,,
2005-07-31,2005-07-31,817.0,,
2005-08-31,2005-08-31,828.0,,
2005-09-30,2005-09-30,863.0,,
2005-10-31,2005-10-31,884.0,,
2005-11-30,2005-11-30,913.0,,
2005-12-31,2005-12-31,817.0,,
2006-01-31,2006-01-31,821.0,,
2006-02-28,2006-02-28,872.0,,
2006-03-31,2006-03-31,833.0,,
2006-04-30,2006-04-30,853.0,,
2006-05-31,2006-05-31,862.0,,
2006-06-30,2006-06-30,828.0,,
2006-07-31,2006-07-31,850.0,,
2006-08-31,2006-08-31,854.0,,
2006-09-30,2006-09-30,790.0,,
2006-10-31,2006-10-31,779.0,,
2006-11-30,2006-11-30,788.0,,
2006-12-31,2006-12-31,785.0,,
2007-01-31,2007-01-31,782.0,,
2007-02-28,2007-02-28,846.0,,
2007-03-31,2007-03-31,771.0,,
2007-04-30,2007-04-30,742.0,,
2007-05-31,2007-05-31,750.0,,
2007-06-30,2007-06-30,828.0,,
2007-07-31,2007-07-31,826.0,,
2007-08-31,2007-08-31,797.0,,
2007-09-30,2007-09-30,833.0,,
2007-10-31,2007-10-31,782.0,,
2007-11-30,2007-11-30,772.0,,
2007-12-31,2007-12-31,778.0,,
2008-01-31,2008-01-31,823.0,,
2008-02-29,2008-02-29,796.0,,
2008-03-31,2008-03-31,796.0,,
2008-04-30,2008-04-30,847.0,,
2008-05-31,2008-05-31,868.0,,
2008-06-30,2008-06-30,859.0,,
2008-07-31,2008-07-31,880.0,,
2008-08-31,2008-08-31,1019.0,,
2008-09-30,2008-09-30,995.0,,
2008-10-31,2008-10-31,931.0,,
2008-11-30,2008-11-30,927.0,,
2008-12-31,2008-12-31,990.0,,
2009-01-31,2009-01-31,901.0,,
2009-02-28,2009-02-28,837.0,,
2009-03-31,2009-03-31,882.0,,
2009-04-30,2009-04-30,869.0,,
2009-05-31,2009-05-31,904.0,,
2009-06-30,2009-06-30,819.0,,
2009-07-31,2009-07-31,891.0,,
2009-08-31,2009-08-31,842.0,,
2009-09-30,2009-09-30,880.0,,
2009-10-31,2009-10-31,903.0,,
2009-11-30,2009-11-30,936.0,,
2009-12-31,2009-12-31,923.0,,
2010-01-31,2010-01-31,911.0,,
2010-02-28,2010-02-28,877.0,,
2010-03-31,2010-03-31,893.0,,
2010-04-30,2010-04-30,930.0,,
2010-05-31,2010-05-31,973.0,,
2010-06-30,2010-06-30,888.0,,
2010-07-31,2010-07-31,903.0,,
2010-08-31,2010-08-31,870.0,,
2010-09-30,2010-09-30,804.0,,
2010-10-31,2010-10-31,854.0,,
2010-11-30,2010-11-30,860.0,,
2010-12-31,2010-12-31,920.0,,
2011-01-31,2011-01-31,915.0,,
2011-02-28,2011-02-28,888.0,,
2011-03-31,2011-03-31,888.0,,
2011-04-30,2011-04-30,951.0,,
2011-05-31,2011-05-31,915.0,,
2011-06-30,2011-06-30,969.0,,
2011-07-31,2011-07-31,939.0,,
2011-08-31,2011-08-31,979.0,,
2011-09-30,2011-09-30,973.0,,
2011-10-31,2011-10-31,1086.0,,
2011-11-30,2011-11-30,1011.0,,
