Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,59715.0,,
2003-07-31,2003-07-31,85117.0,,
2003-08-31,2003-08-31,79925.0,,
2003-09-30,2003-09-30,76506.0,,
2003-10-31,2003-10-31,171874.0,,
2003-11-30,2003-11-30,99452.0,,
2003-12-31,2003-12-31,93020.0,,
2004-01-31,2004-01-31,117556.0,,
2004-02-29,2004-02-29,77250.0,,
2004-03-31,2004-03-31,68034.0,,
2004-04-30,2004-04-30,72184.0,,
2004-05-31,2004-05-31,73368.0,,
2004-06-30,2004-06-30,64343.0,,
2004-07-31,2004-07-31,69572.0,,
2004-08-31,2004-08-31,74150.0,,
2004-09-30,2004-09-30,107863.0,,
2004-10-31,2004-10-31,101840.0,,
2004-11-30,2004-11-30,104530.0,,
2004-12-31,2004-12-31,109045.0,,
2005-01-31,2005-01-31,92351.0,,
2005-02-28,2005-02-28,108387.0,,
2005-03-31,2005-03-31,86396.0,,
2005-04-30,2005-04-30,57861.0,,
2005-05-31,2005-05-31,82283.0,,
2005-06-30,2005-06-30,110996.0,,
2005-07-31,2005-07-31,102971.0,,
2005-08-31,2005-08-31,70571.0,,
2005-09-30,2005-09-30,71836.0,,
2005-10-31,2005-10-31,81301.0,,
2005-11-30,2005-11-30,99279.0,,
2005-12-31,2005-12-31,107822.0,,
2006-01-31,2006-01-31,103466.0,,
2006-02-28,2006-02-28,87437.0,,
2006-03-31,2006-03-31,64975.0,,
2006-04-30,2006-04-30,59688.0,,
2006-05-31,2006-05-31,53716.0,,
2006-06-30,2006-06-30,67176.0,,
2006-07-31,2006-07-31,37178.0,,
2006-08-31,2006-08-31,65278.0,,
2006-09-30,2006-09-30,100315.0,,
2006-10-31,2006-10-31,69177.0,,
2006-11-30,2006-11-30,76773.0,,
2006-12-31,2006-12-31,54643.0,,
2007-01-31,2007-01-31,62975.0,,
2007-02-28,2007-02-28,84014.0,,
2007-03-31,2007-03-31,48997.0,,
2007-04-30,2007-04-30,70672.0,,
2007-05-31,2007-05-31,71115.0,,
2007-06-30,2007-06-30,55726.0,,
2007-07-31,2007-07-31,42897.0,,
2007-08-31,2007-08-31,79459.0,,
2007-09-30,2007-09-30,71739.0,,
2007-10-31,2007-10-31,63114.0,,
2007-11-30,2007-11-30,73140.0,,
2007-12-31,2007-12-31,44416.0,,
2008-01-31,2008-01-31,74986.0,,
2008-02-29,2008-02-29,72091.0,,
2008-03-31,2008-03-31,53579.0,,
2008-04-30,2008-04-30,90015.0,,
2008-05-31,2008-05-31,103522.0,,
2008-06-30,2008-06-30,81755.0,,
2008-07-31,2008-07-31,103312.0,,
2008-08-31,2008-08-31,88736.0,,
2008-09-30,2008-09-30,95094.0,,
2008-10-31,2008-10-31,112884.0,,
2008-11-30,2008-11-30,181671.0,,
2008-12-31,2008-12-31,166348.0,,
2009-01-31,2009-01-31,241749.0,,
2009-02-28,2009-02-28,186350.0,,
2009-03-31,2009-03-31,150411.0,,
2009-04-30,2009-04-30,132590.0,,
2009-05-31,2009-05-31,111182.0,,
2009-06-30,2009-06-30,74393.0,,
2009-07-31,2009-07-31,97373.0,,
2009-08-31,2009-08-31,76456.0,,
2009-09-30,2009-09-30,66404.0,,
2009-10-31,2009-10-31,55679.0,,
2009-11-30,2009-11-30,50349.0,,
2009-12-31,2009-12-31,45094.0,,
2010-01-31,2010-01-31,71482.0,,
2010-02-28,2010-02-28,42090.0,,
2010-03-31,2010-03-31,67611.0,,
2010-04-30,2010-04-30,38326.0,,
2010-05-31,2010-05-31,38810.0,,
2010-06-30,2010-06-30,39358.0,,
2010-07-31,2010-07-31,41676.0,,
2010-08-31,2010-08-31,34768.0,,
2010-09-30,2010-09-30,37151.0,,
2010-10-31,2010-10-31,37986.0,,
2010-11-30,2010-11-30,48711.0,,
2010-12-31,2010-12-31,32004.0,,
2011-01-31,2011-01-31,38519.0,,
2011-02-28,2011-02-28,50702.0,,
2011-03-31,2011-03-31,41528.0,,
2011-04-30,2011-04-30,36490.0,,
2011-05-31,2011-05-31,37135.0,,
2011-06-30,2011-06-30,41432.0,,
2011-07-31,2011-07-31,66414.0,,
2011-08-31,2011-08-31,51114.0,,
2011-09-30,2011-09-30,115730.0,,
2011-10-31,2011-10-31,42759.0,,
2011-11-30,2011-11-30,42474.0,,
2011-12-31,2011-12-31,41785.0,,
2012-01-31,2012-01-31,53486.0,,
2012-02-29,2012-02-29,51728.0,,
2012-03-31,2012-03-31,37880.0,,
2012-04-30,2012-04-30,40559.0,,
2012-05-31,2012-05-31,61887.0,,
2012-06-30,2012-06-30,37551.0,,
2012-07-31,2012-07-31,36855.0,,
2012-08-31,2012-08-31,32239.0,,
2012-09-30,2012-09-30,33816.0,,
2012-10-31,2012-10-31,47724.0,,
2012-11-30,2012-11-30,57081.0,,
2012-12-31,2012-12-31,32556.0,,
2013-01-31,2013-01-31,40430.0,,
2013-02-28,2013-02-28,55356.0,,
2013-03-31,2013-03-31,49255.0,,
2013-04-30,2013-04-30,38121.0,,
2013-05-31,2013-05-31,36398.0,,
2013-06-30,2013-06-30,39372.0,,
2013-07-31,2013-07-31,37701.0,,
2013-08-31,2013-08-31,50462.0,,
2013-09-30,2013-09-30,40289.0,,
2013-10-31,2013-10-31,45730.0,,
2013-11-30,2013-11-30,45314.0,,
2013-12-31,2013-12-31,30623.0,,
2014-01-31,2014-01-31,45107.0,,
2014-02-28,2014-02-28,41835.0,,
2014-03-31,2014-03-31,34399.0,,
2014-04-30,2014-04-30,40298.0,,
2014-05-31,2014-05-31,52961.0,,
2014-06-30,2014-06-30,31434.0,,
2014-07-31,2014-07-31,46887.0,,
2014-08-31,2014-08-31,40010.0,,
2014-09-30,2014-09-30,30477.0,,
2014-10-31,2014-10-31,51183.0,,
2014-11-30,2014-11-30,35940.0,,
2014-12-31,2014-12-31,32640.0,,
2015-01-31,2015-01-31,53041.0,,
2015-02-28,2015-02-28,50579.0,,
2015-03-31,2015-03-31,36594.0,,
2015-04-30,2015-04-30,61582.0,,
2015-05-31,2015-05-31,41034.0,,
2015-06-30,2015-06-30,44842.0,,
2015-07-31,2015-07-31,105696.0,,
2015-08-31,2015-08-31,41186.0,,
2015-09-30,2015-09-30,58877.0,,
2015-10-31,2015-10-31,50504.0,,
2015-11-30,2015-11-30,30953.0,,
2015-12-31,2015-12-31,23622.0,,
2016-01-31,2016-01-31,75114.0,,
2016-02-29,2016-02-29,61599.0,,
2016-03-31,2016-03-31,44207.0,,
2016-04-30,2016-04-30,64141.0,,
2016-05-31,2016-05-31,30157.0,,
2016-06-30,2016-06-30,38536.0,,
2016-07-31,2016-07-31,45346.0,,
2016-08-31,2016-08-31,32188.0,,
2016-09-30,2016-09-30,44324.0,,
2016-10-31,2016-10-31,30740.0,,
2016-11-30,2016-11-30,26936.0,,
2016-12-31,2016-12-31,33627.0,,
2017-01-31,2017-01-31,45934.0,,
2017-02-28,2017-02-28,36957.0,,
2017-03-31,2017-03-31,43310.0,,
2017-04-30,2017-04-30,36602.0,,
2017-05-31,2017-05-31,33092.0,,
2017-06-30,2017-06-30,31105.0,,
2017-07-31,2017-07-31,28307.0,,
2017-08-31,2017-08-31,33825.0,,
2017-09-30,2017-09-30,32346.0,,
2017-10-31,2017-10-31,29831.0,,
2017-11-30,2017-11-30,35038.0,,
2017-12-31,2017-12-31,32423.0,,
2018-01-31,2018-01-31,44653.0,,
2018-02-28,2018-02-28,35369.0,,
2018-03-31,2018-03-31,60357.0,,
2018-04-30,2018-04-30,36081.0,,
2018-05-31,2018-05-31,31517.0,,
2018-06-30,2018-06-30,37202.0,,
2018-07-31,2018-07-31,27122.0,,
2018-08-31,2018-08-31,38472.0,,
2018-09-30,2018-09-30,55285.0,,
2018-10-31,2018-10-31,75644.0,,
2018-11-30,2018-11-30,53073.0,,
2018-12-31,2018-12-31,43884.0,,
2019-01-31,2019-01-31,52988.0,,
2019-02-28,2019-02-28,76835.0,,
2019-03-31,2019-03-31,60587.0,,
2019-04-30,2019-04-30,40023.0,,
2019-05-31,2019-05-31,58577.0,,
2019-06-30,2019-06-30,41977.0,,
2019-07-31,2019-07-31,38845.0,,
2019-08-31,2019-08-31,53480.0,,
2019-09-30,2019-09-30,41557.0,,
2019-10-31,2019-10-31,50275.0,,
2019-11-30,2019-11-30,44569.0,,
2019-12-31,2019-12-31,32843.0,,
2020-01-31,2020-01-31,67735.0,,
2020-02-29,2020-02-29,56660.0,,
2020-03-31,2020-03-31,222288.0,,
2020-04-30,2020-04-30,671129.0,,
2020-05-31,2020-05-31,397016.0,,
2020-06-30,2020-06-30,170219.0,,
2020-07-31,2020-07-31,262649.0,,
2020-08-31,2020-08-31,115762.0,,
2020-09-30,2020-09-30,118804.0,,
2020-10-31,2020-10-31,80666.0,,
2020-11-30,2020-11-30,64797.0,,
2020-12-31,2020-12-31,77030.0,,
2021-01-31,2021-01-31,79552.0,,
2021-02-28,2021-02-28,34531.0,,
2021-03-31,2021-03-31,30603.0,,
2021-04-30,2021-04-30,22913.0,,
2021-05-31,2021-05-31,24586.0,,
2021-06-30,2021-06-30,20476.0,,
2021-07-31,2021-07-31,18942.0,,
2021-08-31,2021-08-31,15723.0,,
