Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,2114.0,,
2003-07-31,2003-07-31,2127.0,,
2003-08-31,2003-08-31,2127.0,,
2003-09-30,2003-09-30,2051.0,,
2003-10-31,2003-10-31,2064.0,,
2003-11-30,2003-11-30,2120.0,,
2003-12-31,2003-12-31,2247.0,,
2004-01-31,2004-01-31,2058.0,,
2004-02-29,2004-02-29,1984.0,,
2004-03-31,2004-03-31,1925.0,,
2004-04-30,2004-04-30,2147.0,,
2004-05-31,2004-05-31,2088.0,,
2004-06-30,2004-06-30,2032.0,,
2004-07-31,2004-07-31,2151.0,,
2004-08-31,2004-08-31,1996.0,,
2004-09-30,2004-09-30,2138.0,,
2004-10-31,2004-10-31,2132.0,,
2004-11-30,2004-11-30,2154.0,,
2004-12-31,2004-12-31,2080.0,,
2005-01-31,2005-01-31,2040.0,,
2005-02-28,2005-02-28,2052.0,,
2005-03-31,2005-03-31,2060.0,,
2005-04-30,2005-04-30,2060.0,,
2005-05-31,2005-05-31,1979.0,,
2005-06-30,2005-06-30,1978.0,,
2005-07-31,2005-07-31,1944.0,,
2005-08-31,2005-08-31,2119.0,,
2005-09-30,2005-09-30,1852.0,,
2005-10-31,2005-10-31,1954.0,,
2005-11-30,2005-11-30,2052.0,,
2005-12-31,2005-12-31,1968.0,,
2006-01-31,2006-01-31,2033.0,,
2006-02-28,2006-02-28,1824.0,,
2006-03-31,2006-03-31,1952.0,,
2006-04-30,2006-04-30,1977.0,,
2006-05-31,2006-05-31,1997.0,,
2006-06-30,2006-06-30,2022.0,,
2006-07-31,2006-07-31,2012.0,,
2006-08-31,2006-08-31,2075.0,,
2006-09-30,2006-09-30,2081.0,,
2006-10-31,2006-10-31,1881.0,,
2006-11-30,2006-11-30,1932.0,,
2006-12-31,2006-12-31,2077.0,,
2007-01-31,2007-01-31,1945.0,,
2007-02-28,2007-02-28,2125.0,,
2007-03-31,2007-03-31,2088.0,,
2007-04-30,2007-04-30,1851.0,,
2007-05-31,2007-05-31,1981.0,,
2007-06-30,2007-06-30,1753.0,,
2007-07-31,2007-07-31,1900.0,,
2007-08-31,2007-08-31,1975.0,,
2007-09-30,2007-09-30,1910.0,,
2007-10-31,2007-10-31,1907.0,,
2007-11-30,2007-11-30,1956.0,,
2007-12-31,2007-12-31,1951.0,,
2008-01-31,2008-01-31,2034.0,,
2008-02-29,2008-02-29,1965.0,,
2008-03-31,2008-03-31,1996.0,,
2008-04-30,2008-04-30,2122.0,,
2008-05-31,2008-05-31,1900.0,,
2008-06-30,2008-06-30,2016.0,,
2008-07-31,2008-07-31,2052.0,,
2008-08-31,2008-08-31,2087.0,,
2008-09-30,2008-09-30,2293.0,,
2008-10-31,2008-10-31,2139.0,,
2008-11-30,2008-11-30,2098.0,,
2008-12-31,2008-12-31,2080.0,,
2009-01-31,2009-01-31,2234.0,,
2009-02-28,2009-02-28,2293.0,,
2009-03-31,2009-03-31,2212.0,,
2009-04-30,2009-04-30,2493.0,,
2009-05-31,2009-05-31,2247.0,,
2009-06-30,2009-06-30,2609.0,,
2009-07-31,2009-07-31,2581.0,,
2009-08-31,2009-08-31,2399.0,,
2009-09-30,2009-09-30,2582.0,,
2009-10-31,2009-10-31,2318.0,,
2009-11-30,2009-11-30,2584.0,,
2009-12-31,2009-12-31,2355.0,,
2010-01-31,2010-01-31,2522.0,,
2010-02-28,2010-02-28,2480.0,,
2010-03-31,2010-03-31,2613.0,,
2010-04-30,2010-04-30,2757.0,,
2010-05-31,2010-05-31,2675.0,,
2010-06-30,2010-06-30,2371.0,,
2010-07-31,2010-07-31,2501.0,,
2010-08-31,2010-08-31,2465.0,,
2010-09-30,2010-09-30,2347.0,,
2010-10-31,2010-10-31,2463.0,,
2010-11-30,2010-11-30,2448.0,,
2010-12-31,2010-12-31,2612.0,,
2011-01-31,2011-01-31,2376.0,,
2011-02-28,2011-02-28,2308.0,,
2011-03-31,2011-03-31,2366.0,,
2011-04-30,2011-04-30,2252.0,,
2011-05-31,2011-05-31,2357.0,,
2011-06-30,2011-06-30,2398.0,,
2011-07-31,2011-07-31,2371.0,,
2011-08-31,2011-08-31,2375.0,,
2011-09-30,2011-09-30,2382.0,,
2011-10-31,2011-10-31,2509.0,,
2011-11-30,2011-11-30,2502.0,,
2011-12-31,2011-12-31,2482.0,,
2012-01-31,2012-01-31,2387.0,,
2012-02-29,2012-02-29,2343.0,,
2012-03-31,2012-03-31,2370.0,,
2012-04-30,2012-04-30,2242.0,,
