Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,31.9,,
2003-07-31,2003-07-31,32.7,,
2003-08-31,2003-08-31,34.1,,
2003-09-30,2003-09-30,35.1,,
2003-10-31,2003-10-31,33.7,,
2003-11-30,2003-11-30,29.6,,
2003-12-31,2003-12-31,31.4,,
2004-01-31,2004-01-31,29.7,,
2004-02-29,2004-02-29,28.9,,
2004-03-31,2004-03-31,29.9,,
2004-04-30,2004-04-30,28.0,,
2004-05-31,2004-05-31,30.3,,
2004-06-30,2004-06-30,26.2,,
2004-07-31,2004-07-31,25.7,,
2004-08-31,2004-08-31,26.0,,
2004-09-30,2004-09-30,28.0,,
2004-10-31,2004-10-31,27.9,,
2004-11-30,2004-11-30,28.0,,
2004-12-31,2004-12-31,26.4,,
2005-01-31,2005-01-31,24.3,,
2005-02-28,2005-02-28,22.4,,
2005-03-31,2005-03-31,23.8,,
2005-04-30,2005-04-30,22.9,,
2005-05-31,2005-05-31,24.1,,
2005-06-30,2005-06-30,22.5,,
2005-07-31,2005-07-31,23.8,,
2005-08-31,2005-08-31,23.1,,
2005-09-30,2005-09-30,25.0,,
2005-10-31,2005-10-31,25.3,,
2005-11-30,2005-11-30,23.6,,
2005-12-31,2005-12-31,22.5,,
2006-01-31,2006-01-31,20.3,,
2006-02-28,2006-02-28,20.2,,
2006-03-31,2006-03-31,20.4,,
2006-04-30,2006-04-30,19.7,,
2006-05-31,2006-05-31,20.2,,
2006-06-30,2006-06-30,20.0,,
2006-07-31,2006-07-31,19.6,,
2006-08-31,2006-08-31,21.1,,
2006-09-30,2006-09-30,20.9,,
2006-10-31,2006-10-31,21.8,,
2006-11-30,2006-11-30,22.1,,
2006-12-31,2006-12-31,21.3,,
2007-01-31,2007-01-31,19.7,,
2007-02-28,2007-02-28,17.9,,
2007-03-31,2007-03-31,18.9,,
2007-04-30,2007-04-30,20.3,,
2007-05-31,2007-05-31,19.7,,
2007-06-30,2007-06-30,20.5,,
2007-07-31,2007-07-31,18.7,,
2007-08-31,2007-08-31,19.7,,
2007-09-30,2007-09-30,22.4,,
2007-10-31,2007-10-31,22.8,,
2007-11-30,2007-11-30,21.4,,
2007-12-31,2007-12-31,22.7,,
2008-01-31,2008-01-31,20.6,,
2008-02-29,2008-02-29,23.4,,
2008-03-31,2008-03-31,24.5,,
2008-04-30,2008-04-30,27.9,,
2008-05-31,2008-05-31,28.3,,
2008-06-30,2008-06-30,29.7,,
2008-07-31,2008-07-31,30.2,,
2008-08-31,2008-08-31,31.7,,
2008-09-30,2008-09-30,32.2,,
2008-10-31,2008-10-31,36.6,,
2008-11-30,2008-11-30,37.1,,
2008-12-31,2008-12-31,41.5,,
2009-01-31,2009-01-31,41.1,,
2009-02-28,2009-02-28,46.9,,
2009-03-31,2009-03-31,48.8,,
2009-04-30,2009-04-30,46.6,,
2009-05-31,2009-05-31,43.9,,
2009-06-30,2009-06-30,44.8,,
2009-07-31,2009-07-31,48.5,,
2009-08-31,2009-08-31,44.3,,
2009-09-30,2009-09-30,47.0,,
2009-10-31,2009-10-31,49.4,,
2009-11-30,2009-11-30,49.2,,
2009-12-31,2009-12-31,48.1,,
2010-01-31,2010-01-31,46.5,,
2010-02-28,2010-02-28,47.3,,
2010-03-31,2010-03-31,46.3,,
2010-04-30,2010-04-30,44.8,,
2010-05-31,2010-05-31,43.9,,
2010-06-30,2010-06-30,43.5,,
2010-07-31,2010-07-31,45.1,,
2010-08-31,2010-08-31,45.5,,
2010-09-30,2010-09-30,45.8,,
2010-10-31,2010-10-31,46.3,,
2010-11-30,2010-11-30,48.8,,
2010-12-31,2010-12-31,47.0,,
2011-01-31,2011-01-31,47.0,,
2011-02-28,2011-02-28,44.4,,
2011-03-31,2011-03-31,44.4,,
2011-04-30,2011-04-30,42.4,,
2011-05-31,2011-05-31,43.5,,
2011-06-30,2011-06-30,43.2,,
2011-07-31,2011-07-31,44.8,,
2011-08-31,2011-08-31,48.5,,
2011-09-30,2011-09-30,49.4,,
2011-10-31,2011-10-31,46.9,,
2011-11-30,2011-11-30,43.0,,
2011-12-31,2011-12-31,41.6,,
2012-01-31,2012-01-31,43.3,,
2012-02-29,2012-02-29,38.6,,
2012-03-31,2012-03-31,40.7,,
2012-04-30,2012-04-30,38.1,,
2012-05-31,2012-05-31,40.9,,
2012-06-30,2012-06-30,41.2,,
2012-07-31,2012-07-31,41.0,,
2012-08-31,2012-08-31,40.6,,
2012-09-30,2012-09-30,40.7,,
2012-10-31,2012-10-31,38.8,,
2012-11-30,2012-11-30,37.4,,
2012-12-31,2012-12-31,36.1,,
2013-01-31,2013-01-31,36.6,,
2013-02-28,2013-02-28,36.9,,
2013-03-31,2013-03-31,35.4,,
2013-04-30,2013-04-30,36.9,,
2013-05-31,2013-05-31,36.4,,
2013-06-30,2013-06-30,37.1,,
2013-07-31,2013-07-31,35.2,,
2013-08-31,2013-08-31,33.3,,
2013-09-30,2013-09-30,33.6,,
2013-10-31,2013-10-31,34.9,,
2013-11-30,2013-11-30,34.1,,
2013-12-31,2013-12-31,32.9,,
2014-01-31,2014-01-31,32.7,,
2014-02-28,2014-02-28,32.4,,
2014-03-31,2014-03-31,31.4,,
2014-04-30,2014-04-30,32.8,,
2014-05-31,2014-05-31,32.2,,
2014-06-30,2014-06-30,30.7,,
2014-07-31,2014-07-31,30.9,,
2014-08-31,2014-08-31,30.0,,
2014-09-30,2014-09-30,29.4,,
2014-10-31,2014-10-31,29.0,,
2014-11-30,2014-11-30,28.7,,
2014-12-31,2014-12-31,27.3,,
2015-01-31,2015-01-31,24.6,,
2015-02-28,2015-02-28,25.1,,
2015-03-31,2015-03-31,25.5,,
2015-04-30,2015-04-30,25.9,,
2015-05-31,2015-05-31,27.2,,
2015-06-30,2015-06-30,26.1,,
2015-07-31,2015-07-31,27.4,,
2015-08-31,2015-08-31,21.7,,
2015-09-30,2015-09-30,24.9,,
2015-10-31,2015-10-31,24.6,,
2015-11-30,2015-11-30,25.8,,
2015-12-31,2015-12-31,24.5,,
2016-01-31,2016-01-31,23.6,,
2016-02-29,2016-02-29,23.6,,
2016-03-31,2016-03-31,25.2,,
2016-04-30,2016-04-30,22.8,,
2016-05-31,2016-05-31,24.5,,
2016-06-30,2016-06-30,23.7,,
2016-07-31,2016-07-31,22.1,,
2016-08-31,2016-08-31,22.8,,
2016-09-30,2016-09-30,22.3,,
2016-10-31,2016-10-31,21.7,,
2016-11-30,2016-11-30,21.2,,
2016-12-31,2016-12-31,22.7,,
2017-01-31,2017-01-31,21.1,,
2017-02-28,2017-02-28,19.9,,
2017-03-31,2017-03-31,19.0,,
2017-04-30,2017-04-30,19.4,,
2017-05-31,2017-05-31,18.3,,
2017-06-30,2017-06-30,18.4,,
2017-07-31,2017-07-31,18.7,,
2017-08-31,2017-08-31,18.4,,
2017-09-30,2017-09-30,18.0,,
2017-10-31,2017-10-31,17.1,,
2017-11-30,2017-11-30,16.8,,
2017-12-31,2017-12-31,16.0,,
2018-01-31,2018-01-31,16.3,,
2018-02-28,2018-02-28,15.1,,
2018-03-31,2018-03-31,15.7,,
2018-04-30,2018-04-30,15.5,,
2018-05-31,2018-05-31,15.6,,
2018-06-30,2018-06-30,15.1,,
2018-07-31,2018-07-31,14.8,,
2018-08-31,2018-08-31,12.1,,
2018-09-30,2018-09-30,14.1,,
2018-10-31,2018-10-31,13.4,,
2018-11-30,2018-11-30,12.6,,
2018-12-31,2018-12-31,12.2,,
2019-01-31,2019-01-31,12.6,,
2019-02-28,2019-02-28,11.7,,
2019-03-31,2019-03-31,13.8,,
2019-04-30,2019-04-30,13.3,,
2019-05-31,2019-05-31,11.8,,
2019-06-30,2019-06-30,15.8,,
2019-07-31,2019-07-31,12.5,,
2019-08-31,2019-08-31,12.0,,
2019-09-30,2019-09-30,11.0,,
2019-10-31,2019-10-31,11.6,,
2019-11-30,2019-11-30,12.4,,
2019-12-31,2019-12-31,13.0,,
2020-01-31,2020-01-31,11.9,,
2020-02-29,2020-02-29,13.9,,
2020-03-31,2020-03-31,13.8,,
2020-04-30,2020-04-30,34.5,,
2020-05-31,2020-05-31,29.2,,
2020-06-30,2020-06-30,23.3,,
2020-07-31,2020-07-31,20.1,,
2020-08-31,2020-08-31,23.6,,
2020-09-30,2020-09-30,20.3,,
2020-10-31,2020-10-31,19.6,,
2020-11-30,2020-11-30,19.4,,
2020-12-31,2020-12-31,22.9,,
2021-01-31,2021-01-31,22.8,,
2021-02-28,2021-02-28,21.7,,
2021-03-31,2021-03-31,17.3,,
2021-04-30,2021-04-30,14.7,,
2021-05-31,2021-05-31,11.6,,
2021-06-30,2021-06-30,10.5,,
2021-07-31,2021-07-31,11.1,,
2021-08-31,2021-08-31,11.2,,
2021-09-30,2021-09-30,13.0,,
2021-10-31,2021-10-31,11.0,,
2021-11-30,2021-11-30,10.8,,
2021-12-31,2021-12-31,11.7,,
2022-01-31,2022-01-31,12.0,,
2022-02-28,2022-02-28,12.0,,
2022-03-31,2022-03-31,9.6,,
2022-04-30,2022-04-30,10.1,,
2022-05-31,2022-05-31,12.4,,
2022-06-30,2022-06-30,11.6,,
2022-07-31,2022-07-31,12.4,,
2022-08-31,2022-08-31,11.6,,
2022-09-30,2022-09-30,11.1,,
2022-10-31,2022-10-31,13.0,,
2022-11-30,2022-11-30,13.7,,
2022-12-31,2022-12-31,11.9,,
2023-01-31,2023-01-31,11.1,,
2023-02-28,2023-02-28,10.5,,
2023-03-31,2023-03-31,11.4,,
2023-04-30,2023-04-30,10.6,,
2023-05-31,2023-05-31,12.6,,
2023-06-30,2023-06-30,12.6,,
2023-07-31,2023-07-31,11.3,,
2023-08-31,2023-08-31,13.2,,
2023-09-30,2023-09-30,14.2,,
2023-10-31,2023-10-31,14.1,,
2023-11-30,2023-11-30,15.6,,
2023-12-31,2023-12-31,13.1,,
2024-01-31,2024-01-31,11.0,,
2024-02-29,2024-02-29,12.7,,
2024-03-31,2024-03-31,12.2,,
2024-04-30,2024-04-30,15.5,,
2024-05-31,2024-05-31,14.3,,
2024-06-30,2024-06-30,15.7,,
2024-07-31,2024-07-31,16.3,,
2024-08-31,2024-08-31,16.8,,
2024-09-30,2024-09-30,18.6,,
2024-10-31,2024-10-31,17.6,,
2024-11-30,2024-11-30,15.2,,
2024-12-31,2024-12-31,14.9,,
2025-01-31,2025-01-31,14.5,,
2025-02-28,2025-02-28,16.0,,
2025-03-31,2025-03-31,16.1,,
2025-04-30,2025-04-30,17.5,,
2025-05-31,2025-05-31,18.6,,
