Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2010-09-30,2010-11-09,2929.0,,
2010-10-31,2010-12-07,3362.0,,
2010-11-30,2011-01-11,3248.0,,
2010-12-31,2011-02-08,3063.0,,
2011-01-31,2011-03-11,2760.0,,
2011-02-28,2011-04-13,3093.0,,
2011-03-31,2011-05-11,3124.0,,
2011-04-30,2011-06-07,2972.0,,
2011-05-31,2011-07-12,2974.0,,
2011-06-30,2011-08-10,3109.0,,
2011-07-31,2011-09-07,3228.0,3074.0,3047.3
2011-08-31,2011-10-12,3056.0,,
2011-09-30,2011-11-08,3354.0,,
2011-10-31,2011-12-13,3267.0,,
2011-11-30,2012-01-10,3161.0,,
2011-12-31,2012-02-07,3376.0,3250.0,3249.7
2012-01-31,2012-03-13,3459.0,3334.0,3346.7
2012-02-29,2012-04-10,3498.0,,
2012-03-31,2012-05-08,3737.0,,
2012-04-30,2012-06-19,3416.0,3685.0,3671.0
2012-05-31,2012-07-10,3642.0,3587.5,3575.0
2012-06-30,2012-08-07,3762.0,3716.5,3710.8
2012-07-31,2012-09-11,3664.0,3740.0,3732.5
2012-08-31,2012-10-10,3561.0,3735.0,3731.7
2012-09-30,2012-11-06,3561.0,3652.5,3654.5
2012-10-31,2012-12-11,3675.0,3600.0,3615.3
2012-11-30,2013-01-10,3676.0,3676.5,3674.5
2012-12-31,2013-02-12,3617.0,3700.0,3720.0
2013-01-31,2013-03-12,3693.0,3670.0,3706.7
2013-02-28,2013-04-09,3925.0,3740.0,3731.8
2013-03-31,2013-05-07,3844.0,3770.0,3637.5
2013-04-30,2013-06-11,3757.0,3875.0,3862.5
2013-05-31,2013-07-09,3828.0,3800.0,3800.0
2013-06-30,2013-08-06,3936.0,3895.0,3859.0
2013-07-31,2013-09-10,3689.0,3900.0,3891.7
2013-08-31,2013-10-24,3883.0,3765.0,3748.8
2013-09-30,2013-11-22,3913.0,3850.0,3856.2
2013-10-31,2013-12-10,3925.0,3897.5,3895.0
2013-11-30,2014-01-17,4001.0,3930.0,3938.8
2013-12-31,2014-02-11,3990.0,3980.0,4000.0
2014-01-31,2014-03-11,3974.0,4015.0,4001.3
2014-02-28,2014-04-08,4173.0,4020.0,4017.0
2014-03-31,2014-05-09,4014.0,4125.0,4125.0
2014-04-30,2014-06-10,4455.0,4050.0,4056.6
2014-05-31,2014-07-08,4635.0,4350.0,4372.9
2014-06-30,2014-08-12,4671.0,4600.0,4598.5
2014-07-31,2014-09-09,4673.0,4700.0,4687.0
2014-08-31,2014-10-07,4835.0,4700.0,4696.5
2014-09-30,2014-11-13,4735.0,4800.0,4775.1
2014-10-31,2014-12-09,4834.0,4795.0,4794.6
2014-11-30,2015-01-13,4972.0,4850.0,4857.8
2014-12-31,2015-02-10,5028.0,4982.5,4959.0
2015-01-31,2015-03-10,4998.0,5050.0,5058.5
2015-02-28,2015-04-07,5133.0,5006.5,5020.8
2015-03-31,2015-05-12,4994.0,5107.5,5103.8
2015-04-30,2015-06-09,5376.0,5044.0,5063.0
2015-05-31,2015-07-07,5363.0,5300.0,5302.4
2015-06-30,2015-08-12,5249.0,5350.0,5327.4
2015-07-31,2015-09-09,5753.0,5300.0,5289.9
2015-08-31,2015-10-16,5370.0,5580.0,5583.6
2015-09-30,2015-11-12,5526.0,5400.0,5410.6
2015-10-31,2015-12-08,5383.0,5500.0,5526.1
2015-11-30,2016-01-12,5431.0,5450.0,5450.6
2015-12-31,2016-02-09,5607.0,5412.5,5402.5
2016-01-31,2016-03-17,5541.0,5500.0,5547.4
2016-02-29,2016-04-05,5445.0,5490.0,5473.0
2016-03-31,2016-05-10,5757.0,5450.0,5464.4
2016-04-30,2016-06-08,5788.0,5675.0,5670.4
2016-05-31,2016-07-12,5500.0,5650.0,5610.0
2016-06-30,2016-08-10,5624.0,5675.0,5586.6
2016-07-31,2016-09-07,5871.0,5630.0,5651.0
2016-08-31,2016-10-12,5443.0,5800.0,5774.6
2016-09-30,2016-11-08,5486.0,5487.5,5492.6
2016-10-31,2016-12-07,5534.0,5500.0,5461.1
2016-11-30,2017-01-10,5522.0,5500.0,5469.8
2016-12-31,2017-02-07,5501.0,5580.0,5565.6
2017-01-31,2017-03-16,5626.0,5556.0,5568.7
2017-02-28,2017-04-11,5743.0,5650.0,5665.0
2017-03-31,2017-05-09,5743.0,5725.0,5722.5
2017-04-30,2017-06-06,6044.0,5750.0,5755.0
2017-05-31,2017-07-11,5666.0,5950.0,5928.0
2017-06-30,2017-08-08,6163.0,5750.0,5737.7
2017-07-31,2017-09-12,6170.0,6000.0,5996.0
2017-08-31,2017-10-11,6082.0,6125.0,6132.1
2017-09-30,2017-11-07,6093.0,6075.0,6077.7
2017-10-31,2017-12-11,5996.0,6135.0,6146.3
2017-11-30,2018-01-09,5879.0,6025.0,6071.0
2017-12-31,2018-02-06,5811.0,5960.5,5959.2
2018-01-31,2018-03-16,6312.0,5916.5,5948.0
2018-02-28,2018-04-13,6052.0,6024.0,6103.5
2018-03-31,2018-05-08,6550.0,6100.0,6094.8
2018-04-30,2018-06-05,6698.0,6350.0,6372.5
2018-05-31,2018-07-10,6638.0,6620.0,6570.7
2018-06-30,2018-08-07,6662.0,6625.0,6591.5
2018-07-31,2018-09-11,6939.0,6675.0,6661.6
2018-08-31,2018-10-16,7136.0,6900.0,6884.8
2018-09-30,2018-11-06,7009.0,7085.0,7087.2
2018-10-31,2018-12-10,7079.0,7100.0,7070.6
2018-11-30,2019-01-08,6888.0,7050.0,7039.8
2018-12-31,2019-02-12,7335.0,6845.5,6877.2
2019-01-31,2019-03-15,7581.0,7225.0,6388.4
2019-02-28,2019-04-09,7087.0,7550.0,7562.6
2019-03-31,2019-05-07,7488.0,7350.0,7372.9
2019-04-30,2019-06-10,7449.0,7496.0,7474.6
2019-05-31,2019-07-09,7323.0,7470.0,7468.5
2019-06-30,2019-08-06,7348.0,7326.0,7386.4
2019-07-31,2019-09-10,7217.0,7330.5,7341.2
2019-08-31,2019-10-09,7051.0,7250.0,7227.6
2019-09-30,2019-11-05,7024.0,7062.5,7058.0
2019-10-31,2019-12-17,7267.0,7009.0,7065.8
2019-11-30,2020-01-17,6800.0,7250.0,7221.1
2019-12-31,2020-02-11,6423.0,6925.0,6932.7
2020-01-31,2020-03-17,6963.0,6400.0,6461.3
2020-02-29,2020-04-07,6882.0,6500.0,6555.6
2020-03-31,2020-05-15,6191.0,5800.0,5704.8
2020-04-30,2020-06-09,5046.0,5750.0,5574.4
2020-05-31,2020-07-07,5397.0,4500.0,4637.5
2020-06-30,2020-08-10,5889.0,5300.0,5385.8
2020-07-31,2020-09-09,6618.0,6000.0,5928.0
2020-08-31,2020-10-06,6493.0,6500.0,6529.7
2020-09-30,2020-11-10,6436.0,6500.0,6491.4
2020-10-31,2020-12-09,6652.0,6300.0,6300.0
2020-11-30,2021-01-12,6527.0,6450.0,6468.8
2020-12-31,2021-02-09,6646.0,6400.0,6442.9
2021-01-31,2021-03-11,6917.0,6700.0,6742.7
2021-02-28,2021-04-06,7367.0,6900.0,6934.0
