Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2011-09-30,2011-09-29,6.0,3.0,2.33
2011-10-31,2011-10-27,8.0,8.0,7.5
2011-11-30,2011-11-23,4.0,9.0,8.0
2011-12-31,2011-12-29,-4.0,6.0,6.2
2012-01-31,2012-01-26,7.0,1.5,1.75
2012-02-29,2012-02-23,13.0,9.0,9.11
2012-03-31,2012-03-29,9.0,13.0,13.0
2012-04-30,2012-04-26,3.0,7.0,7.6
2012-05-31,2012-05-24,9.0,5.0,5.67
2012-06-30,2012-06-28,3.0,4.0,4.0
2012-07-31,2012-07-26,5.0,3.5,3.33
2012-08-31,2012-08-30,8.0,2.5,1.67
2012-09-30,2012-09-27,2.0,5.0,4.0
2012-10-31,2012-10-25,-4.0,5.0,3.8
2012-11-30,2012-11-29,-6.0,-1.0,-0.2
2012-12-31,2012-12-21,-2.0,-5.0,-3.86
2013-01-31,2013-01-24,-2.0,1.0,1.0
2013-02-28,2013-02-28,-10.0,-1.0,-1.0
2013-03-31,2013-03-28,-5.0,-2.5,-2.33
2013-04-30,2013-04-25,-5.0,-1.0,-0.86
2013-05-31,2013-05-23,2.0,-3.5,-4.25
2013-06-30,2013-06-27,-5.0,3.0,3.57
2013-07-31,2013-07-25,6.0,0.0,0.57
2013-08-31,2013-08-22,8.0,6.0,5.4
2013-09-30,2013-09-26,2.0,8.0,8.14
2013-10-31,2013-10-24,6.0,2.0,2.25
2013-11-30,2013-11-22,7.0,6.0,5.62
2013-12-31,2013-12-20,-3.0,6.25,6.42
2014-01-31,2014-01-23,5.0,2.0,2.4
2014-02-28,2014-02-27,4.0,2.25,2.81
2014-03-31,2014-03-27,10.0,5.0,4.83
2014-04-30,2014-04-24,7.0,7.5,8.17
2014-05-31,2014-05-22,10.0,7.0,7.43
2014-06-30,2014-06-26,6.0,10.0,10.0
2014-07-31,2014-07-24,9.0,6.0,6.86
2014-08-31,2014-08-28,3.0,7.0,8.4
2014-09-30,2014-09-25,6.0,6.0,6.6
2014-10-31,2014-10-23,4.0,6.0,4.86
2014-11-30,2014-11-21,7.0,6.0,5.43
2014-12-31,2014-12-19,8.0,7.0,6.75
2015-01-31,2015-01-22,3.0,8.25,8.31
2015-02-28,2015-02-26,1.0,3.0,3.0
2015-03-31,2015-03-26,-4.0,1.0,0.79
2015-04-30,2015-04-23,-7.0,-2.0,-2.0
2015-05-31,2015-05-21,-13.0,-4.0,-3.14
2015-06-30,2015-06-25,-9.0,-9.0,-9.0
2015-07-31,2015-07-23,-7.0,-5.0,-4.29
2015-08-31,2015-08-27,-9.0,-4.0,-4.5
2015-09-30,2015-09-24,-8.0,-6.0,-6.0
2015-10-31,2015-10-22,-1.0,-9.0,-8.67
2015-11-30,2015-11-20,1.0,0.0,0.67
2015-12-31,2015-12-18,-9.0,1.0,1.5
2016-01-31,2016-01-28,-9.0,-9.5,-7.5
2016-02-29,2016-02-25,-12.0,-6.0,-6.75
2016-03-31,2016-03-24,-6.0,,
2016-04-30,2016-04-28,-4.0,,
2016-05-31,2016-05-26,-5.0,-3.0,-3.17
2016-06-30,2016-06-23,2.0,-4.59,-4.88
2016-07-31,2016-07-28,-6.0,4.0,3.5
2016-08-31,2016-08-25,-4.0,-2.0,-2.21
2016-09-30,2016-09-22,6.0,-3.0,-3.0
2016-10-31,2016-10-27,6.0,3.0,3.5
2016-11-30,2016-11-18,1.0,,
2016-12-31,2016-12-22,11.0,4.0,2.67
2017-01-31,2017-01-26,9.0,7.5,8.0
