Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2013-08-31,2013-09-06,63.2,,
2013-09-30,2013-10-22,63.2,,
2013-10-31,2013-11-08,62.8,,
2013-11-30,2013-12-06,63.0,,
2013-12-31,2014-01-10,62.8,,
2014-01-31,2014-02-07,63.0,,
2014-02-28,2014-03-07,63.0,,
2014-03-31,2014-04-04,63.2,,
2014-04-30,2014-05-02,62.8,,
2014-05-31,2014-06-06,62.8,,
2014-06-30,2014-07-03,62.8,,
2014-07-31,2014-08-01,62.9,,
2014-08-31,2014-09-05,62.8,,
2014-09-30,2014-10-03,62.7,,
2014-10-31,2014-11-07,62.8,,
2014-11-30,2014-12-05,62.8,,
2014-12-31,2015-01-09,62.7,,
2015-01-31,2015-02-06,62.9,62.7,62.7
2015-02-28,2015-03-06,62.8,62.9,62.9
2015-03-31,2015-04-03,62.7,62.8,62.8
2015-04-30,2015-05-08,62.8,,
2015-05-31,2015-06-05,62.9,,
2015-06-30,2015-07-02,62.6,62.9,62.9
2015-07-31,2015-08-07,62.6,62.6,62.7
2015-08-31,2015-09-04,62.6,62.7,62.7
2015-09-30,2015-10-02,62.4,,
2015-10-31,2015-11-06,62.4,62.4,62.4
2015-11-30,2015-12-04,62.5,62.4,62.4
2015-12-31,2016-01-08,62.6,62.5,62.5
2016-01-31,2016-02-05,62.7,62.7,62.7
2016-02-29,2016-03-04,62.9,62.8,62.8
2016-03-31,2016-04-01,63.0,62.9,62.9
2016-04-30,2016-05-06,62.8,63.0,62.4
2016-05-31,2016-06-03,62.6,,
2016-06-30,2016-07-08,62.7,,
2016-07-31,2016-08-05,62.8,,
2016-08-31,2016-09-02,62.8,,
2016-09-30,2016-10-07,62.9,,
2016-10-31,2016-11-04,62.8,,
2016-11-30,2016-12-02,62.7,,
2016-12-31,2017-01-06,62.7,,
2017-01-31,2017-02-03,62.9,,
2017-02-28,2017-03-10,63.0,,
2017-03-31,2017-04-07,63.0,,
2017-04-30,2017-05-05,62.9,,
2017-05-31,2017-06-02,62.7,62.9,62.9
2017-06-30,2017-07-07,62.8,62.7,62.7
2017-07-31,2017-08-04,62.9,,
2017-08-31,2017-09-01,62.9,,
2017-09-30,2017-10-06,63.1,62.9,62.9
2017-10-31,2017-11-03,62.7,63.1,63.1
2017-11-30,2017-12-08,62.7,,
2017-12-31,2018-01-05,62.7,,
2018-01-31,2018-02-02,62.7,,
2018-02-28,2018-03-09,63.0,62.7,62.7
2018-03-31,2018-04-06,62.9,,
2018-04-30,2018-05-04,62.8,63.0,62.9
2018-05-31,2018-06-01,62.7,,
2018-06-30,2018-07-06,62.9,62.7,62.7
2018-07-31,2018-08-03,62.9,,
2018-08-31,2018-09-07,62.7,,
2018-09-30,2018-10-05,62.7,62.7,62.7
2018-10-31,2018-11-02,62.9,62.7,62.7
2018-11-30,2018-12-07,62.9,62.9,62.9
2018-12-31,2019-01-04,63.1,,
2019-01-31,2019-02-01,63.2,63.0,63.0
2019-02-28,2019-03-08,63.2,63.2,63.2
2019-03-31,2019-04-05,63.0,63.2,63.2
2019-04-30,2019-05-03,62.8,63.0,63.0
2019-05-31,2019-06-07,62.8,,
2019-06-30,2019-07-05,62.9,62.8,62.8
2019-07-31,2019-08-02,63.0,62.9,62.9
2019-08-31,2019-09-06,63.2,,
2019-09-30,2019-10-04,63.2,63.2,63.2
2019-10-31,2019-11-01,63.3,63.1,63.1
2019-11-30,2019-12-06,63.2,,
2019-12-31,2020-01-10,63.2,,
2020-01-31,2020-02-07,63.4,63.2,63.1
2020-02-29,2020-03-06,63.4,63.4,63.4
2020-03-31,2020-04-03,62.7,63.3,63.2
2020-04-30,2020-05-08,60.2,61.0,60.0
2020-05-31,2020-06-05,60.8,60.1,60.2
2020-06-30,2020-07-02,61.5,61.2,61.2
2020-07-31,2020-08-07,61.4,61.8,61.8
2020-08-31,2020-09-04,61.7,61.8,61.8
2020-09-30,2020-10-02,61.4,61.9,61.9
2020-10-31,2020-11-06,61.7,61.5,61.5
2020-11-30,2020-12-04,61.5,61.7,61.7
2020-12-31,2021-01-08,61.5,61.5,61.5
2021-01-31,2021-02-05,61.4,61.5,61.5
2021-02-28,2021-03-05,61.4,61.4,61.4
2021-03-31,2021-04-02,61.5,61.5,61.5
2021-04-30,2021-05-07,61.7,61.6,61.7
2021-05-31,2021-06-04,61.6,61.8,61.8
2021-06-30,2021-07-02,61.6,61.7,61.6
2021-07-31,2021-08-06,61.7,61.7,61.7
2021-08-31,2021-09-03,61.7,61.8,61.8
2021-09-30,2021-10-08,61.6,61.8,61.8
2021-10-31,2021-11-05,61.6,61.7,61.7
2021-11-30,2021-12-03,61.8,61.7,61.7
2021-12-31,2022-01-07,61.9,61.9,61.7
2022-01-31,2022-02-04,62.2,61.9,61.9
2022-02-28,2022-03-04,62.3,62.2,62.2
2022-03-31,2022-04-01,62.4,62.4,62.4
2022-04-30,2022-05-06,62.2,62.5,62.5
2022-05-31,2022-06-03,62.3,62.3,62.3
2022-06-30,2022-07-08,62.2,62.4,62.4
2022-07-31,2022-08-05,62.1,62.2,62.2
2022-08-31,2022-09-02,62.4,62.2,62.2
2022-09-30,2022-10-07,62.3,62.4,62.4
2022-10-31,2022-11-04,62.2,62.3,62.3
2022-11-30,2022-12-02,62.1,62.3,62.3
2022-12-31,2023-01-06,62.3,62.2,62.2
2023-01-31,2023-02-03,62.4,62.3,62.3
2023-02-28,2023-03-10,62.5,62.4,62.4
2023-03-31,2023-04-07,62.6,62.5,62.5
2023-04-30,2023-05-05,62.6,62.6,62.6
2023-05-31,2023-06-02,62.6,62.6,62.6
2023-06-30,2023-07-07,62.6,62.6,62.6
2023-07-31,2023-08-04,62.6,62.6,62.6
2023-08-31,2023-09-01,62.8,62.6,62.6
2023-09-30,2023-10-06,62.8,62.8,62.8
2023-10-31,2023-11-03,62.7,62.8,62.8
2023-11-30,2023-12-08,62.8,62.7,62.7
2023-12-31,2024-01-05,62.5,62.8,62.8
2024-01-31,2024-02-02,62.5,62.6,62.6
2024-02-29,2024-03-08,62.5,62.6,62.6
2024-03-31,2024-04-05,62.7,62.6,62.5
2024-04-30,2024-05-03,62.7,62.7,62.7
2024-05-31,2024-06-07,62.5,62.7,62.7
2024-06-30,2024-07-05,62.6,62.6,62.6
2024-07-31,2024-08-02,62.7,62.6,62.6
2024-08-31,2024-09-06,62.7,62.7,62.7
2024-09-30,2024-10-04,62.7,62.7,62.7
2024-10-31,2024-11-01,62.6,62.7,62.7
2024-11-30,2024-12-06,62.5,62.7,62.7
2024-12-31,2025-01-10,62.5,62.5,62.5
2025-01-31,2025-02-07,62.6,62.5,62.5
2025-02-28,2025-03-07,62.4,62.6,62.6
2025-03-31,2025-04-04,62.5,62.4,62.4
2025-04-30,2025-05-02,62.6,62.5,62.5
2025-05-31,2025-06-06,62.4,62.6,62.6
