Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,52.5,53.0,52.8
2003-07-31,2003-07-31,55.9,53.8,53.7
2003-08-31,2003-08-29,58.9,56.0,55.9
2003-09-30,2003-09-30,51.2,57.0,57.1
2003-10-31,2003-10-31,55.0,56.0,55.8
2003-11-30,2003-11-26,64.1,56.8,56.6
2003-12-31,2003-12-30,59.2,62.0,62.3
2004-01-31,2004-01-30,65.9,62.0,61.9
2004-02-29,2004-02-27,63.6,63.5,63.3
2004-03-31,2004-03-31,57.6,61.0,61.2
2004-04-30,2004-04-30,63.9,61.0,60.6
2004-05-31,2004-05-28,68.0,62.0,61.6
2004-06-30,2004-06-30,56.4,65.0,64.4
2004-07-31,2004-07-30,64.7,60.0,59.9
2004-08-31,2004-08-31,57.3,60.0,60.2
2004-09-30,2004-09-30,61.3,58.0,58.1
2004-10-31,2004-10-29,68.5,59.0,59.4
2004-11-30,2004-11-30,65.2,62.0,62.0
2004-12-31,2004-12-30,61.2,63.0,63.0
2005-01-31,2005-01-31,62.4,59.0,59.3
2005-02-28,2005-02-28,62.7,60.5,60.8
2005-03-31,2005-03-31,69.2,60.5,60.4
2005-04-30,2005-04-29,65.6,62.5,62.2
2005-05-31,2005-05-31,54.1,61.4,61.0
2005-06-30,2005-06-30,53.6,54.0,54.1
2005-07-31,2005-07-29,63.5,55.0,55.4
2005-08-31,2005-08-31,49.2,61.0,61.2
2005-09-30,2005-09-30,60.5,52.0,51.4
2005-10-31,2005-10-31,62.9,57.5,57.3
2005-11-30,2005-11-30,61.7,60.0,60.0
2005-12-31,2005-12-29,61.5,60.0,60.3
2006-01-31,2006-01-31,58.5,59.9,59.5
2006-02-28,2006-02-28,54.9,58.5,58.4
2006-03-31,2006-03-31,60.4,57.0,57.1
2006-04-30,2006-04-28,57.2,58.0,58.2
2006-05-31,2006-05-31,61.5,56.0,56.1
2006-06-30,2006-06-30,56.5,59.0,59.0
2006-07-31,2006-07-31,57.9,56.0,55.9
2006-08-31,2006-08-31,57.1,57.0,56.7
2006-09-30,2006-09-29,62.1,55.7,55.6
2006-10-31,2006-10-31,53.5,58.0,58.0
2006-11-30,2006-11-30,49.9,54.4,54.3
2006-12-31,2006-12-28,52.4,50.0,50.6
2007-01-31,2007-01-31,48.8,52.0,52.3
2007-02-28,2007-02-28,47.9,50.0,49.9
2007-03-31,2007-03-30,61.7,49.3,49.3
2007-04-30,2007-04-30,52.9,54.0,53.8
2007-05-31,2007-05-31,61.7,54.0,54.0
2007-06-30,2007-06-29,60.2,58.0,57.7
2007-07-31,2007-07-31,53.4,58.4,58.4
2007-08-31,2007-08-31,53.8,53.0,53.0
2007-09-30,2007-09-28,54.2,53.0,53.3
2007-10-31,2007-10-31,49.7,53.0,52.9
2007-11-30,2007-11-30,52.9,50.5,50.5
2007-12-31,2007-12-28,56.6,51.7,51.6
2008-01-31,2008-01-31,51.5,52.0,52.1
2008-02-29,2008-02-29,44.5,49.5,49.4
2008-03-31,2008-03-31,48.2,46.0,45.9
2008-04-30,2008-04-30,48.3,47.5,47.6
2008-05-31,2008-05-30,49.1,48.5,48.2
2008-06-30,2008-06-30,49.6,48.0,48.3
2008-07-31,2008-07-31,50.8,49.0,49.0
2008-08-31,2008-08-29,57.9,50.0,50.0
2008-09-30,2008-09-30,56.7,53.0,52.8
2008-10-31,2008-10-31,37.8,48.0,47.9
2008-11-30,2008-11-26,33.8,37.0,37.0
2008-12-31,2008-12-30,34.1,33.0,33.6
2009-01-31,2009-01-30,33.3,34.9,34.6
2009-02-28,2009-02-27,34.2,33.0,32.6
2009-03-31,2009-03-31,31.4,34.3,34.5
2009-04-30,2009-04-30,40.1,35.0,34.7
2009-05-31,2009-05-29,34.9,42.0,42.0
2009-06-30,2009-06-30,39.9,39.0,39.0
2009-07-31,2009-07-31,43.4,43.0,42.9
2009-08-31,2009-08-31,50.0,48.0,48.1
2009-09-30,2009-09-30,46.1,52.0,52.3
2009-10-31,2009-10-30,54.2,49.0,49.1
2009-11-30,2009-11-30,56.1,53.0,53.6
2009-12-31,2009-12-30,60.0,55.1,55.4
2010-01-31,2010-01-29,61.5,57.2,57.6
2010-02-28,2010-02-26,62.6,59.7,59.6
2010-03-31,2010-03-31,58.8,61.0,61.1
2010-04-30,2010-04-30,63.8,60.0,59.9
2010-05-31,2010-05-28,59.7,61.0,61.0
2010-06-30,2010-06-30,59.1,59.0,58.7
2010-07-31,2010-07-30,62.3,56.0,56.2
2010-08-31,2010-08-31,56.7,57.0,56.8
2010-09-30,2010-09-30,60.4,55.5,55.7
2010-10-31,2010-10-29,60.6,58.0,57.7
2010-11-30,2010-11-30,62.5,59.9,59.4
2010-12-31,2010-12-30,68.6,61.0,61.3
2011-01-31,2011-01-31,68.8,64.5,64.7
2011-02-28,2011-02-28,71.2,67.5,67.2
2011-03-31,2011-03-31,70.6,69.9,69.4
2011-04-30,2011-04-29,67.6,68.2,68.0
2011-05-31,2011-05-31,56.6,62.0,61.9
2011-06-30,2011-06-30,61.1,54.0,53.7
2011-07-31,2011-07-29,58.8,60.0,59.9
2011-08-31,2011-08-31,56.5,53.3,53.1
2011-09-30,2011-09-30,60.4,55.0,55.2
2011-10-31,2011-10-31,58.4,59.0,59.2
2011-11-30,2011-11-30,62.6,58.5,58.4
2011-12-31,2011-12-29,62.5,61.0,61.1
2012-01-31,2012-01-31,60.2,63.0,62.6
2012-02-29,2012-02-29,64.0,61.0,60.9
2012-03-31,2012-03-30,62.2,63.0,63.0
2012-04-30,2012-04-30,56.2,60.0,60.4
2012-05-31,2012-05-31,52.7,56.8,56.8
2012-06-30,2012-06-29,52.9,52.3,52.6
2012-07-31,2012-07-31,53.7,52.5,52.2
2012-08-31,2012-08-31,53.0,53.2,53.2
2012-09-30,2012-09-28,49.7,52.8,52.7
2012-10-31,2012-10-31,49.9,51.0,51.2
2012-11-30,2012-11-30,50.4,50.5,50.5
2012-12-31,2012-12-28,51.6,51.0,51.1
2013-01-31,2013-01-31,55.6,50.5,50.5
2013-02-28,2013-02-28,56.8,54.0,54.3
2013-03-31,2013-03-28,52.4,56.5,56.4
2013-04-30,2013-04-30,49.0,52.5,52.5
2013-05-31,2013-05-31,58.7,50.0,50.2
2013-06-30,2013-06-28,51.6,55.0,55.3
2013-07-31,2013-07-31,52.3,54.0,53.9
2013-08-31,2013-08-30,53.0,53.0,53.2
2013-09-30,2013-09-30,55.7,54.0,54.2
2013-10-31,2013-10-31,65.9,55.0,54.9
2013-11-30,2013-11-27,63.0,60.0,59.8
2013-12-31,2013-12-31,59.1,60.8,60.8
2014-01-31,2014-01-31,59.6,59.0,59.2
2014-02-28,2014-02-28,59.8,56.4,56.5
2014-03-31,2014-03-31,55.9,59.8,59.3
2014-04-30,2014-04-30,63.0,57.0,57.0
2014-05-31,2014-05-30,65.5,61.0,60.9
2014-06-30,2014-06-30,62.6,63.0,63.0
2014-07-31,2014-07-31,52.6,63.0,62.8
2014-08-31,2014-08-29,64.3,56.5,56.6
2014-09-30,2014-09-30,60.5,62.0,61.6
2014-10-31,2014-10-31,66.2,60.0,59.8
2014-11-30,2014-11-26,60.8,63.0,63.2
2014-12-31,2014-12-31,58.3,60.0,59.9
2015-01-31,2015-01-30,59.4,57.5,57.5
2015-02-28,2015-02-27,45.8,58.0,57.8
2015-03-31,2015-03-31,46.3,51.7,51.4
2015-04-30,2015-04-30,52.3,50.0,49.9
2015-05-31,2015-05-29,46.2,53.0,53.1
2015-06-30,2015-06-30,49.4,50.0,50.5
2015-07-31,2015-07-31,54.7,50.8,50.8
2015-08-31,2015-08-31,54.4,54.5,54.4
2015-09-30,2015-09-30,48.7,53.0,52.9
2015-10-31,2015-10-30,56.2,49.5,49.5
2015-11-30,2015-11-30,48.7,54.0,53.9
2015-12-31,2015-12-31,42.9,50.0,50.3
2016-01-31,2016-01-29,55.6,45.3,45.2
2016-02-29,2016-02-29,47.6,52.5,52.4
2016-03-31,2016-03-31,53.6,50.7,50.9
2016-04-30,2016-04-29,50.4,52.8,52.6
2016-05-31,2016-05-31,49.3,50.5,50.3
