Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,1.26,,
2003-07-31,2003-07-31,1.23,,
2003-08-31,2003-08-31,1.24,,
2003-09-30,2003-09-30,1.21,,
2003-10-31,2003-10-31,1.21,,
2003-11-30,2003-11-30,1.2,,
2003-12-31,2003-12-31,1.2,,
2004-01-31,2004-01-31,1.2,,
2004-02-29,2004-02-29,1.2,,
2004-03-31,2004-03-31,1.17,,
2004-04-30,2004-04-30,1.18,,
2004-05-31,2004-05-31,1.18,,
2004-06-30,2004-06-30,1.19,,
2004-07-31,2004-07-31,1.2,,
2004-08-31,2004-08-31,1.19,,
2004-09-30,2004-09-30,1.19,,
2004-10-31,2004-10-31,1.17,,
2004-11-30,2004-11-30,1.18,,
2004-12-31,2004-12-31,1.17,,
2005-01-31,2005-01-31,1.16,,
2005-02-28,2005-02-28,1.18,,
2005-03-31,2005-03-31,1.19,,
2005-04-30,2005-04-30,1.17,,
2005-05-31,2005-05-31,1.18,,
2005-06-30,2005-06-30,1.17,,
2005-07-31,2005-07-31,1.19,,
2005-08-31,2005-08-31,1.16,,
2005-09-30,2005-09-30,1.15,,
2005-10-31,2005-10-31,1.15,,
2005-11-30,2005-11-30,1.15,,
2005-12-31,2005-12-31,1.14,,
2006-01-31,2006-01-31,1.15,,
2006-02-28,2006-02-28,1.16,,
2006-03-31,2006-03-31,1.16,,
2006-04-30,2006-04-30,1.19,,
2006-05-31,2006-05-31,1.17,,
2006-06-30,2006-06-30,1.19,,
2006-07-31,2006-07-31,1.22,,
2006-08-31,2006-08-31,1.21,,
2006-09-30,2006-09-30,1.25,,
2006-10-31,2006-10-31,1.26,,
2006-11-30,2006-11-30,1.25,,
2006-12-31,2006-12-31,1.22,,
2007-01-31,2007-01-31,1.25,,
2007-02-28,2007-02-28,1.23,,
2007-03-31,2007-03-31,1.22,,
2007-04-30,2007-04-30,1.22,,
2007-05-31,2007-05-31,1.22,,
2007-06-30,2007-06-30,1.22,,
2007-07-31,2007-07-31,1.22,,
2007-08-31,2007-08-31,1.22,,
2007-09-30,2007-09-30,1.23,,
2007-10-31,2007-10-31,1.22,,
2007-11-30,2007-11-30,1.2,,
2007-12-31,2007-12-31,1.22,,
2008-01-31,2008-01-31,1.21,,
2008-02-29,2008-02-29,1.22,,
2008-03-31,2008-03-31,1.24,,
