Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-27,89.7,93.0,93.2
2003-07-31,2003-08-01,90.9,90.5,90.6
2003-08-31,2003-08-29,89.3,90.5,90.4
2003-09-30,2003-09-26,87.7,88.5,88.4
2003-10-31,2003-10-31,89.6,89.5,89.7
2003-11-30,2003-11-26,93.7,94.0,93.9
2003-12-31,2003-12-23,92.6,90.6,90.8
2004-01-31,2004-01-30,103.8,103.0,102.5
2004-02-29,2004-02-27,94.4,94.0,93.8
2004-03-31,2004-03-26,95.8,93.7,93.4
2004-04-30,2004-04-30,94.2,94.0,93.9
2004-05-31,2004-05-28,90.2,94.2,94.2
2004-06-30,2004-06-25,95.6,95.0,95.0
2004-07-31,2004-07-30,96.7,96.2,96.2
2004-08-31,2004-08-27,95.9,94.0,93.9
2004-09-30,2004-10-01,94.2,96.0,95.9
2004-10-31,2004-10-29,91.7,88.0,88.3
2004-11-30,2004-11-24,92.8,96.0,96.0
2004-12-31,2004-12-23,97.1,95.7,95.7
2005-01-31,2005-02-04,95.5,96.0,96.1
2005-02-28,2005-03-04,94.1,94.5,94.4
2005-03-31,2005-04-01,92.6,92.7,92.7
2005-04-30,2005-04-29,87.7,88.8,88.7
2005-05-31,2005-05-27,86.9,86.0,88.3
2005-06-30,2005-07-01,96.0,94.6,94.5
2005-07-31,2005-07-29,96.5,96.5,96.5
2005-08-31,2005-08-26,89.1,92.5,92.6
2005-09-30,2005-09-30,76.9,78.0,78.1
2005-10-31,2005-10-28,74.2,76.0,76.6
2005-11-30,2005-11-23,81.6,81.0,80.9
2005-12-31,2005-12-23,91.5,89.0,85.7
2006-01-31,2006-02-03,91.2,93.4,93.1
2006-02-28,2006-03-03,86.7,87.5,91.0
2006-03-31,2006-03-31,88.9,86.9,86.9
2006-04-30,2006-04-28,87.4,89.0,88.8
2006-05-31,2006-05-26,79.1,79.0,79.2
2006-06-30,2006-06-30,84.9,82.5,82.5
2006-07-31,2006-07-28,84.7,83.0,82.8
2006-08-31,2006-09-01,82.0,79.0,79.5
2006-09-30,2006-09-29,85.4,85.0,85.3
2006-10-31,2006-10-27,93.6,92.7,92.5
2006-11-30,2006-11-22,92.1,93.3,93.3
2006-12-31,2006-12-22,91.7,90.2,90.5
2007-01-31,2007-02-02,96.9,98.0,97.7
2007-02-28,2007-03-02,91.3,93.5,93.5
2007-03-31,2007-03-30,88.4,88.5,88.5
2007-04-30,2007-04-27,87.1,85.3,85.3
2007-05-31,2007-06-01,88.3,88.0,88.2
2007-06-30,2007-06-29,85.3,84.0,84.1
2007-07-31,2007-07-27,90.4,91.2,91.4
2007-08-31,2007-08-31,83.4,82.5,82.4
2007-09-30,2007-09-28,83.4,84.0,84.2
2007-10-31,2007-10-26,80.9,82.0,82.0
2007-11-30,2007-11-21,76.1,75.0,74.9
2007-12-31,2007-12-21,75.5,74.5,74.6
2008-01-31,2008-02-01,78.4,79.0,78.6
2008-02-29,2008-02-29,70.8,70.0,69.9
2008-03-31,2008-03-28,69.5,70.0,69.8
2008-04-30,2008-04-25,62.6,63.2,63.6
2008-05-31,2008-05-30,59.8,59.5,59.2
2008-06-30,2008-06-27,56.4,56.7,56.8
2008-07-31,2008-07-25,61.2,56.4,56.3
2008-08-31,2008-08-29,63.0,62.0,62.1
2008-09-30,2008-09-26,70.3,70.8,70.5
2008-10-31,2008-10-31,57.6,57.5,57.3
2008-11-30,2008-11-26,55.3,57.5,57.1
2008-12-31,2008-12-23,60.1,58.8,58.7
2009-01-31,2009-01-30,61.2,61.9,61.6
2009-02-28,2009-02-27,56.3,56.0,56.0
2009-03-31,2009-03-27,57.3,56.8,56.7
2009-04-30,2009-05-01,65.1,61.9,61.7
2009-05-31,2009-05-29,68.7,68.0,68.3
2009-06-30,2009-06-26,70.8,69.0,69.1
2009-07-31,2009-07-24,66.0,65.0,65.0
2009-08-31,2009-08-28,65.7,64.3,64.5
2009-09-30,2009-09-25,73.5,70.5,70.5
2009-10-31,2009-10-30,70.6,70.0,70.0
2009-11-30,2009-11-25,67.4,67.0,66.9
2009-12-31,2009-12-23,72.5,73.8,73.9
2010-01-31,2010-01-29,74.4,73.0,72.8
2010-02-28,2010-02-26,73.6,73.9,73.8
2010-03-31,2010-03-26,73.6,73.0,73.1
2010-04-30,2010-04-30,72.2,71.0,71.0
2010-05-31,2010-05-28,73.6,73.3,73.3
2010-06-30,2010-06-25,76.0,75.5,75.3
2010-07-31,2010-07-30,67.8,67.0,67.2
2010-08-31,2010-08-27,68.9,69.6,69.4
2010-09-30,2010-10-01,68.2,67.0,67.0
2010-10-31,2010-10-29,67.7,68.0,68.2
2010-11-30,2010-11-24,71.6,69.0,69.3
2010-12-31,2010-12-23,74.5,74.5,74.6
2011-01-31,2011-01-28,74.2,73.3,73.4
2011-02-28,2011-02-25,77.5,75.5,75.4
2011-03-31,2011-03-25,67.5,68.0,68.0
2011-04-30,2011-04-29,69.8,70.0,69.8
2011-05-31,2011-05-27,74.3,72.4,72.4
2011-06-30,2011-07-01,71.5,72.0,72.0
2011-07-31,2011-07-29,63.7,64.0,64.3
2011-08-31,2011-08-26,55.7,55.8,55.8
2011-09-30,2011-09-30,59.4,57.8,57.7
2011-10-31,2011-10-28,60.9,58.0,58.0
2011-11-30,2011-11-23,64.1,64.5,64.6
2011-12-31,2011-12-22,69.9,68.0,68.0
2012-01-31,2012-01-27,75.0,74.0,74.3
2012-02-29,2012-02-24,75.3,73.0,72.9
2012-03-31,2012-03-30,76.2,74.5,74.6
2012-04-30,2012-04-27,76.4,75.7,75.6
2012-05-31,2012-05-25,79.3,77.8,77.6
2012-06-30,2012-06-29,73.2,74.1,74.2
2012-07-31,2012-07-27,72.3,72.0,72.2
2012-08-31,2012-08-31,74.3,73.6,73.6
2012-09-30,2012-09-28,78.3,79.0,78.8
2012-10-31,2012-10-26,82.6,83.0,82.6
2012-11-30,2012-11-21,82.7,84.5,84.1
2012-12-31,2012-12-21,72.9,75.0,74.8
2013-01-31,2013-02-01,73.8,71.5,71.4
2013-02-28,2013-03-01,77.6,76.3,76.4
2013-03-31,2013-03-29,78.6,72.6,72.8
2013-04-30,2013-04-26,76.4,73.5,73.6
2013-05-31,2013-05-31,84.5,83.7,83.7
2013-06-30,2013-06-28,84.1,83.0,82.9
2013-07-31,2013-07-26,85.1,84.0,84.1
2013-08-31,2013-08-30,82.1,80.5,80.7
2013-09-30,2013-09-27,77.5,78.0,78.0
2013-10-31,2013-10-25,73.2,75.0,74.7
2013-11-30,2013-11-27,75.1,73.1,73.3
2013-12-31,2013-12-23,82.5,83.0,82.9
2014-01-31,2014-01-31,81.2,81.0,80.9
2014-02-28,2014-02-28,81.6,81.2,81.3
2014-03-31,2014-03-28,80.0,80.5,80.6
2014-04-30,2014-04-25,84.1,83.0,82.8
2014-05-31,2014-05-30,81.9,82.5,82.4
2014-06-30,2014-06-27,82.5,82.0,81.9
2014-07-31,2014-08-01,81.8,81.8,81.9
2014-08-31,2014-08-29,82.5,80.0,80.2
2014-09-30,2014-09-26,84.6,84.8,84.7
2014-10-31,2014-10-31,86.9,86.4,86.4
2014-11-30,2014-11-26,88.8,90.0,90.0
2014-12-31,2014-12-23,93.6,93.5,93.4
2015-01-31,2015-01-30,98.1,98.2,98.2
2015-02-28,2015-02-27,95.4,94.0,94.0
2015-03-31,2015-03-27,93.0,92.0,92.1
2015-04-30,2015-05-01,95.9,96.0,96.0
2015-05-31,2015-05-29,90.7,89.5,89.8
2015-06-30,2015-06-26,96.1,94.6,94.6
2015-07-31,2015-07-31,93.1,94.0,94.1
2015-08-31,2015-08-28,91.9,93.0,93.1
2015-09-30,2015-09-25,87.2,86.5,86.8
2015-10-31,2015-10-30,90.0,92.5,92.5
2015-11-30,2015-11-25,91.3,93.1,93.1
2015-12-31,2015-12-23,92.6,92.0,91.9
2016-01-31,2016-01-29,92.0,93.0,92.7
2016-02-29,2016-02-26,91.7,91.0,91.0
2016-03-31,2016-04-01,91.0,90.5,90.7
2016-04-30,2016-04-29,89.0,90.0,90.1
2016-05-31,2016-05-27,94.7,95.4,95.3
2016-06-30,2016-06-24,93.5,94.1,94.1
2016-07-31,2016-07-29,90.0,90.2,90.6
2016-08-31,2016-08-26,89.8,90.8,90.9
2016-09-30,2016-09-30,91.2,90.0,90.0
