Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2015-01-31,2015-01-30,91.0,,
2015-02-28,2015-02-27,88.0,,
2015-03-31,2015-03-27,85.3,,
2015-04-30,2015-05-01,88.8,,
2015-05-31,2015-05-29,84.2,,
2015-06-30,2015-06-26,87.8,,
2015-07-31,2015-07-31,84.1,,
2015-08-31,2015-08-28,83.4,,
2015-09-30,2015-09-25,78.2,,
2015-10-31,2015-10-30,82.1,,
2015-11-30,2015-11-25,82.9,,
2015-12-31,2015-12-23,82.7,,
2016-01-31,2016-01-29,82.7,,
2016-02-29,2016-02-26,81.9,,
2016-03-31,2016-04-01,81.5,,
2016-04-30,2016-04-29,77.6,,
2016-05-31,2016-05-27,84.9,,
2016-06-30,2016-06-24,82.4,,
2016-07-31,2016-07-29,77.8,,
2016-08-31,2016-08-26,78.7,,
2016-09-30,2016-09-30,82.7,,
2016-10-31,2016-10-28,76.8,,
2016-11-30,2016-11-23,85.2,80.3,78.8
2016-12-31,2016-12-23,89.5,88.9,88.9
2017-01-31,2017-01-27,90.3,,
2017-02-28,2017-02-24,86.5,,
2017-03-31,2017-03-31,86.5,,
2017-04-30,2017-04-28,87.0,,
2017-05-31,2017-05-26,87.7,,
2017-06-30,2017-06-30,83.9,,
2017-07-31,2017-07-28,80.5,,
2017-08-31,2017-09-01,87.7,88.3,87.9
2017-09-30,2017-09-29,84.4,,
2017-10-31,2017-10-27,90.5,,
2017-11-30,2017-11-22,88.9,,
2017-12-31,2017-12-22,84.3,,
2018-01-31,2018-02-02,86.3,,
2018-02-28,2018-03-02,90.0,,
2018-03-31,2018-03-29,88.8,,
2018-04-30,2018-04-27,88.4,,
2018-05-31,2018-05-25,89.1,,
2018-06-30,2018-06-29,86.3,,
2018-07-31,2018-07-27,87.3,,
2018-08-31,2018-08-31,87.1,,
2018-09-30,2018-09-28,90.5,,
2018-10-31,2018-10-26,89.3,,
2018-11-30,2018-11-21,88.1,,
2018-12-31,2018-12-21,87.0,,
2019-01-31,2019-02-01,79.9,,
2019-02-28,2019-03-01,84.4,,
2019-03-31,2019-03-29,88.8,,
2019-04-30,2019-04-26,87.4,,
2019-05-31,2019-05-31,93.5,,
2019-06-30,2019-06-28,89.3,,
2019-07-31,2019-08-02,90.5,,
2019-08-31,2019-08-30,79.9,,
2019-09-30,2019-09-27,83.4,,
2019-10-31,2019-10-25,84.2,,
2019-11-30,2019-11-22,87.3,,
2019-12-31,2019-12-20,88.9,,
2020-01-31,2020-01-31,90.5,,
2020-02-29,2020-02-28,92.1,,
2020-03-31,2020-03-27,79.7,77.0,79.2
2020-04-30,2020-04-24,70.1,,
2020-05-31,2020-05-29,65.9,68.4,68.5
2020-06-30,2020-06-26,72.3,74.0,73.7
2020-07-31,2020-07-31,65.9,65.5,65.4
2020-08-31,2020-08-28,68.5,66.0,66.2
2020-09-30,2020-10-02,75.6,,
2020-10-31,2020-10-30,79.2,78.8,78.7
2020-11-30,2020-11-25,70.5,71.9,72.6
2020-12-31,2020-12-23,74.6,,
2021-01-31,2021-01-29,74.0,74.1,74.6
2021-02-28,2021-02-26,70.7,,
2021-03-31,2021-03-26,79.7,78.8,78.5
2021-04-30,2021-04-30,82.7,81.0,81.2
2021-05-31,2021-05-28,78.8,,
2021-06-30,2021-06-25,83.5,83.8,83.9
2021-07-31,2021-07-30,79.0,78.4,78.5
2021-08-31,2021-08-27,65.1,65.4,65.6
2021-09-30,2021-10-01,68.1,67.1,67.4
2021-10-31,2021-10-29,67.9,67.2,67.5
2021-11-30,2021-11-24,63.5,62.8,62.9
2021-12-31,2021-12-23,68.3,,
2022-01-31,2022-01-28,64.1,65.9,65.4
2022-02-28,2022-02-25,59.4,57.3,56.9
2022-03-31,2022-03-25,54.3,54.4,54.3
2022-04-30,2022-04-29,62.5,64.1,64.2
2022-05-31,2022-05-27,55.2,56.3,56.2
2022-06-30,2022-06-24,47.5,,
2022-07-31,2022-07-29,47.3,47.5,47.3
2022-08-31,2022-08-26,58.0,55.0,55.1
2022-09-30,2022-09-30,58.0,59.9,60.0
2022-10-31,2022-10-28,56.2,56.1,56.0
2022-11-30,2022-11-23,55.6,52.5,52.5
2022-12-31,2022-12-23,59.9,58.5,58.6
2023-01-31,2023-01-27,62.7,62.0,61.9
2023-02-28,2023-02-24,64.7,62.5,62.6
2023-03-31,2023-03-31,59.2,61.4,61.1
2023-04-30,2023-04-28,60.5,60.4,60.6
2023-05-31,2023-05-26,55.4,,
2023-06-30,2023-06-30,61.5,61.3,61.4
2023-07-31,2023-07-28,68.3,,
2023-08-31,2023-08-25,65.5,,
2023-09-30,2023-09-29,66.0,66.4,66.3
2023-10-31,2023-10-27,59.3,,
2023-11-30,2023-11-22,56.8,,
2023-12-31,2023-12-22,67.4,67.5,67.4
2024-01-31,2024-02-02,77.1,76.0,76.0
2024-02-29,2024-03-01,75.2,78.7,78.6
2024-03-31,2024-03-28,77.4,74.7,74.5
2024-04-30,2024-04-26,76.0,77.1,77.8
2024-05-31,2024-05-24,68.8,67.0,67.0
2024-06-30,2024-06-28,69.6,68.0,67.9
2024-07-31,2024-07-26,68.8,67.5,67.6
2024-08-31,2024-08-30,72.1,72.4,72.4
2024-09-30,2024-09-27,74.4,73.4,73.3
2024-10-31,2024-10-25,74.1,73.0,72.9
2024-11-30,2024-11-22,76.9,79.0,78.8
2024-12-31,2024-12-20,73.3,71.9,71.9
2025-01-31,2025-01-24,69.3,,
2025-02-28,2025-02-21,64.0,67.4,67.3
2025-03-31,2025-03-28,52.6,54.1,54.1
2025-04-30,2025-04-25,47.3,46.3,46.6
