Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-16,62.0,58.0,59.0
2003-07-31,2003-07-16,64.0,63.0,62.0
2003-08-31,2003-08-18,71.0,63.0,63.0
2003-09-30,2003-09-16,68.0,70.0,69.0
2003-10-31,2003-10-16,72.0,67.0,67.0
2003-11-30,2003-11-18,69.0,70.0,70.0
2003-12-31,2003-12-15,70.0,68.0,69.0
2004-01-31,2004-01-20,68.0,69.0,69.0
2004-02-29,2004-02-17,65.0,66.0,67.0
2004-03-31,2004-03-15,64.0,66.0,66.0
2004-04-30,2004-04-15,69.0,65.0,65.0
2004-05-31,2004-05-17,69.0,68.0,68.0
2004-06-30,2004-06-15,67.0,68.0,68.0
2004-07-31,2004-07-19,67.0,67.0,67.0
2004-08-31,2004-08-16,71.0,67.0,67.0
2004-09-30,2004-09-20,68.0,70.0,69.0
2004-10-31,2004-10-18,72.0,68.0,68.0
2004-11-30,2004-11-16,71.0,70.0,70.0
2004-12-31,2004-12-15,71.0,70.0,70.0
2005-01-31,2005-01-18,70.0,70.0,70.0
2005-02-28,2005-02-15,68.0,69.0,69.0
2005-03-31,2005-03-15,69.0,68.0,68.0
2005-04-30,2005-04-18,67.0,68.0,68.0
2005-05-31,2005-05-16,70.0,69.0,68.0
2005-06-30,2005-06-15,71.0,71.0,71.0
2005-07-31,2005-07-18,70.0,71.0,71.0
2005-08-31,2005-08-15,67.0,70.0,70.0
2005-09-30,2005-09-19,65.0,67.0,67.0
2005-10-31,2005-10-18,67.0,64.0,65.0
2005-11-30,2005-11-16,60.0,66.0,66.0
2005-12-31,2005-12-19,57.0,61.0,61.0
2006-01-31,2006-01-18,57.0,58.0,58.0
2006-02-28,2006-02-15,57.0,57.0,57.0
2006-03-31,2006-03-15,55.0,56.0,56.0
2006-04-30,2006-04-17,50.0,55.0,55.0
2006-05-31,2006-05-15,45.0,50.0,50.0
2006-06-30,2006-06-19,42.0,45.0,45.0
2006-07-31,2006-07-18,39.0,41.0,41.0
2006-08-31,2006-08-15,32.0,38.0,38.0
2006-09-30,2006-09-18,30.0,31.0,31.0
2006-10-31,2006-10-17,31.0,30.0,30.0
2006-11-30,2006-11-16,33.0,30.0,31.0
2006-12-31,2006-12-18,32.0,34.0,34.0
2007-01-31,2007-01-17,35.0,33.0,33.0
2007-02-28,2007-02-15,40.0,35.0,35.0
2007-03-31,2007-03-19,36.0,38.0,38.0
2007-04-30,2007-04-16,33.0,35.0,35.0
2007-05-31,2007-05-15,30.0,33.0,33.0
2007-06-30,2007-06-18,28.0,30.0,30.0
2007-07-31,2007-07-17,24.0,27.0,27.0
2007-08-31,2007-08-15,22.0,23.0,23.0
2007-09-30,2007-09-18,20.0,20.0,20.0
2007-10-31,2007-10-16,18.0,19.0,19.0
2007-11-30,2007-11-19,19.0,17.0,17.0
2007-12-31,2007-12-17,19.0,19.0,19.0
2008-01-31,2008-01-16,19.0,19.0,19.0
2008-02-29,2008-02-19,20.0,19.0,19.0
2008-03-31,2008-03-17,20.0,20.0,20.0
2008-04-30,2008-04-15,20.0,20.0,20.0
2008-05-31,2008-05-15,19.0,20.0,20.0
2008-06-30,2008-06-16,18.0,19.0,19.0
2008-07-31,2008-07-16,16.0,18.0,18.0
2008-08-31,2008-08-18,16.0,16.0,16.0
2008-09-30,2008-09-16,18.0,17.0,17.0
2008-10-31,2008-10-16,14.0,17.0,17.0
2008-11-30,2008-11-18,9.0,14.0,14.0
2008-12-31,2008-12-15,9.0,10.0,10.0
2009-01-31,2009-01-21,8.0,9.0,9.0
2009-02-28,2009-02-17,9.0,8.0,8.0
2009-03-31,2009-03-16,9.0,9.0,9.0
2009-04-30,2009-04-15,14.0,10.0,10.0
2009-05-31,2009-05-18,16.0,16.0,16.0
2009-06-30,2009-06-15,15.0,17.0,17.0
2009-07-31,2009-07-16,17.0,16.0,16.0
2009-08-31,2009-08-17,18.0,18.0,19.0
2009-09-30,2009-09-16,19.0,19.0,19.0
2009-10-31,2009-10-19,18.0,20.0,20.0
2009-11-30,2009-11-17,17.0,19.0,19.0
2009-12-31,2009-12-15,16.0,18.0,18.0
2010-01-31,2010-01-19,15.0,17.0,17.0
2010-02-28,2010-02-16,17.0,16.0,16.0
2010-03-31,2010-03-15,15.0,17.0,17.0
2010-04-30,2010-04-15,19.0,16.0,16.0
2010-05-31,2010-05-17,22.0,20.0,20.0
2010-06-30,2010-06-15,17.0,21.0,21.0
2010-07-31,2010-07-19,14.0,16.0,16.0
2010-08-31,2010-08-16,13.0,15.0,15.0
2010-09-30,2010-09-20,13.0,14.0,14.0
2010-10-31,2010-10-18,16.0,14.0,14.0
