Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2009-10-31,2009-11-10,89.1,,
2009-11-30,2009-12-08,88.3,,
2009-12-31,2010-01-12,88.0,,
2010-01-31,2010-02-09,89.3,,
2010-02-28,2010-03-09,88.0,90.0,90.1
2010-03-31,2010-04-13,86.8,89.2,89.4
2010-04-30,2010-05-11,90.6,87.1,87.4
2010-05-31,2010-06-08,92.2,91.0,90.7
2010-06-30,2010-07-13,89.0,91.2,92.0
2010-07-31,2010-08-10,88.1,88.0,88.2
2010-08-31,2010-09-14,88.8,89.0,88.1
2010-09-30,2010-10-12,89.0,89.6,89.2
2010-10-31,2010-11-09,91.7,90.0,90.1
2010-11-30,2010-12-14,93.2,92.3,92.2
2010-12-31,2011-01-11,92.6,94.5,94.4
2011-01-31,2011-02-08,94.1,94.0,94.1
2011-02-28,2011-03-08,94.5,95.0,95.3
2011-03-31,2011-04-12,91.9,95.0,94.6
2011-04-30,2011-05-10,91.2,91.8,91.8
2011-05-31,2011-06-14,90.9,90.5,90.4
2011-06-30,2011-07-12,90.8,91.2,90.9
2011-07-31,2011-08-09,89.9,89.9,89.8
2011-08-31,2011-09-13,88.1,88.0,88.4
2011-09-30,2011-10-11,88.9,88.8,88.6
2011-10-31,2011-11-08,90.2,90.0,89.4
2011-11-30,2011-12-13,92.0,91.5,91.5
2011-12-31,2012-01-10,93.8,93.8,93.7
2012-01-31,2012-02-14,93.9,95.0,95.1
2012-02-29,2012-03-13,94.3,94.5,94.4
2012-03-31,2012-04-10,92.5,95.0,94.7
2012-04-30,2012-05-08,94.5,93.0,92.7
2012-05-31,2012-06-12,94.4,94.0,94.1
2012-06-30,2012-07-10,91.4,93.3,93.2
2012-07-31,2012-08-14,91.2,91.6,91.6
2012-08-31,2012-09-11,92.9,91.4,91.3
2012-09-30,2012-10-09,92.8,93.5,93.4
2012-10-31,2012-11-13,93.1,93.0,92.8
2012-11-30,2012-12-11,87.5,92.5,92.6
2012-12-31,2013-01-08,88.0,87.2,87.4
2013-01-31,2013-02-12,88.9,89.0,89.1
2013-02-28,2013-03-12,90.8,90.0,89.8
2013-03-31,2013-04-09,89.5,89.8,89.9
2013-04-30,2013-05-14,92.1,90.3,90.2
2013-05-31,2013-06-11,94.4,92.1,92.1
2013-06-30,2013-07-09,93.5,94.9,94.6
2013-07-31,2013-08-13,94.1,94.5,94.6
2013-08-31,2013-09-10,94.0,95.0,94.8
2013-09-30,2013-10-08,93.9,94.3,94.1
2013-10-31,2013-11-12,91.6,93.5,93.4
2013-11-30,2013-12-10,92.5,92.6,92.5
2013-12-31,2014-01-14,93.9,93.1,93.3
2014-01-31,2014-02-11,94.1,93.9,93.8
2014-02-28,2014-03-11,91.4,93.8,93.8
2014-03-31,2014-04-08,93.4,92.5,92.5
2014-04-30,2014-05-13,95.2,94.5,94.5
2014-05-31,2014-06-10,96.6,95.8,95.7
