Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-03,-56.0,-35.0,-36.0
2003-07-31,2003-08-01,-71.0,-33.0,-34.0
2003-08-31,2003-09-05,-44.0,-35.0,-31.0
2003-09-30,2003-10-03,-29.0,-30.0,-33.0
2003-10-31,2003-11-07,-24.0,-20.0,-22.0
2003-11-30,2003-12-05,-17.0,-12.0,-13.0
2003-12-31,2004-01-09,-26.0,0.0,0.0
2004-01-31,2004-02-06,-11.0,-5.0,-2.0
2004-02-29,2004-03-05,-3.0,-2.0,-2.0
2004-03-31,2004-04-02,0.0,5.0,3.0
2004-04-30,2004-05-07,21.0,5.0,6.0
2004-05-31,2004-06-04,32.0,20.0,22.0
2004-06-30,2004-07-02,-11.0,30.0,27.0
2004-07-31,2004-08-06,10.0,10.0,10.0
2004-08-31,2004-09-03,22.0,15.0,12.0
2004-09-30,2004-10-08,-18.0,10.0,13.0
2004-10-31,2004-11-05,-5.0,9.0,7.0
2004-11-30,2004-12-03,-5.0,0.0,1.0
2004-12-31,2005-01-07,3.0,0.0,1.0
2005-01-31,2005-02-04,-25.0,5.0,3.0
2005-02-28,2005-03-04,20.0,7.0,3.0
2005-03-31,2005-04-01,-8.0,8.0,7.0
2005-04-30,2005-05-06,-6.0,-5.0,-4.0
2005-05-31,2005-06-03,-7.0,-5.0,-6.0
2005-06-30,2005-07-08,-24.0,-5.0,-6.0
2005-07-31,2005-08-05,-4.0,-5.0,-6.0
2005-08-31,2005-09-02,-14.0,0.0,-1.0
2005-09-30,2005-10-07,-27.0,-33.0,-30.0
2005-10-31,2005-11-04,12.0,-9.0,-6.0
2005-11-30,2005-12-02,11.0,5.0,5.0
2005-12-31,2006-01-06,18.0,0.0,3.0
2006-01-31,2006-02-03,7.0,7.0,8.0
2006-02-28,2006-03-10,-1.0,5.0,7.0
2006-03-31,2006-04-07,-5.0,2.0,2.0
2006-04-30,2006-05-05,19.0,0.0,0.0
2006-05-31,2006-06-02,-14.0,5.0,7.0
2006-06-30,2006-07-07,15.0,1.0,-1.0
2006-07-31,2006-08-04,-15.0,5.0,4.0
2006-08-31,2006-09-01,-11.0,0.0,-1.0
2006-09-30,2006-10-06,-19.0,-5.0,-6.0
2006-10-31,2006-11-03,-39.0,-5.0,-5.0
2006-11-30,2006-12-08,-15.0,-15.0,-15.0
2006-12-31,2007-01-05,-12.0,-15.0,-17.0
2007-01-31,2007-02-02,-16.0,-11.0,-10.0
2007-02-28,2007-03-09,-14.0,-19.0,-17.0
2007-03-31,2007-04-06,-16.0,-12.0,-12.0
2007-04-30,2007-05-04,-19.0,-14.0,-13.0
2007-05-31,2007-06-01,-19.0,-15.0,-12.0
2007-06-30,2007-07-06,-18.0,-11.0,-13.0
2007-07-31,2007-08-03,-2.0,-15.0,-14.0
2007-08-31,2007-09-07,-46.0,-10.0,-11.0
2007-09-30,2007-10-05,-18.0,-10.0,-12.0
2007-10-31,2007-11-02,-21.0,-15.0,-15.0
2007-11-30,2007-12-07,-11.0,-15.0,-15.0
2007-12-31,2008-01-04,-31.0,-15.0,-15.0
2008-01-31,2008-02-01,-28.0,-20.0,-19.0
2008-02-29,2008-03-07,-52.0,-25.0,-25.0
2008-03-31,2008-04-04,-48.0,-35.0,-38.0
2008-04-30,2008-05-02,-46.0,-35.0,-38.0
2008-05-31,2008-06-06,-26.0,-40.0,-40.0
2008-06-30,2008-07-03,-33.0,-30.0,-30.0
2008-07-31,2008-08-01,-35.0,-40.0,-39.0
2008-08-31,2008-09-05,-61.0,-35.0,-34.0
2008-09-30,2008-10-03,-51.0,-57.0,-54.0
2008-10-31,2008-11-07,-90.0,-65.0,-65.0
2008-11-30,2008-12-05,-85.0,-100.0,-93.0
2008-12-31,2009-01-09,-149.0,-100.0,-104.0
2009-01-31,2009-02-06,-207.0,-145.0,-143.0
2009-02-28,2009-03-06,-168.0,-200.0,-189.0
