Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2010-03-31,2010-04-02,123.0,,
2010-04-30,2010-05-07,231.0,100.0,95.0
2010-05-31,2010-06-04,41.0,180.0,171.0
2010-06-30,2010-07-02,83.0,110.0,111.0
2010-07-31,2010-08-06,71.0,90.0,91.0
2010-08-31,2010-09-03,67.0,40.0,40.0
2010-09-30,2010-10-08,64.0,75.0,69.0
2010-10-31,2010-11-05,159.0,80.0,82.0
2010-11-30,2010-12-03,50.0,160.0,157.0
2010-12-31,2011-01-07,113.0,178.0,173.0
2011-01-31,2011-02-04,50.0,145.0,145.0
2011-02-28,2011-03-04,222.0,200.0,203.0
2011-03-31,2011-04-01,230.0,206.0,214.0
2011-04-30,2011-05-06,268.0,200.0,204.0
2011-05-31,2011-06-03,83.0,170.0,168.0
2011-06-30,2011-07-08,57.0,132.0,132.0
2011-07-31,2011-08-05,154.0,113.0,110.0
2011-08-31,2011-09-02,17.0,95.0,90.0
2011-09-30,2011-10-07,137.0,90.0,94.0
2011-10-31,2011-11-04,104.0,125.0,124.0
2011-11-30,2011-12-02,140.0,150.0,152.0
2011-12-31,2012-01-06,212.0,175.0,177.0
2012-01-31,2012-02-03,257.0,160.0,162.0
2012-02-29,2012-03-09,233.0,225.0,228.0
2012-03-31,2012-04-06,121.0,218.0,220.0
2012-04-30,2012-05-04,130.0,165.0,166.0
2012-05-31,2012-06-01,82.0,164.0,160.0
2012-06-30,2012-07-06,84.0,106.0,109.0
2012-07-31,2012-08-03,172.0,110.0,116.0
2012-08-31,2012-09-07,103.0,142.0,137.0
2012-09-30,2012-10-05,104.0,130.0,127.0
2012-10-31,2012-11-02,184.0,123.0,123.0
2012-11-30,2012-12-07,147.0,90.0,91.0
2012-12-31,2013-01-04,168.0,155.0,158.0
2013-01-31,2013-02-01,166.0,168.0,170.0
2013-02-28,2013-03-08,246.0,170.0,175.0
2013-03-31,2013-04-05,95.0,200.0,199.0
2013-04-30,2013-05-03,176.0,150.0,154.0
2013-05-31,2013-06-07,178.0,175.0,175.0
2013-06-30,2013-07-05,202.0,175.0,172.0
2013-07-31,2013-08-02,161.0,195.0,195.0
2013-08-31,2013-09-06,152.0,180.0,180.0
2013-09-30,2013-10-22,126.0,180.0,180.0
2013-10-31,2013-11-08,212.0,125.0,128.0
2013-11-30,2013-12-06,196.0,180.0,181.0
2013-12-31,2014-01-10,87.0,200.0,198.0
2014-01-31,2014-02-07,142.0,185.0,186.0
2014-02-28,2014-03-07,162.0,145.0,146.0
2014-03-31,2014-04-04,192.0,200.0,202.0
2014-04-30,2014-05-02,273.0,215.0,214.0
2014-05-31,2014-06-06,216.0,210.0,209.0
2014-06-30,2014-07-03,262.0,215.0,214.0
2014-07-31,2014-08-01,198.0,227.0,226.0
2014-08-31,2014-09-05,134.0,214.0,213.0
2014-09-30,2014-10-03,236.0,210.0,210.0
2014-10-31,2014-11-07,209.0,225.0,226.0
2014-11-30,2014-12-05,314.0,225.0,222.0
2014-12-31,2015-01-09,240.0,228.0,224.0
2015-01-31,2015-02-06,267.0,222.0,223.0
2015-02-28,2015-03-06,288.0,225.0,224.0
2015-03-31,2015-04-03,129.0,235.0,234.0
2015-04-30,2015-05-08,213.0,225.0,228.0
2015-05-31,2015-06-05,262.0,220.0,217.0
2015-06-30,2015-07-02,223.0,225.0,224.0
2015-07-31,2015-08-07,210.0,212.0,214.0
2015-08-31,2015-09-04,140.0,204.0,202.0
2015-09-30,2015-10-02,118.0,197.0,197.0
2015-10-31,2015-11-06,268.0,169.0,171.0
2015-11-30,2015-12-04,197.0,190.0,190.0
2015-12-31,2016-01-08,275.0,201.0,198.0
2016-01-31,2016-02-05,158.0,180.0,183.0
2016-02-29,2016-03-04,230.0,190.0,190.0
