Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2007-01-31,2007-01-31,121919.0,,
2007-02-28,2007-02-28,121900.0,,
2007-03-31,2007-03-31,122538.0,,
2007-04-30,2007-04-30,122504.0,,
2007-05-31,2007-05-31,122891.0,,
2007-06-30,2007-06-30,123906.0,,
2007-07-31,2007-07-31,124003.0,,
2007-08-31,2007-08-31,123098.0,,
2007-09-30,2007-09-30,123168.0,,
2007-10-31,2007-10-31,123485.0,,
2007-11-30,2007-11-30,124014.0,,
2007-12-31,2007-12-31,123524.0,,
2008-01-31,2008-01-31,122042.0,,
2008-02-29,2008-02-29,122047.0,,
2008-03-31,2008-03-31,122850.0,,
2008-04-30,2008-04-30,123159.0,,
2008-05-31,2008-05-31,123412.0,,
2008-06-30,2008-06-30,123630.0,,
2008-07-31,2008-07-31,123605.0,,
2008-08-31,2008-08-31,123018.0,,
2008-09-30,2008-09-30,122263.0,,
2008-10-31,2008-10-31,122868.0,,
2008-11-30,2008-11-30,122326.0,,
2008-12-31,2008-12-31,121211.0,,
2009-01-31,2009-01-31,119061.0,,
2009-02-28,2009-02-28,119129.0,,
2009-03-31,2009-03-31,118559.0,,
2009-04-30,2009-04-30,118835.0,,
2009-05-31,2009-05-31,118875.0,,
2009-06-30,2009-06-30,119039.0,,
2009-07-31,2009-07-31,119199.0,,
2009-08-31,2009-08-31,118379.0,,
2009-09-30,2009-09-30,117215.0,,
2009-10-31,2009-10-31,117233.0,,
2009-11-30,2009-11-30,117041.0,,
2009-12-31,2009-12-31,116663.0,,
2010-01-31,2010-01-31,115719.0,,
2010-02-28,2010-02-28,116102.0,,
2010-03-31,2010-03-31,116743.0,,
2010-04-30,2010-04-30,117486.0,,
2010-05-31,2010-05-31,117372.0,,
2010-06-30,2010-06-30,117342.0,,
2010-07-31,2010-07-31,117884.0,,
2010-08-31,2010-08-31,117504.0,,
2010-09-30,2010-09-30,117488.0,,
2010-10-31,2010-10-31,117468.0,,
2010-11-30,2010-11-30,117029.0,,
2010-12-31,2010-12-31,117006.0,,
2011-01-31,2011-01-31,115671.0,,
2011-02-28,2011-02-28,116478.0,,
2011-03-31,2011-03-31,117234.0,,
2011-04-30,2011-04-30,117920.0,,
2011-05-31,2011-05-31,117812.0,,
2011-06-30,2011-06-30,117869.0,,
2011-07-31,2011-07-31,118120.0,,
2011-08-31,2011-08-31,118043.0,,
2011-09-30,2011-09-30,118277.0,,
2011-10-31,2011-10-31,118338.0,,
2011-11-30,2011-11-30,118439.0,,
2011-12-31,2011-12-31,118033.0,,
2012-01-31,2012-01-31,117141.0,,
2012-02-29,2012-02-29,118214.0,,
2012-03-31,2012-03-31,118628.0,,
2012-04-30,2012-04-30,119376.0,,
2012-05-31,2012-05-31,119689.0,,
2012-06-30,2012-06-30,120217.0,,
2012-07-31,2012-07-31,119916.0,,
2012-08-31,2012-08-31,119479.0,,
2012-09-30,2012-09-30,120132.0,,
2012-10-31,2012-10-31,120651.0,,
2012-11-30,2012-11-30,120277.0,,
2012-12-31,2012-12-31,119844.0,,
2013-01-31,2013-01-31,118524.0,,
2013-02-28,2013-02-28,119065.0,,
2013-03-31,2013-03-31,119501.0,,
2013-04-30,2013-04-30,120432.0,,
2013-05-31,2013-05-31,121048.0,,
2013-06-30,2013-06-30,121172.0,,
2013-07-31,2013-07-31,121424.0,,
2013-08-31,2013-08-31,120676.0,,
2013-09-30,2013-09-30,120610.0,,
2013-10-31,2013-10-31,120270.0,,
2013-11-30,2013-11-30,120814.0,,
2013-12-31,2013-12-31,120636.0,,
2014-01-31,2014-01-31,120059.0,,
2014-02-28,2014-02-28,120476.0,,
2014-03-31,2014-03-31,121279.0,,
2014-04-30,2014-04-30,122054.0,,
2014-05-31,2014-05-31,122421.0,,
2014-06-30,2014-06-30,123065.0,,
2014-07-31,2014-07-31,123183.0,,
2014-08-31,2014-08-31,122008.0,,
2014-09-30,2014-09-30,121922.0,,
2014-10-31,2014-10-31,122952.0,,
2014-11-30,2014-11-30,122558.0,,
2014-12-31,2014-12-31,122300.0,,
2015-01-31,2015-01-31,121999.0,,
2015-02-28,2015-02-28,122378.0,,
2015-03-31,2015-03-31,122698.0,,
2015-04-30,2015-04-30,123769.0,,
2015-05-31,2015-05-31,124251.0,,
2015-06-30,2015-06-30,124830.0,,
2015-07-31,2015-07-31,125012.0,,
2015-08-31,2015-08-31,124314.0,,
2015-09-30,2015-09-30,124052.0,,
2015-10-31,2015-10-31,124597.0,,
2015-11-30,2015-11-30,124271.0,,
2015-12-31,2015-12-31,124277.0,,
2016-01-31,2016-01-31,123710.0,,
2016-02-29,2016-02-29,124670.0,,
2016-03-31,2016-03-31,124997.0,,
2016-04-30,2016-04-30,125615.0,,
2016-05-31,2016-05-31,126319.0,,
2016-06-30,2016-06-30,126140.0,,
2016-07-31,2016-07-31,126453.0,,
2016-08-31,2016-08-31,125670.0,,
2016-09-30,2016-09-30,125832.0,,
2016-10-31,2016-10-31,126370.0,,
2016-11-30,2016-11-30,126190.0,,
2016-12-31,2016-12-31,125917.0,,
2017-01-31,2017-01-31,124806.0,,
2017-02-28,2017-02-28,125893.0,,
2017-03-31,2017-03-31,126771.0,,
2017-04-30,2017-04-30,126908.0,,
2017-05-31,2017-05-31,127117.0,,
2017-06-30,2017-06-30,127558.0,,
2017-07-31,2017-07-31,128033.0,,
2017-08-31,2017-08-31,127056.0,,
2017-09-30,2017-09-30,127739.0,,
2017-10-31,2017-10-31,127880.0,,
2017-11-30,2017-11-30,127727.0,,
2017-12-31,2017-12-31,127510.0,,
2018-01-31,2018-01-31,126395.0,,
2018-02-28,2018-02-28,127310.0,,
2018-03-31,2018-03-31,127597.0,,
2018-04-30,2018-04-30,128049.0,,
2018-05-31,2018-05-31,128924.0,,
2018-06-30,2018-06-30,129331.0,,
2018-07-31,2018-07-31,130062.0,,
2018-08-31,2018-08-31,128429.0,,
2018-09-30,2018-09-30,128720.0,,
2018-10-31,2018-10-31,129419.0,,
2018-11-30,2018-11-30,129210.0,,
2018-12-31,2018-12-31,129088.0,,
2019-01-31,2019-01-31,127583.0,,
2019-02-28,2019-02-28,128351.0,,
2019-03-31,2019-03-31,128666.0,,
2019-04-30,2019-04-30,129049.0,,
2019-05-31,2019-05-31,129474.0,,
2019-06-30,2019-06-30,130185.0,,
2019-07-31,2019-07-31,131245.0,,
2019-08-31,2019-08-31,130545.0,,
2019-09-30,2019-09-30,131086.0,,
2019-10-31,2019-10-31,131721.0,,
2019-11-30,2019-11-30,131252.0,,
2019-12-31,2019-12-31,131281.0,,
2020-01-31,2020-01-31,129928.0,,
2020-02-29,2020-02-29,130320.0,,
2020-03-31,2020-03-31,128689.0,,
2020-04-30,2020-04-30,111365.0,,
2020-05-31,2020-05-31,115027.0,,
2020-06-30,2020-06-30,119681.0,,
2020-07-31,2020-07-31,120546.0,,
2020-08-31,2020-08-31,122673.0,,
2020-09-30,2020-09-30,123377.0,,
2020-10-31,2020-10-31,125569.0,,
2020-11-30,2020-11-30,124559.0,,
2020-12-31,2020-12-31,124101.0,,
2021-01-31,2021-01-31,123065.0,,
2021-02-28,2021-02-28,123660.0,,
2021-03-31,2021-03-31,124607.0,,
2021-04-30,2021-04-30,125274.0,,
2021-05-31,2021-05-31,125989.0,,
2021-06-30,2021-06-30,126224.0,,
2021-07-31,2021-07-31,127380.0,,
2021-08-31,2021-08-31,126779.0,,
2021-09-30,2021-09-30,127210.0,,
2021-10-31,2021-10-31,127626.0,,
2021-11-30,2021-11-30,127944.0,,
2021-12-31,2021-12-31,128041.0,,
2022-01-31,2022-01-31,127640.0,,
2022-02-28,2022-02-28,128805.0,,
2022-03-31,2022-03-31,129933.0,,
2022-04-30,2022-04-30,129503.0,,
2022-05-31,2022-05-31,129919.0,,
2022-06-30,2022-06-30,130180.0,,
2022-07-31,2022-07-31,130384.0,,
2022-08-31,2022-08-31,130060.0,,
2022-09-30,2022-09-30,129654.0,,
2022-10-31,2022-10-31,129693.0,,
2022-11-30,2022-11-30,129131.0,,
2022-12-31,2022-12-31,129742.0,,
2023-01-31,2023-01-31,130000.0,,
2023-02-28,2023-02-28,130194.0,,
2023-03-31,2023-03-31,130893.0,,
2023-04-30,2023-04-30,131113.0,,
2023-05-31,2023-05-31,130744.0,,
2023-06-30,2023-06-30,131849.0,,
2023-07-31,2023-07-31,132254.0,,
2023-08-31,2023-08-31,131031.0,,
2023-09-30,2023-09-30,131457.0,,
2023-10-31,2023-10-31,131621.0,,
2023-11-30,2023-11-30,131727.0,,
2023-12-31,2023-12-31,130367.0,,
2024-01-31,2024-01-31,129807.0,,
2024-02-29,2024-02-29,129313.0,,
2024-03-31,2024-03-31,130242.0,,
2024-04-30,2024-04-30,131108.0,,
2024-05-31,2024-05-31,130445.0,,
2024-06-30,2024-06-30,130906.0,,
2024-07-31,2024-07-31,131037.0,,
2024-08-31,2024-08-31,129712.0,,
2024-09-30,2024-09-30,130632.0,,
2024-10-31,2024-10-31,130848.0,,
2024-11-30,2024-11-30,130633.0,,
2024-12-31,2024-12-31,130565.0,,
2025-01-31,2025-01-31,130573.0,,
2025-02-28,2025-02-28,130857.0,,
2025-03-31,2025-03-31,131186.0,,
2025-04-30,2025-04-30,132266.0,,
2025-05-31,2025-05-31,131822.0,,
