Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,0.449,,
2003-07-31,2003-07-31,0.457,,
2003-08-31,2003-08-31,0.445,,
2003-09-30,2003-09-30,0.468,,
2003-10-31,2003-10-31,0.433,,
2003-11-30,2003-11-30,0.403,,
2003-12-31,2003-12-31,0.472,,
2004-01-31,2004-01-31,0.46,,
2004-02-29,2004-02-29,0.454,,
2004-03-31,2004-03-31,0.429,,
2004-04-30,2004-04-30,0.444,,
2004-05-31,2004-05-31,0.488,,
2004-06-30,2004-06-30,0.44,,
2004-07-31,2004-07-31,0.475,,
2004-08-31,2004-08-31,0.477,,
2004-09-30,2004-09-30,0.471,,
2004-10-31,2004-10-31,0.497,,
2004-11-30,2004-11-30,0.472,,
2004-12-31,2004-12-31,0.474,,
2005-01-31,2005-01-31,0.42,,
2005-02-28,2005-02-28,0.508,,
2005-03-31,2005-03-31,0.48,,
2005-04-30,2005-04-30,0.513,,
2005-05-31,2005-05-31,0.476,,
2005-06-30,2005-06-30,0.436,,
2005-07-31,2005-07-31,0.422,,
2005-08-31,2005-08-31,0.418,,
2005-09-30,2005-09-30,0.405,,
2005-10-31,2005-10-31,0.425,,
2005-11-30,2005-11-30,0.448,,
2005-12-31,2005-12-31,0.422,,
2006-01-31,2006-01-31,0.41,,
2006-02-28,2006-02-28,0.472,,
2006-03-31,2006-03-31,0.422,,
2006-04-30,2006-04-30,0.392,,
2006-05-31,2006-05-31,0.342,,
2006-06-30,2006-06-30,0.427,,
2006-07-31,2006-07-31,0.422,,
2006-08-31,2006-08-31,0.426,,
2006-09-30,2006-09-30,0.404,,
2006-10-31,2006-10-31,0.376,,
2006-11-30,2006-11-30,0.388,,
2006-12-31,2006-12-31,0.384,,
2007-01-31,2007-01-31,0.406,,
2007-02-28,2007-02-28,0.392,,
2007-03-31,2007-03-31,0.402,,
2007-04-30,2007-04-30,0.407,,
2007-05-31,2007-05-31,0.347,,
2007-06-30,2007-06-30,0.418,,
2007-07-31,2007-07-31,0.393,,
2007-08-31,2007-08-31,0.385,,
2007-09-30,2007-09-30,0.435,,
2007-10-31,2007-10-31,0.454,,
2007-11-30,2007-11-30,0.441,,
2007-12-31,2007-12-31,0.441,,
2008-01-31,2008-01-31,0.439,,
2008-02-29,2008-02-29,0.427,,
2008-03-31,2008-03-31,0.457,,
2008-04-30,2008-04-30,0.406,,
2008-05-31,2008-05-31,0.517,,
2008-06-30,2008-06-30,0.509,,
2008-07-31,2008-07-31,0.541,,
2008-08-31,2008-08-31,0.531,,
2008-09-30,2008-09-30,0.527,,
2008-10-31,2008-10-31,0.529,,
2008-11-30,2008-11-30,0.493,,
2008-12-31,2008-12-31,0.519,,
2009-01-31,2009-01-31,0.503,,
2009-02-28,2009-02-28,0.646,,
2009-03-31,2009-03-31,0.566,,
2009-04-30,2009-04-30,0.583,,
2009-05-31,2009-05-31,0.624,,
2009-06-30,2009-06-30,0.647,,
2009-07-31,2009-07-31,0.65,,
2009-08-31,2009-08-31,0.703,,
2009-09-30,2009-09-30,0.75,,
2009-10-31,2009-10-31,0.717,,
2009-11-30,2009-11-30,0.864,,
2009-12-31,2009-12-31,0.811,,
2010-01-31,2010-01-31,0.779,,
2010-02-28,2010-02-28,0.776,,
2010-03-31,2010-03-31,0.744,,
2010-04-30,2010-04-30,0.768,,
2010-05-31,2010-05-31,0.78,,
2010-06-30,2010-06-30,0.764,,
2010-07-31,2010-07-31,0.786,,
2010-08-31,2010-08-31,0.829,,
2010-09-30,2010-09-30,0.79,,
2010-10-31,2010-10-31,0.831,,
2010-11-30,2010-11-30,0.827,,
2010-12-31,2010-12-31,0.85,,
2011-01-31,2011-01-31,0.876,,
2011-02-28,2011-02-28,0.84,,
2011-03-31,2011-03-31,0.839,,
2011-04-30,2011-04-30,0.85,,
2011-05-31,2011-05-31,0.799,,
2011-06-30,2011-06-30,0.81,,
2011-07-31,2011-07-31,0.836,,
2011-08-31,2011-08-31,0.816,,
2011-09-30,2011-09-30,0.894,,
2011-10-31,2011-10-31,0.836,,
2011-11-30,2011-11-30,0.829,,
2011-12-31,2011-12-31,0.832,,
2012-01-31,2012-01-31,0.816,,
2012-02-29,2012-02-29,0.884,,
2012-03-31,2012-03-31,0.897,,
2012-04-30,2012-04-30,0.89,,
2012-05-31,2012-05-31,0.877,,
2012-06-30,2012-06-30,0.854,,
2012-07-31,2012-07-31,0.841,,
2012-08-31,2012-08-31,0.812,,
2012-09-30,2012-09-30,0.812,,
2012-10-31,2012-10-31,0.836,,
2012-11-30,2012-11-30,0.858,,
2012-12-31,2012-12-31,0.83,,
2013-01-31,2013-01-31,0.817,,
2013-02-28,2013-02-28,0.807,,
2013-03-31,2013-03-31,0.835,,
2013-04-30,2013-04-30,0.838,,
2013-05-31,2013-05-31,0.818,,
2013-06-30,2013-06-30,0.8,,
2013-07-31,2013-07-31,0.809,,
2013-08-31,2013-08-31,0.828,,
2013-09-30,2013-09-30,0.775,,
2013-10-31,2013-10-31,0.789,,
2013-11-30,2013-11-30,0.743,,
2013-12-31,2013-12-31,0.773,,
2014-01-31,2014-01-31,0.745,,
2014-02-28,2014-02-28,0.778,,
2014-03-31,2014-03-31,0.754,,
2014-04-30,2014-04-30,0.696,,
2014-05-31,2014-05-31,0.686,,
