Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-25,1160.0,1115.0,1114.97
2003-07-31,2003-08-26,1165.0,1150.0,1140.93
2003-08-31,2003-09-25,1150.0,1122.5,1123.06
2003-09-30,2003-10-27,1145.0,1125.0,1127.65
2003-10-31,2003-11-26,1105.0,1139.5,1133.97
2003-11-30,2003-12-24,1082.0,1125.0,1120.37
2003-12-31,2004-01-28,1060.0,1100.0,1089.72
2004-01-31,2004-02-26,1106.0,1070.0,1065.84
2004-02-29,2004-03-24,1163.0,1100.0,1079.49
2004-03-31,2004-04-26,1228.0,1172.5,1170.93
2004-04-30,2004-05-26,1093.0,1200.0,1198.41
2004-05-31,2004-06-24,1369.0,1125.0,1127.9
2004-06-30,2004-07-27,1326.0,1273.0,1268.22
2004-07-31,2004-08-25,1134.0,1300.0,1296.3
2004-08-31,2004-09-27,1184.0,1155.0,1158.0
2004-09-30,2004-10-27,1206.0,1150.0,1146.31
2004-10-31,2004-11-24,1226.0,1200.0,1199.73
2004-11-30,2004-12-23,1125.0,1200.0,1204.22
2004-12-31,2005-01-31,1098.0,1200.0,1190.12
2005-01-31,2005-02-28,1106.0,1125.0,1128.1
2005-02-28,2005-03-24,1226.0,1150.0,1145.11
2005-03-31,2005-04-26,1431.0,1190.0,1187.05
2005-04-30,2005-05-25,1316.0,1327.5,1323.81
2005-05-31,2005-06-24,1298.0,1320.0,1315.88
2005-06-30,2005-07-27,1374.0,1300.0,1296.8
2005-07-31,2005-08-24,1410.0,1327.5,1330.71
2005-08-31,2005-09-27,1237.0,1350.0,1343.28
2005-09-30,2005-10-27,1222.0,1250.0,1253.88
2005-10-31,2005-11-29,1424.0,1200.0,1196.03
2005-11-30,2005-12-23,1245.0,1300.0,1304.55
2005-12-31,2006-01-27,1269.0,1225.0,1224.76
2006-01-31,2006-02-27,1233.0,1265.0,1271.41
2006-02-28,2006-03-24,1080.0,1200.0,1207.77
2006-03-31,2006-04-26,1213.0,1110.0,1109.23
2006-04-30,2006-05-24,1198.0,1135.0,1135.33
2006-05-31,2006-06-26,1234.0,1145.0,1139.22
2006-06-30,2006-07-27,1131.0,1150.0,1160.05
2006-07-31,2006-08-24,1072.0,1100.0,1096.57
2006-08-31,2006-09-27,1050.0,1040.0,1037.47
2006-09-30,2006-10-26,1075.0,1040.0,1040.46
2006-10-31,2006-11-29,1004.0,1050.0,1042.0
2006-11-30,2006-12-27,1047.0,1017.5,1016.9
2006-12-31,2007-01-26,1120.0,1052.0,1056.16
2007-01-31,2007-02-28,937.0,1080.0,1075.65
2007-02-28,2007-03-26,848.0,985.0,987.0
2007-03-31,2007-04-25,858.0,890.0,893.24
2007-04-30,2007-05-24,981.0,860.0,860.39
2007-05-31,2007-06-26,915.0,925.0,922.93
2007-06-30,2007-07-26,834.0,890.0,891.95
2007-07-31,2007-08-24,870.0,820.0,819.89
2007-08-31,2007-09-27,795.0,825.0,823.0
2007-09-30,2007-10-25,770.0,770.0,770.27
2007-10-31,2007-11-29,728.0,750.0,746.03
2007-11-30,2007-12-28,647.0,716.5,715.44
2007-12-31,2008-01-28,604.0,647.0,643.63
2008-01-31,2008-02-27,588.0,600.0,599.11
2008-02-29,2008-03-26,590.0,578.0,578.62
2008-03-31,2008-04-24,526.0,580.0,581.21
2008-04-30,2008-05-27,526.0,520.0,526.29
2008-05-31,2008-06-25,512.0,512.0,515.67
2008-06-30,2008-07-25,530.0,503.0,504.72
2008-07-31,2008-08-26,515.0,525.0,523.88
2008-08-31,2008-09-25,460.0,510.0,510.49
2008-09-30,2008-10-27,464.0,450.0,451.64
2008-10-31,2008-11-26,433.0,440.5,438.2
2008-11-30,2008-12-23,407.0,415.0,409.66
2008-12-31,2009-01-29,331.0,397.0,393.67
2009-01-31,2009-02-26,309.0,324.0,324.07
2009-02-28,2009-03-25,337.0,300.0,307.05
2009-03-31,2009-04-24,356.0,337.0,336.56
2009-04-30,2009-05-28,352.0,360.0,361.51
2009-05-31,2009-06-24,342.0,360.0,362.55
2009-06-30,2009-07-27,384.0,352.4,354.36
2009-07-31,2009-08-26,433.0,390.0,390.79
2009-08-31,2009-09-25,429.0,440.0,442.33
2009-09-30,2009-10-28,402.0,440.0,437.8
2009-10-31,2009-11-25,430.0,403.5,403.62
2009-11-30,2009-12-23,355.0,437.5,434.92
2009-12-31,2010-01-27,342.0,365.5,367.01
2010-01-31,2010-02-24,309.0,354.0,355.13
2010-02-28,2010-03-24,308.0,315.0,312.42
2010-03-31,2010-04-23,411.0,325.0,328.25
2010-04-30,2010-05-26,504.0,425.0,420.39
2010-05-31,2010-06-23,300.0,410.0,416.36
2010-06-30,2010-07-26,330.0,310.0,314.08
2010-07-31,2010-08-25,276.0,330.0,330.7
2010-08-31,2010-09-24,288.0,295.0,295.02
2010-09-30,2010-10-27,307.0,300.0,300.12
2010-10-31,2010-11-24,283.0,312.0,312.81
2010-11-30,2010-12-23,290.0,300.0,300.94
2010-12-31,2011-01-26,329.0,300.0,297.31
2011-01-31,2011-02-24,284.0,305.0,303.86
2011-02-28,2011-03-23,250.0,290.0,291.19
2011-03-31,2011-04-25,300.0,280.0,280.54
2011-04-30,2011-05-24,323.0,300.0,300.57
2011-05-31,2011-06-23,319.0,310.0,309.03
2011-06-30,2011-07-26,312.0,320.0,319.86
2011-07-31,2011-08-23,298.0,310.0,310.88
2011-08-31,2011-09-26,295.0,293.0,293.51
2011-09-30,2011-10-26,313.0,300.0,300.86
2011-10-31,2011-11-28,307.0,315.0,315.3
2011-11-30,2011-12-23,315.0,315.0,314.02
2011-12-31,2012-01-26,307.0,321.0,323.18
2012-01-31,2012-02-24,321.0,315.0,317.13
2012-02-29,2012-03-23,313.0,325.0,325.97
2012-03-31,2012-04-24,328.0,319.0,318.12
2012-04-30,2012-05-23,343.0,335.0,337.72
2012-05-31,2012-06-25,369.0,346.5,347.4
2012-06-30,2012-07-25,350.0,371.65,369.63
2012-07-31,2012-08-23,372.0,365.0,365.59
2012-08-31,2012-09-26,373.0,380.0,380.19
2012-09-30,2012-10-24,389.0,385.0,386.75
2012-10-31,2012-11-28,368.0,390.0,389.64
2012-11-30,2012-12-27,377.0,380.0,379.27
2012-12-31,2013-01-25,369.0,385.0,386.08
2013-01-31,2013-02-26,437.0,380.0,381.81
2013-02-28,2013-03-26,411.0,420.0,422.1
2013-03-31,2013-04-23,417.0,415.5,415.47
2013-04-30,2013-05-23,454.0,425.0,424.77
2013-05-31,2013-06-25,476.0,460.0,461.6
2013-06-30,2013-07-24,497.0,484.0,482.69
2013-07-31,2013-08-23,394.0,487.0,488.66
2013-08-31,2013-09-25,421.0,420.0,420.13
2013-09-30,2013-12-04,354.0,425.0,422.94
2013-10-31,2013-12-04,444.0,428.5,423.98
2013-11-30,2013-12-24,464.0,440.0,439.5
2013-12-31,2014-01-27,414.0,455.0,454.72
2014-01-31,2014-02-26,468.0,400.0,401.54
2014-02-28,2014-03-25,440.0,445.0,445.88
2014-03-31,2014-04-23,384.0,450.0,450.67
2014-04-30,2014-05-23,433.0,425.0,422.91
2014-05-31,2014-06-24,504.0,439.25,438.87
2014-06-30,2014-07-24,406.0,475.0,478.81
2014-07-31,2014-08-25,412.0,429.5,429.96
2014-08-31,2014-09-24,504.0,430.0,429.57
2014-09-30,2014-10-24,467.0,470.0,469.71
2014-10-31,2014-11-26,458.0,470.5,470.37
2014-11-30,2014-12-23,438.0,460.0,457.7
2014-12-31,2015-01-27,481.0,450.0,451.57
2015-01-31,2015-02-25,481.0,470.0,469.77
2015-02-28,2015-03-24,539.0,464.0,462.37
2015-03-31,2015-04-23,481.0,515.0,511.16
2015-04-30,2015-05-26,517.0,508.0,508.08
2015-05-31,2015-06-23,546.0,523.0,522.63
2015-06-30,2015-07-24,482.0,547.5,545.24
2015-07-31,2015-08-25,507.0,510.0,510.97
2015-08-31,2015-09-24,552.0,515.0,513.6
2015-09-30,2015-10-26,468.0,548.5,547.68
2015-10-31,2015-11-25,495.0,500.0,498.8
2015-11-30,2015-12-23,490.0,505.0,502.87
2015-12-31,2016-01-27,544.0,500.0,501.74
2016-01-31,2016-02-24,494.0,520.0,522.49
2016-02-29,2016-03-23,512.0,510.0,512.58
2016-03-31,2016-04-25,511.0,520.0,520.47
2016-04-30,2016-05-24,619.0,523.0,522.0
2016-05-31,2016-06-23,551.0,560.0,562.96
2016-06-30,2016-07-26,592.0,560.0,557.49
2016-07-31,2016-08-23,654.0,580.0,577.83
2016-08-31,2016-09-26,609.0,600.0,599.54
2016-09-30,2016-10-26,593.0,600.0,601.89
2016-10-31,2016-11-23,563.0,590.0,590.58
2016-11-30,2016-12-23,592.0,575.0,576.55
2016-12-31,2017-01-26,536.0,588.0,588.1
2017-01-31,2017-02-24,555.0,570.5,572.95
2017-02-28,2017-03-23,592.0,565.0,564.82
2017-03-31,2017-04-25,621.0,584.0,583.9
2017-04-30,2017-05-23,569.0,610.0,610.43
2017-05-31,2017-06-23,610.0,590.0,592.72
2017-06-30,2017-07-26,610.0,615.0,613.43
2017-07-31,2017-08-23,571.0,610.0,610.08
2017-08-31,2017-09-26,560.0,585.0,586.3
2017-09-30,2017-10-25,667.0,554.0,557.28
2017-10-31,2017-11-27,685.0,628.0,628.15
2017-11-30,2017-12-22,733.0,655.0,657.94
2017-12-31,2018-01-25,625.0,675.0,681.16
2018-01-31,2018-02-26,593.0,647.0,645.68
2018-02-28,2018-03-23,618.0,620.0,622.58
2018-03-31,2018-04-24,694.0,630.0,629.08
2018-04-30,2018-05-23,662.0,679.5,678.02
2018-05-31,2018-06-25,689.0,667.0,665.85
2018-06-30,2018-07-25,631.0,668.0,668.61
2018-07-31,2018-08-23,627.0,645.0,642.27
2018-08-31,2018-09-26,629.0,630.0,630.8
2018-09-30,2018-10-24,553.0,625.0,623.07
2018-10-31,2018-11-28,544.0,575.0,578.63
2018-11-30,2019-01-31,657.0,570.0,572.15
2018-12-31,2019-03-05,621.0,600.0,600.53
2019-01-31,2019-03-14,607.0,622.0,620.72
2019-02-28,2019-03-29,667.0,619.5,619.85
2019-03-31,2019-04-23,692.0,649.0,647.29
2019-04-30,2019-05-23,673.0,675.0,672.97
2019-05-31,2019-06-25,626.0,683.75,678.84
2019-06-30,2019-07-24,646.0,658.0,656.33
2019-07-31,2019-08-23,635.0,647.0,647.23
2019-08-31,2019-09-25,713.0,659.0,659.93
2019-09-30,2019-10-24,701.0,701.5,702.93
2019-10-31,2019-11-26,733.0,705.0,704.89
2019-11-30,2019-12-23,719.0,732.0,731.63
2019-12-31,2020-01-27,694.0,730.0,730.57
2020-01-31,2020-02-26,764.0,718.25,718.83
2020-02-29,2020-03-24,765.0,750.0,750.48
2020-03-31,2020-04-23,627.0,641.5,631.28
2020-04-30,2020-05-26,623.0,480.0,488.8
2020-05-31,2020-06-23,676.0,640.0,644.01
2020-06-30,2020-07-24,776.0,700.0,702.03
2020-07-31,2020-08-25,901.0,790.0,793.36
2020-08-31,2020-09-24,1011.0,890.0,888.64
2020-09-30,2020-10-26,959.0,1025.0,1021.83
2020-10-31,2020-11-25,999.0,975.0,970.88
2020-11-30,2020-12-23,841.0,994.5,996.61
2020-12-31,2021-01-28,842.0,870.0,878.65
2021-01-31,2021-02-24,923.0,856.0,857.33
2021-02-28,2021-03-23,775.0,870.0,863.1
2021-03-31,2021-04-23,1021.0,885.0,880.65
2021-04-30,2021-05-25,863.0,950.0,951.32
2021-05-31,2021-06-23,769.0,865.0,862.49
2021-06-30,2021-07-26,676.0,796.25,790.59
2021-07-31,2021-08-24,708.0,697.0,692.07
2021-08-31,2021-09-24,740.0,715.0,714.4
2021-09-30,2021-10-26,800.0,756.0,758.46
2021-10-31,2021-11-24,745.0,800.0,799.53
2021-11-30,2021-12-23,744.0,770.0,770.71
2021-12-31,2022-01-26,811.0,760.0,758.76
2022-01-31,2022-02-24,801.0,803.0,801.61
2022-02-28,2022-03-23,772.0,810.0,805.87
2022-03-31,2022-04-26,763.0,767.5,765.04
2022-04-30,2022-05-24,591.0,748.0,744.97
2022-05-31,2022-06-24,696.0,590.0,595.87
