Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2020-02-01,2020-02-01,100.0,,
2020-02-02,2020-02-02,100.35,,
2020-02-03,2020-02-03,100.71,,
2020-02-04,2020-02-04,100.54,,
2020-02-05,2020-02-05,100.61,,
2020-02-06,2020-02-06,100.72,,
2020-02-07,2020-02-07,101.19,,
2020-02-08,2020-02-08,101.43,,
2020-02-09,2020-02-09,101.81,,
2020-02-10,2020-02-10,102.35,,
2020-02-11,2020-02-11,103.07,,
2020-02-12,2020-02-12,103.9,,
2020-02-13,2020-02-13,104.59,,
2020-02-14,2020-02-14,104.73,,
2020-02-15,2020-02-15,104.53,,
2020-02-16,2020-02-16,104.46,,
2020-02-17,2020-02-17,104.57,,
2020-02-18,2020-02-18,104.06,,
2020-02-19,2020-02-19,103.2,,
2020-02-20,2020-02-20,102.63,,
2020-02-21,2020-02-21,102.64,,
2020-02-22,2020-02-22,102.68,,
2020-02-23,2020-02-23,102.48,,
2020-02-24,2020-02-24,101.91,,
2020-02-25,2020-02-25,102.37,,
2020-02-26,2020-02-26,102.92,,
2020-02-27,2020-02-27,103.23,,
2020-02-28,2020-02-28,102.99,,
2020-02-29,2020-02-29,103.55,,
2020-03-01,2020-03-01,104.18,,
2020-03-02,2020-03-02,104.58,,
2020-03-03,2020-03-03,104.13,,
2020-03-04,2020-03-04,103.64,,
2020-03-05,2020-03-05,103.04,,
2020-03-06,2020-03-06,102.56,,
2020-03-07,2020-03-07,101.61,,
2020-03-08,2020-03-08,100.25,,
2020-03-09,2020-03-09,99.33,,
2020-03-10,2020-03-10,98.87,,
2020-03-11,2020-03-11,98.53,,
2020-03-12,2020-03-12,98.35,,
2020-03-13,2020-03-13,97.68,,
2020-03-14,2020-03-14,96.82,,
2020-03-15,2020-03-15,95.61,,
2020-03-16,2020-03-16,94.57,,
2020-03-17,2020-03-17,91.68,,
2020-03-18,2020-03-18,87.72,,
2020-03-19,2020-03-19,83.07,,
2020-03-20,2020-03-20,78.15,,
2020-03-21,2020-03-21,73.4,,
2020-03-22,2020-03-22,69.46,,
2020-03-23,2020-03-23,64.86,,
2020-03-24,2020-03-24,62.38,,
2020-03-25,2020-03-25,60.56,,
2020-03-26,2020-03-26,59.24,,
2020-03-27,2020-03-27,57.73,,
2020-03-28,2020-03-28,55.94,,
2020-03-29,2020-03-29,54.04,,
2020-03-30,2020-03-30,52.64,,
2020-03-31,2020-03-31,50.64,,
2020-04-01,2020-04-01,48.49,,
2020-04-02,2020-04-02,46.22,,
2020-04-03,2020-04-03,44.87,,
2020-04-04,2020-04-04,43.34,,
2020-04-05,2020-04-05,41.3,,
2020-04-06,2020-04-06,39.09,,
2020-04-07,2020-04-07,37.53,,
2020-04-08,2020-04-08,36.88,,
2020-04-09,2020-04-09,37.27,,
2020-04-10,2020-04-10,37.85,,
2020-04-11,2020-04-11,39.41,,
2020-04-12,2020-04-12,41.48,,
2020-04-13,2020-04-13,43.69,,
2020-04-14,2020-04-14,45.35,,
2020-04-15,2020-04-15,46.25,,
2020-04-16,2020-04-16,46.31,,
2020-04-17,2020-04-17,45.97,,
2020-04-18,2020-04-18,45.52,,
2020-04-19,2020-04-19,45.08,,
2020-04-20,2020-04-20,44.52,,
2020-04-21,2020-04-21,44.21,,
2020-04-22,2020-04-22,44.49,,
2020-04-23,2020-04-23,45.07,,
2020-04-24,2020-04-24,45.93,,
2020-04-25,2020-04-25,46.56,,
2020-04-26,2020-04-26,47.05,,
2020-04-27,2020-04-27,47.76,,
2020-04-28,2020-04-28,48.17,,
2020-04-29,2020-04-29,48.93,,
2020-04-30,2020-04-30,49.66,,
2020-05-01,2020-05-01,50.63,,
2020-05-02,2020-05-02,51.32,,
2020-05-03,2020-05-03,52.02,,
2020-05-04,2020-05-04,52.47,,
2020-05-05,2020-05-05,53.15,,
2020-05-06,2020-05-06,53.77,,
2020-05-07,2020-05-07,54.24,,
2020-05-08,2020-05-08,54.52,,
2020-05-09,2020-05-09,55.2,,
2020-05-10,2020-05-10,56.02,,
2020-05-11,2020-05-11,56.78,,
2020-05-12,2020-05-12,57.61,,
2020-05-13,2020-05-13,58.21,,
2020-05-14,2020-05-14,60.01,,
2020-05-15,2020-05-15,61.5,,
2020-05-16,2020-05-16,62.73,,
2020-05-17,2020-05-17,63.68,,
2020-05-18,2020-05-18,64.83,,
2020-05-19,2020-05-19,65.6,,
2020-05-20,2020-05-20,65.7,,
2020-05-21,2020-05-21,64.67,,
2020-05-22,2020-05-22,63.91,,
2020-05-23,2020-05-23,63.69,,
2020-05-24,2020-05-24,63.52,,
2020-05-25,2020-05-25,63.17,,
2020-05-26,2020-05-26,61.97,,
2020-05-27,2020-05-27,61.63,,
2020-05-28,2020-05-28,61.47,,
2020-05-29,2020-05-29,62.44,,
2020-05-30,2020-05-30,62.63,,
2020-05-31,2020-05-31,64.87,,
2020-06-01,2020-06-01,66.59,,
2020-06-02,2020-06-02,70.67,,
2020-06-03,2020-06-03,74.6,,
2020-06-04,2020-06-04,77.98,,
2020-06-05,2020-06-05,79.64,,
2020-06-06,2020-06-06,81.12,,
2020-06-07,2020-06-07,79.55,,
2020-06-08,2020-06-08,79.74,,
2020-06-09,2020-06-09,78.69,,
2020-06-10,2020-06-10,77.61,,
2020-06-11,2020-06-11,76.87,,
2020-06-12,2020-06-12,76.86,,
2020-06-13,2020-06-13,77.54,,
2020-06-14,2020-06-14,79.61,,
2020-06-15,2020-06-15,80.3,,
2020-06-16,2020-06-16,81.28,,
2020-06-17,2020-06-17,82.15,,
2020-06-18,2020-06-18,83.28,,
2020-06-19,2020-06-19,83.56,,
2020-06-20,2020-06-20,83.94,,
2020-06-21,2020-06-21,84.21,,
2020-06-22,2020-06-22,84.71,,
2020-06-23,2020-06-23,84.65,,
2020-06-24,2020-06-24,85.04,,
2020-06-25,2020-06-25,85.19,,
2020-06-26,2020-06-26,85.8,,
2020-06-27,2020-06-27,86.2,,
2020-06-28,2020-06-28,86.47,,
2020-06-29,2020-06-29,86.89,,
2020-06-30,2020-06-30,87.58,,
2020-07-01,2020-07-01,87.81,,
2020-07-02,2020-07-02,88.0,,
2020-07-03,2020-07-03,88.44,,
2020-07-04,2020-07-04,87.09,,
2020-07-05,2020-07-05,88.61,,
2020-07-06,2020-07-06,90.14,,
2020-07-07,2020-07-07,91.6,,
2020-07-08,2020-07-08,92.71,,
2020-07-09,2020-07-09,94.15,,
2020-07-10,2020-07-10,95.62,,
2020-07-11,2020-07-11,99.6,,
2020-07-12,2020-07-12,99.7,,
2020-07-13,2020-07-13,98.9,,
2020-07-14,2020-07-14,98.27,,
2020-07-15,2020-07-15,97.81,,
2020-07-16,2020-07-16,96.96,,
2020-07-17,2020-07-17,95.73,,
2020-07-18,2020-07-18,93.53,,
2020-07-19,2020-07-19,92.32,,
2020-07-20,2020-07-20,91.86,,
2020-07-21,2020-07-21,91.33,,
2020-07-22,2020-07-22,91.22,,
2020-07-23,2020-07-23,91.19,,
2020-07-24,2020-07-24,92.05,,
2020-07-25,2020-07-25,93.05,,
2020-07-26,2020-07-26,94.26,,
2020-07-27,2020-07-27,95.52,,
2020-07-28,2020-07-28,96.38,,
2020-07-29,2020-07-29,96.74,,
2020-07-30,2020-07-30,96.79,,
2020-07-31,2020-07-31,96.28,,
2020-08-01,2020-08-01,95.69,,
2020-08-02,2020-08-02,94.26,,
2020-08-03,2020-08-03,92.7,,
2020-08-04,2020-08-04,91.34,,
2020-08-05,2020-08-05,90.12,,
2020-08-06,2020-08-06,89.19,,
2020-08-07,2020-08-07,88.61,,
2020-08-08,2020-08-08,88.09,,
2020-08-09,2020-08-09,88.35,,
2020-08-10,2020-08-10,88.75,,
2020-08-11,2020-08-11,89.23,,
