Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2023-01-31,2023-01-18,-21.4,,
2023-02-28,2023-02-16,-12.8,-17.0,-16.37
2023-03-31,2023-03-16,-10.1,,
2023-04-30,2023-04-18,-9.8,,
2023-05-31,2023-05-16,-16.8,,
2023-06-30,2023-06-16,-5.2,,
2023-07-31,2023-07-18,0.0,,
2023-08-31,2023-08-16,0.6,,
2023-09-30,2023-09-18,-3.0,,
2023-10-31,2023-10-17,-19.1,,
2023-11-30,2023-11-16,-11.9,,
2023-12-31,2023-12-18,-14.6,,
2024-01-31,2024-01-17,-9.7,,
2024-02-29,2024-02-16,-7.3,,
2024-03-31,2024-03-18,0.6,,
2024-04-30,2024-04-16,-0.6,,
2024-05-31,2024-05-16,3.0,,
2024-06-30,2024-06-18,-4.7,,
2024-07-31,2024-07-16,-4.5,,
2024-08-31,2024-08-16,1.8,,
2024-09-30,2024-09-17,0.5,,
2024-10-31,2024-10-16,-2.2,,
2024-11-30,2024-11-18,-0.5,,
2024-12-31,2024-12-17,-5.2,,
2025-01-31,2025-01-16,-5.6,,
2025-02-28,2025-02-19,-10.5,,
2025-03-31,2025-03-18,-19.3,,
2025-04-30,2025-04-16,-19.8,-12.1,-10.05
2025-05-31,2025-05-16,-16.2,,
