Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,11312.77,,
2003-09-30,2003-09-30,11566.67,,
2003-12-31,2003-12-31,11772.23,,
2004-03-31,2004-03-31,11923.45,,
2004-06-30,2004-06-30,12112.82,,
2004-09-30,2004-09-30,12305.31,,
2004-12-31,2004-12-31,12527.21,,
2005-03-31,2005-03-31,12767.29,,
2005-06-30,2005-06-30,12922.66,,
2005-09-30,2005-09-30,13142.64,,
2005-12-31,2005-12-31,13324.2,,
2006-03-31,2006-03-31,13599.16,,
2006-06-30,2006-06-30,13753.42,,
2006-09-30,2006-09-30,13870.19,,
2006-12-31,2006-12-31,14039.56,,
2007-03-31,2007-03-31,14215.65,,
2007-06-30,2007-06-30,14402.08,,
2007-09-30,2007-09-30,14564.12,,
2007-12-31,2007-12-31,14715.06,,
2008-03-31,2008-03-31,14706.54,,
2008-06-30,2008-06-30,14865.7,,
2008-09-30,2008-09-30,14899.0,,
2008-12-31,2008-12-31,14608.21,,
2009-03-31,2009-03-31,14430.9,,
2009-06-30,2009-06-30,14381.24,,
2009-09-30,2009-09-30,14448.88,,
2009-12-31,2009-12-31,14651.25,,
2010-03-31,2010-03-31,14764.61,,
2010-06-30,2010-06-30,14980.19,,
2010-09-30,2010-09-30,15141.61,,
2010-12-31,2010-12-31,15309.47,,
2011-03-31,2011-03-31,15351.45,,
2011-06-30,2011-06-30,15557.54,,
2011-09-30,2011-09-30,15647.68,,
2011-12-31,2011-12-31,15842.26,,
2012-03-31,2012-03-31,16068.81,,
2012-06-30,2012-06-30,16207.12,,
2012-09-30,2012-09-30,16319.54,,
2012-12-31,2012-12-31,16420.42,,
2013-03-31,2013-03-31,16648.19,,
2013-06-30,2013-06-30,16728.69,,
2013-09-30,2013-09-30,16953.84,,
2013-12-31,2013-12-31,17192.02,,
2014-03-31,2014-03-31,17197.74,,
2014-06-30,2014-06-30,17518.51,,
2014-09-30,2014-09-30,17804.23,,
2014-12-31,2014-12-31,17912.08,,
2015-03-31,2015-03-31,18063.53,,
2015-06-30,2015-06-30,18279.78,,
2015-09-30,2015-09-30,18401.63,,
2015-12-31,2015-12-31,18435.14,,
2016-03-31,2016-03-31,18525.93,,
2016-06-30,2016-06-30,18711.7,,
2016-09-30,2016-09-30,18892.64,,
2016-12-31,2016-12-31,19089.38,,
2017-03-31,2017-03-31,19280.08,,
2017-06-30,2017-06-30,19438.64,,
2017-09-30,2017-09-30,19692.6,,
2017-12-31,2017-12-31,20037.09,,
2018-03-31,2018-03-31,20328.55,,
2018-06-30,2018-06-30,20580.91,,
2018-09-30,2018-09-30,20798.73,,
2018-12-31,2018-12-31,20917.87,,
2019-03-31,2019-03-31,21111.6,,
2019-06-30,2019-06-30,21397.94,,
2019-09-30,2019-09-30,21717.17,,
2019-12-31,2019-12-31,21933.22,,
2020-03-31,2020-03-31,21727.66,,
2020-06-30,2020-06-30,19935.44,,
2020-09-30,2020-09-30,21684.55,,
2020-12-31,2020-12-31,22068.77,,
2021-03-31,2021-03-31,22656.79,,
2021-06-30,2021-06-30,23368.86,,
2021-09-30,2021-09-30,23921.99,,
2021-12-31,2021-12-31,24777.04,,
2022-03-31,2022-03-31,25215.49,,
2022-06-30,2022-06-30,25805.79,,
2022-09-30,2022-09-30,26272.01,,
2022-12-31,2022-12-31,26734.28,,
2023-03-31,2023-03-31,27164.36,,
2023-06-30,2023-06-30,27453.82,,
2023-09-30,2023-09-30,27967.7,,
2023-12-31,2023-12-31,28296.97,,
2024-03-31,2024-03-31,28624.07,,
2024-06-30,2024-06-30,29016.71,,
2024-09-30,2024-09-30,29374.91,,
2024-12-31,2024-12-31,29723.86,,
2025-03-31,2025-03-31,29976.64,,
