Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-09-04,6.8,4.1,4.1
2003-09-30,2003-12-03,9.4,8.5,8.7
2003-12-31,2004-03-04,2.6,2.5,2.7
2004-03-31,2004-06-03,3.8,3.5,3.5
2004-06-30,2004-09-02,2.5,2.0,2.1
2004-09-30,2004-12-07,1.8,1.5,1.4
2004-12-31,2005-03-03,2.1,1.5,1.5
2005-03-31,2005-06-02,2.9,1.8,1.9
2005-06-30,2005-09-07,1.8,2.0,2.0
2005-09-30,2005-12-06,4.7,2.6,2.7
2005-12-31,2006-03-07,-0.5,0.0,0.6
2006-03-31,2006-06-01,3.7,3.0,2.9
2006-06-30,2006-09-06,1.6,0.8,0.9
2006-09-30,2006-12-05,0.2,1.0,1.1
2006-12-31,2007-03-06,1.6,2.0,1.5
2007-03-31,2007-06-06,1.0,0.7,1.0
2007-06-30,2007-09-06,2.6,2.0,2.4
2007-09-30,2007-12-05,6.3,3.2,3.2
2007-12-31,2008-03-05,1.9,0.5,0.5
2008-03-31,2008-06-04,2.6,1.5,2.5
2008-06-30,2008-09-04,4.3,3.5,3.5
2008-09-30,2008-12-03,1.3,0.7,0.7
2008-12-31,2009-03-05,-0.4,1.6,1.6
2009-03-31,2009-06-04,1.6,1.2,1.2
2009-06-30,2009-09-02,6.6,5.5,6.4
2009-09-30,2009-12-03,8.1,6.5,8.5
2009-12-31,2010-03-04,6.9,6.5,6.4
2010-03-31,2010-06-03,2.8,3.4,3.4
2010-06-30,2010-09-02,-1.8,0.1,-1.8
2010-09-30,2010-12-01,2.3,2.3,2.4
2010-12-31,2011-03-03,2.6,2.3,2.0
2011-03-31,2011-06-02,1.8,1.7,1.2
2011-06-30,2011-09-01,-0.7,-0.5,-0.7
2011-09-30,2011-11-30,2.3,2.5,3.0
2011-12-31,2012-03-07,0.9,0.8,0.8
2012-03-31,2012-06-06,-0.9,-0.8,-0.6
2012-06-30,2012-09-05,2.2,1.8,1.4
2012-09-30,2012-12-05,2.9,2.8,1.7
2012-12-31,2013-03-07,-1.9,-1.6,-1.3
2013-03-31,2013-06-05,0.5,0.6,0.5
2013-06-30,2013-09-05,2.3,1.6,1.7
2013-09-30,2013-12-16,3.0,2.2,2.1
2013-12-31,2014-03-06,1.8,2.2,2.2
2014-03-31,2014-06-04,-3.2,-3.0,-2.8
2014-06-30,2014-09-04,2.3,2.4,2.4
2014-09-30,2014-12-03,2.3,2.4,2.3
2014-12-31,2015-03-05,-2.2,-2.3,-2.4
2015-03-31,2015-06-04,-3.1,-3.0,-3.0
2015-06-30,2015-09-02,3.3,2.8,2.8
2015-09-30,2015-12-02,2.2,2.2,2.2
2015-12-31,2016-03-03,-2.2,-2.9,-2.8
2016-03-31,2016-06-07,-0.6,-0.6,-0.6
2016-06-30,2016-09-01,-0.6,-0.6,-0.6
2016-09-30,2016-12-06,3.1,3.3,3.2
2016-12-31,2017-03-08,1.3,1.5,1.4
2017-03-31,2017-06-05,0.0,-0.1,-0.2
2017-06-30,2017-09-07,1.5,1.3,1.3
2017-09-30,2017-12-06,3.0,3.3,3.2
2017-12-31,2018-03-07,0.0,-0.1,-0.1
2018-03-31,2018-06-06,0.4,0.6,0.6
2018-06-30,2018-09-06,2.9,3.0,3.0
2018-09-30,2018-12-06,2.3,2.3,2.3
2018-12-31,2019-03-07,1.9,1.5,1.6
2019-03-31,2019-06-06,3.4,3.5,3.5
2019-06-30,2019-09-05,2.3,2.2,2.2
2019-09-30,2019-12-10,-0.2,-0.1,-0.1
2019-12-31,2020-03-05,1.2,1.3,1.3
2020-03-31,2020-06-04,-0.9,-2.7,-2.6
2020-06-30,2020-09-03,10.1,7.5,8.0
2020-09-30,2020-12-08,4.6,4.9,4.8
2020-12-31,2021-03-04,-4.2,-4.7,-4.7
2021-03-31,2021-06-03,5.4,5.5,5.6
2021-06-30,2021-09-02,2.1,2.5,2.5
2021-09-30,2021-12-07,-5.2,-4.9,-5.0
2021-12-31,2022-03-03,6.6,6.7,6.6
2022-03-31,2022-06-02,-7.3,-7.5,-7.5
2022-06-30,2022-09-01,-4.1,-4.3,-3.8
2022-09-30,2022-12-07,0.8,0.6,0.6
2022-12-31,2023-03-02,1.7,2.5,2.4
2023-03-31,2023-06-01,-2.1,-2.4,-2.4
2023-06-30,2023-09-07,3.5,3.4,3.4
2023-09-30,2023-12-06,5.2,4.9,4.9
2023-12-31,2024-03-07,3.2,3.1,3.0
2024-03-31,2024-06-06,0.2,0.0,0.1
2024-06-30,2024-09-05,2.5,2.5,2.4
2024-09-30,2024-12-10,2.2,2.2,2.3
2024-12-31,2025-03-06,1.5,1.2,1.2
2025-03-31,2025-06-05,-1.5,-0.8,-0.8
