Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,88.0,,
2003-07-31,2003-07-31,43.0,,
2003-08-31,2003-08-31,22.0,,
2003-09-30,2003-09-30,28.0,,
2003-10-31,2003-10-31,31.0,,
2003-11-30,2003-11-30,43.0,,
2003-12-31,2003-12-31,145.0,,
2004-01-31,2004-01-31,264.0,,
2004-02-29,2004-02-29,302.0,,
2004-03-31,2004-03-31,128.0,,
2004-04-30,2004-04-30,66.0,,
2004-05-31,2004-05-31,59.0,,
2004-06-30,2004-06-30,45.0,,
2004-07-31,2004-07-31,26.0,,
2004-08-31,2004-08-31,49.0,,
2004-09-30,2004-09-30,205.0,,
2004-10-31,2004-10-31,81.0,,
2004-11-30,2004-11-30,90.0,,
2004-12-31,2004-12-31,110.0,,
2005-01-31,2005-01-31,305.0,,
2005-02-28,2005-02-28,222.0,,
2005-03-31,2005-03-31,147.0,,
2005-04-30,2005-04-30,36.0,,
2005-05-31,2005-05-31,20.0,,
2005-06-30,2005-06-30,16.0,,
2005-07-31,2005-07-31,68.0,,
2005-08-31,2005-08-31,38.0,,
2005-09-30,2005-09-30,210.0,,
2005-10-31,2005-10-31,130.0,,
2005-11-30,2005-11-30,113.0,,
2005-12-31,2005-12-31,232.0,,
2006-01-31,2006-01-31,193.0,,
2006-02-28,2006-02-28,210.0,,
2006-03-31,2006-03-31,223.0,,
2006-04-30,2006-04-30,64.0,,
2006-05-31,2006-05-31,101.0,,
2006-06-30,2006-06-30,22.0,,
2006-07-31,2006-07-31,48.0,,
2006-08-31,2006-08-31,16.0,,
2006-09-30,2006-09-30,23.0,,
2006-10-31,2006-10-31,61.0,,
2006-11-30,2006-11-30,70.0,,
2006-12-31,2006-12-31,154.0,,
2007-01-31,2007-01-31,353.0,,
2007-02-28,2007-02-28,505.0,,
2007-03-31,2007-03-31,162.0,,
2007-04-30,2007-04-30,107.0,,
2007-05-31,2007-05-31,22.0,,
2007-06-30,2007-06-30,22.0,,
2007-07-31,2007-07-31,45.0,,
2007-08-31,2007-08-31,28.0,,
2007-09-30,2007-09-30,18.0,,
2007-10-31,2007-10-31,32.0,,
2007-11-30,2007-11-30,44.0,,
2007-12-31,2007-12-31,187.0,,
2008-01-31,2008-01-31,296.0,,
2008-02-29,2008-02-29,289.0,,
2008-03-31,2008-03-31,197.0,,
2008-04-30,2008-04-30,108.0,,
2008-05-31,2008-05-31,51.0,,
2008-06-30,2008-06-30,35.0,,
2008-07-31,2008-07-31,23.0,,
2008-08-31,2008-08-31,29.0,,
2008-09-30,2008-09-30,188.0,,
2008-10-31,2008-10-31,47.0,,
2008-11-30,2008-11-30,89.0,,
2008-12-31,2008-12-31,198.0,,
2009-01-31,2009-01-31,307.0,,
2009-02-28,2009-02-28,199.0,,
2009-03-31,2009-03-31,126.0,,
2009-04-30,2009-04-30,65.0,,
2009-05-31,2009-05-31,79.0,,
2009-06-30,2009-06-30,23.0,,
2009-07-31,2009-07-31,20.0,,
2009-08-31,2009-08-31,19.0,,
2009-09-30,2009-09-30,45.0,,
2009-10-31,2009-10-31,105.0,,
2009-11-30,2009-11-30,90.0,,
2009-12-31,2009-12-31,241.0,,
2010-01-31,2010-01-31,259.0,,
2010-02-28,2010-02-28,1031.0,,
2010-03-31,2010-03-31,135.0,,
2010-04-30,2010-04-30,28.0,,
2010-05-31,2010-05-31,39.0,,
2010-06-30,2010-06-30,26.0,,
2010-07-31,2010-07-31,25.0,,
2010-08-31,2010-08-31,31.0,,
2010-09-30,2010-09-30,17.0,,
2010-10-31,2010-10-31,37.0,,
2010-11-30,2010-11-30,40.0,,
2010-12-31,2010-12-31,179.0,,
2011-01-31,2011-01-31,886.0,,
2011-02-28,2011-02-28,395.0,,
2011-03-31,2011-03-31,151.0,,
2011-04-30,2011-04-30,62.0,,
2011-05-31,2011-05-31,55.0,,
2011-06-30,2011-06-30,18.0,,
2011-07-31,2011-07-31,20.0,,
2011-08-31,2011-08-31,13.0,,
2011-09-30,2011-09-30,50.0,,
2011-10-31,2011-10-31,41.0,,
2011-11-30,2011-11-30,60.0,,
2011-12-31,2011-12-31,127.0,,
2012-01-31,2012-01-31,206.0,,
2012-02-29,2012-02-29,178.0,,
2012-03-31,2012-03-31,96.0,,
2012-04-30,2012-04-30,51.0,,
2012-05-31,2012-05-31,19.0,,
2012-06-30,2012-06-30,26.0,,
2012-07-31,2012-07-31,68.0,,
2012-08-31,2012-08-31,30.0,,
2012-09-30,2012-09-30,17.0,,
2012-10-31,2012-10-31,22.0,,
2012-11-30,2012-11-30,369.0,,
2012-12-31,2012-12-31,84.0,,
2013-01-31,2013-01-31,232.0,,
2013-02-28,2013-02-28,237.0,,
2013-03-31,2013-03-31,117.0,,
2013-04-30,2013-04-30,96.0,,
2013-05-31,2013-05-31,25.0,,
2013-06-30,2013-06-30,26.0,,
2013-07-31,2013-07-31,43.0,,
2013-08-31,2013-08-31,34.0,,
2013-09-30,2013-09-30,37.0,,
2013-10-31,2013-10-31,30.0,,
2013-11-30,2013-11-30,37.0,,
2013-12-31,2013-12-31,273.0,,
2014-01-31,2014-01-31,262.0,,
2014-02-28,2014-02-28,601.0,,
2014-03-31,2014-03-31,148.0,,
2014-04-30,2014-04-30,63.0,,
2014-05-31,2014-05-31,47.0,,
2014-06-30,2014-06-30,31.0,,
2014-07-31,2014-07-31,10.0,,
2014-08-31,2014-08-31,11.0,,
2014-09-30,2014-09-30,12.0,,
2014-10-31,2014-10-31,32.0,,
2014-11-30,2014-11-30,153.0,,
2014-12-31,2014-12-31,148.0,,
