Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,0.786,,
2003-07-31,2003-07-31,0.763,,
2003-08-31,2003-08-31,0.755,,
2003-09-30,2003-09-30,0.783,,
2003-10-31,2003-10-31,0.75,,
2003-11-30,2003-11-30,0.727,,
2003-12-31,2003-12-31,0.714,,
2004-01-31,2004-01-31,0.703,,
2004-02-29,2004-02-29,0.716,,
2004-03-31,2004-03-31,0.695,,
2004-04-30,2004-04-30,0.678,,
2004-05-31,2004-05-31,0.65,,
2004-06-30,2004-06-30,0.673,,
2004-07-31,2004-07-31,0.708,,
2004-08-31,2004-08-31,0.678,,
2004-09-30,2004-09-30,0.638,,
2004-10-31,2004-10-31,0.635,,
2004-11-30,2004-11-30,0.643,,
2004-12-31,2004-12-31,0.647,,
2005-01-31,2005-01-31,0.653,,
2005-02-28,2005-02-28,0.648,,
2005-03-31,2005-03-31,0.636,,
2005-04-30,2005-04-30,0.555,,
2005-05-31,2005-05-31,0.592,,
2005-06-30,2005-06-30,0.651,,
2005-07-31,2005-07-31,0.628,,
2005-08-31,2005-08-31,0.602,,
2005-09-30,2005-09-30,0.688,,
2005-10-31,2005-10-31,0.617,,
2005-11-30,2005-11-30,0.599,,
2005-12-31,2005-12-31,0.622,,
2006-01-31,2006-01-31,0.575,,
2006-02-28,2006-02-28,0.591,,
2006-03-31,2006-03-31,0.605,,
2006-04-30,2006-04-30,0.587,,
2006-05-31,2006-05-31,0.616,,
2006-06-30,2006-06-30,0.667,,
2006-07-31,2006-07-31,0.621,,
2006-08-31,2006-08-31,0.589,,
2006-09-30,2006-09-30,0.58,,
2006-10-31,2006-10-31,0.625,,
2006-11-30,2006-11-30,0.646,,
2006-12-31,2006-12-31,0.634,,
2007-01-31,2007-01-31,0.667,,
2007-02-28,2007-02-28,0.679,,
2007-03-31,2007-03-31,0.559,,
2007-04-30,2007-04-30,0.656,,
2007-05-31,2007-05-31,0.631,,
2007-06-30,2007-06-30,0.578,,
2007-07-31,2007-07-31,0.666,,
2007-08-31,2007-08-31,0.633,,
2007-09-30,2007-09-30,0.6,,
2007-10-31,2007-10-31,0.684,,
2007-11-30,2007-11-30,0.645,,
2007-12-31,2007-12-31,0.627,,
2008-01-31,2008-01-31,0.692,,
2008-02-29,2008-02-29,0.646,,
2008-03-31,2008-03-31,0.698,,
2008-04-30,2008-04-30,0.721,,
2008-05-31,2008-05-31,0.694,,
2008-06-30,2008-06-30,0.708,,
2008-07-31,2008-07-31,0.695,,
2008-08-31,2008-08-31,0.806,,
2008-09-30,2008-09-30,0.87,,
2008-10-31,2008-10-31,0.856,,
2008-11-30,2008-11-30,0.919,,
2008-12-31,2008-12-31,0.973,,
2009-01-31,2009-01-31,0.971,,
2009-02-28,2009-02-28,0.983,,
2009-03-31,2009-03-31,1.047,,
2009-04-30,2009-04-30,1.09,,
2009-05-31,2009-05-31,1.162,,
2009-06-30,2009-06-30,1.107,,
2009-07-31,2009-07-31,1.109,,
2009-08-31,2009-08-31,1.072,,
2009-09-30,2009-09-30,1.231,,
2009-10-31,2009-10-31,1.087,,
2009-11-30,2009-11-30,0.989,,
2009-12-31,2009-12-31,0.977,,
2010-01-31,2010-01-31,0.953,,
2010-02-28,2010-02-28,1.025,,
2010-03-31,2010-03-31,1.083,,
2010-04-30,2010-04-30,0.9,,
2010-05-31,2010-05-31,0.953,,
2010-06-30,2010-06-30,0.881,,
2010-07-31,2010-07-31,0.777,,
2010-08-31,2010-08-31,0.937,,
2010-09-30,2010-09-30,0.869,,
2010-10-31,2010-10-31,0.828,,
2010-11-30,2010-11-30,0.936,,
2010-12-31,2010-12-31,0.894,,
2011-01-31,2011-01-31,0.799,,
2011-02-28,2011-02-28,0.85,,
2011-03-31,2011-03-31,0.815,,
2011-04-30,2011-04-30,0.84,,
2011-05-31,2011-05-31,0.812,,
2011-06-30,2011-06-30,0.771,,
2011-07-31,2011-07-31,0.769,,
2011-08-31,2011-08-31,0.768,,
2011-09-30,2011-09-30,0.781,,
2011-10-31,2011-10-31,0.81,,
2011-11-30,2011-11-30,0.766,,
2011-12-31,2011-12-31,0.804,,
2012-01-31,2012-01-31,0.827,,
2012-02-29,2012-02-29,0.752,,
2012-03-31,2012-03-31,0.743,,
2012-04-30,2012-04-30,0.716,,
2012-05-31,2012-05-31,0.742,,
2012-06-30,2012-06-30,0.799,,
2012-07-31,2012-07-31,0.873,,
2012-08-31,2012-08-31,0.755,,
2012-09-30,2012-09-30,0.764,,
2012-10-31,2012-10-31,0.7,,
2012-11-30,2012-11-30,0.698,,
2012-12-31,2012-12-31,0.724,,
2013-01-31,2013-01-31,0.772,,
2013-02-28,2013-02-28,0.697,,
2013-03-31,2013-03-31,0.718,,
2013-04-30,2013-04-30,0.774,,
2013-05-31,2013-05-31,0.642,,
2013-06-30,2013-06-30,0.74,,
2013-07-31,2013-07-31,0.749,,
2013-08-31,2013-08-31,0.654,,
2013-09-30,2013-09-30,0.716,,
2013-10-31,2013-10-31,1.021,,
2013-11-30,2013-11-30,0.705,,
2013-12-31,2013-12-31,0.65,,
2014-01-31,2014-01-31,0.655,,
2014-02-28,2014-02-28,0.653,,
2014-03-31,2014-03-31,0.67,,
2014-04-30,2014-04-30,0.676,,
2014-05-31,2014-05-31,0.678,,
2014-06-30,2014-06-30,0.634,,
2014-07-31,2014-07-31,0.62,,
2014-08-31,2014-08-31,0.696,,
2014-09-30,2014-09-30,0.605,,
2014-10-31,2014-10-31,0.57,,
2014-11-30,2014-11-30,0.658,,
2014-12-31,2014-12-31,0.606,,
2015-01-31,2015-01-31,0.58,,
2015-02-28,2015-02-28,0.648,,
2015-03-31,2015-03-31,0.648,,
2015-04-30,2015-04-30,0.641,,
2015-05-31,2015-05-31,0.716,,
2015-06-30,2015-06-30,0.649,,
2015-07-31,2015-07-31,0.607,,
2015-08-31,2015-08-31,0.601,,
2015-09-30,2015-09-30,0.585,,
2015-10-31,2015-10-31,0.634,,
2015-11-30,2015-11-30,0.57,,
2015-12-31,2015-12-31,0.583,,
2016-01-31,2016-01-31,0.529,,
2016-02-29,2016-02-29,0.601,,
2016-03-31,2016-03-31,0.579,,
2016-04-30,2016-04-30,0.557,,
2016-05-31,2016-05-31,0.577,,
2016-06-30,2016-06-30,0.708,,
2016-07-31,2016-07-31,0.612,,
2016-08-31,2016-08-31,0.617,,
2016-09-30,2016-09-30,0.662,,
2016-10-31,2016-10-31,0.644,,
2016-11-30,2016-11-30,0.545,,
2016-12-31,2016-12-31,0.643,,
2017-01-31,2017-01-31,0.65,,
2017-02-28,2017-02-28,0.622,,
2017-03-31,2017-03-31,0.599,,
2017-04-30,2017-04-30,0.586,,
2017-05-31,2017-05-31,0.533,,
2017-06-30,2017-06-30,0.571,,
2017-07-31,2017-07-31,0.629,,
2017-08-31,2017-08-31,0.63,,
2017-09-30,2017-09-30,0.56,,
2017-10-31,2017-10-31,0.567,,
2017-11-30,2017-11-30,0.615,,
2017-12-31,2017-12-31,0.589,,
2018-01-31,2018-01-31,0.522,,
2018-02-28,2018-02-28,0.536,,
2018-03-31,2018-03-31,0.53,,
2018-04-30,2018-04-30,0.532,,
2018-05-31,2018-05-31,0.5,,
2018-06-30,2018-06-30,0.585,,
2018-07-31,2018-07-31,0.53,,
2018-08-31,2018-08-31,0.523,,
2018-09-30,2018-09-30,0.516,,
2018-10-31,2018-10-31,0.522,,
2018-11-30,2018-11-30,0.539,,
2018-12-31,2018-12-31,0.475,,
2019-01-31,2019-01-31,0.59,,
2019-02-28,2019-02-28,0.48,,
2019-03-31,2019-03-31,0.517,,
2019-04-30,2019-04-30,0.468,,
2019-05-31,2019-05-31,0.536,,
2019-06-30,2019-06-30,0.477,,
2019-07-31,2019-07-31,0.532,,
2019-08-31,2019-08-31,0.495,,
2019-09-30,2019-09-30,0.466,,
2019-10-31,2019-10-31,0.502,,
2019-11-30,2019-11-30,0.486,,
2019-12-31,2019-12-31,0.489,,
2020-01-31,2020-01-31,0.393,,
2020-02-29,2020-02-29,0.465,,
2020-03-31,2020-03-31,1.25,,
2020-04-30,2020-04-30,11.565,,
2020-05-31,2020-05-31,9.685,,
2020-06-30,2020-06-30,6.577,,
2020-07-31,2020-07-31,5.792,,
2020-08-31,2020-08-31,3.824,,
2020-09-30,2020-09-30,2.877,,
2020-10-31,2020-10-31,2.007,,
2020-11-30,2020-11-30,1.729,,
2020-12-31,2020-12-31,1.902,,
2021-01-31,2021-01-31,1.719,,
2021-02-28,2021-02-28,1.399,,
2021-03-31,2021-03-31,1.253,,
2021-04-30,2021-04-30,1.33,,
2021-05-31,2021-05-31,1.143,,
2021-06-30,2021-06-30,1.065,,
2021-07-31,2021-07-31,0.801,,
2021-08-31,2021-08-31,0.758,,
2021-09-30,2021-09-30,0.691,,
2021-10-31,2021-10-31,0.644,,
2021-11-30,2021-11-30,0.52,,
2021-12-31,2021-12-31,0.478,,
2022-01-31,2022-01-31,0.607,,
2022-02-28,2022-02-28,0.523,,
