Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2020-02-01,2020-02-01,100.0,,
2020-02-02,2020-02-02,100.02,,
2020-02-03,2020-02-03,100.03,,
2020-02-04,2020-02-04,100.06,,
2020-02-05,2020-02-05,100.12,,
2020-02-06,2020-02-06,100.26,,
2020-02-07,2020-02-07,100.27,,
2020-02-08,2020-02-08,100.3,,
2020-02-09,2020-02-09,100.28,,
2020-02-10,2020-02-10,100.36,,
2020-02-11,2020-02-11,100.42,,
2020-02-12,2020-02-12,100.48,,
2020-02-13,2020-02-13,100.5,,
2020-02-14,2020-02-14,100.52,,
2020-02-15,2020-02-15,100.33,,
2020-02-16,2020-02-16,100.28,,
2020-02-17,2020-02-17,100.18,,
2020-02-18,2020-02-18,100.04,,
2020-02-19,2020-02-19,99.88,,
2020-02-20,2020-02-20,99.74,,
2020-02-21,2020-02-21,99.63,,
2020-02-22,2020-02-22,99.61,,
2020-02-23,2020-02-23,99.59,,
2020-02-24,2020-02-24,99.56,,
2020-02-25,2020-02-25,99.63,,
2020-02-26,2020-02-26,99.68,,
2020-02-27,2020-02-27,99.73,,
2020-02-28,2020-02-28,99.78,,
2020-02-29,2020-02-29,99.9,,
2020-03-01,2020-03-01,99.94,,
2020-03-02,2020-03-02,100.0,,
2020-03-03,2020-03-03,99.99,,
2020-03-04,2020-03-04,99.93,,
2020-03-05,2020-03-05,99.87,,
2020-03-06,2020-03-06,99.83,,
2020-03-07,2020-03-07,99.75,,
2020-03-08,2020-03-08,99.65,,
2020-03-09,2020-03-09,99.43,,
2020-03-10,2020-03-10,99.34,,
2020-03-11,2020-03-11,99.24,,
2020-03-12,2020-03-12,99.12,,
2020-03-13,2020-03-13,98.9,,
2020-03-14,2020-03-14,98.66,,
2020-03-15,2020-03-15,98.38,,
2020-03-16,2020-03-16,98.25,,
2020-03-17,2020-03-17,97.75,,
2020-03-18,2020-03-18,97.04,,
2020-03-19,2020-03-19,96.17,,
2020-03-20,2020-03-20,95.11,,
2020-03-21,2020-03-21,93.66,,
2020-03-22,2020-03-22,92.37,,
2020-03-23,2020-03-23,90.84,,
2020-03-24,2020-03-24,89.5,,
2020-03-25,2020-03-25,88.1,,
2020-03-26,2020-03-26,86.68,,
2020-03-27,2020-03-27,85.15,,
2020-03-28,2020-03-28,83.93,,
2020-03-29,2020-03-29,82.53,,
2020-03-30,2020-03-30,81.37,,
2020-03-31,2020-03-31,80.16,,
2020-04-01,2020-04-01,79.02,,
2020-04-02,2020-04-02,77.88,,
2020-04-03,2020-04-03,77.0,,
2020-04-04,2020-04-04,75.88,,
2020-04-05,2020-04-05,74.77,,
2020-04-06,2020-04-06,73.68,,
2020-04-07,2020-04-07,72.57,,
2020-04-08,2020-04-08,71.69,,
2020-04-09,2020-04-09,70.84,,
2020-04-10,2020-04-10,69.95,,
2020-04-11,2020-04-11,69.38,,
2020-04-12,2020-04-12,68.86,,
2020-04-13,2020-04-13,68.3,,
2020-04-14,2020-04-14,67.81,,
2020-04-15,2020-04-15,67.25,,
2020-04-16,2020-04-16,66.78,,
2020-04-17,2020-04-17,66.31,,
2020-04-18,2020-04-18,65.89,,
2020-04-19,2020-04-19,65.45,,
2020-04-20,2020-04-20,65.08,,
2020-04-21,2020-04-21,64.72,,
2020-04-22,2020-04-22,64.34,,
2020-04-23,2020-04-23,63.97,,
2020-04-24,2020-04-24,63.66,,
