Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2005-03-31,2005-05-02,-0.3,,
2005-04-30,2005-06-01,3.6,1.0,0.87
2005-05-31,2005-07-06,-2.0,0.5,0.58
2005-06-30,2005-08-01,0.6,0.8,0.82
2005-07-31,2005-09-01,-1.0,0.0,-0.22
2005-08-31,2005-10-05,3.2,-0.5,-0.6
2005-09-30,2005-11-03,-0.3,-1.8,-1.16
2005-10-31,2005-12-06,-3.2,-1.2,-1.1
2005-11-30,2006-01-05,-2.5,-1.0,-1.0
2005-12-31,2006-02-01,-3.0,-0.5,-0.86
2006-01-31,2006-03-06,-1.1,0.25,0.14
2006-02-28,2006-04-03,-0.8,-0.5,-0.7
2006-03-31,2006-05-02,-1.2,-0.5,-0.48
2006-04-30,2006-06-01,-3.7,-1.0,-1.02
2006-05-31,2006-07-06,1.3,0.0,-0.51
2006-06-30,2006-08-01,0.4,-0.5,-0.46
2006-07-31,2006-09-01,-7.0,-1.5,-1.58
2006-08-31,2006-10-02,4.3,0.0,-0.36
2006-09-30,2006-11-01,-1.1,-0.85,-0.74
2006-10-31,2006-12-04,-1.7,-0.5,-0.26
2006-11-30,2007-01-04,-0.5,0.7,0.77
2006-12-31,2007-02-01,4.9,0.85,0.76
2007-01-31,2007-03-06,-4.1,-1.2,-0.98
2007-02-28,2007-04-03,0.7,-0.5,-0.24
2007-03-31,2007-05-01,-4.9,0.1,-0.17
2007-04-30,2007-06-01,-3.2,0.3,0.42
2007-05-31,2007-07-03,-3.5,0.5,0.16
2007-06-30,2007-08-01,5.0,-0.5,-0.93
2007-07-31,2007-09-05,-12.2,-2.15,-2.12
2007-08-31,2007-10-02,-6.5,-2.05,-1.85
2007-09-30,2007-11-13,0.2,-2.0,-1.75
2007-10-31,2007-12-10,0.6,-1.0,-1.16
2007-11-30,2008-01-08,-2.6,-0.7,-0.96
2007-12-31,2008-02-07,-1.5,-1.0,-1.08
2008-01-31,2008-03-06,0.0,-1.0,-0.91
2008-02-29,2008-04-08,-1.9,-1.0,-0.67
2008-03-31,2008-05-07,-1.0,-1.0,-1.1
2008-04-30,2008-06-09,6.3,-0.4,-0.34
2008-05-31,2008-07-08,-4.7,-2.95,-2.84
2008-06-30,2008-08-07,5.3,-1.0,-0.83
2008-07-31,2008-09-09,-3.2,-1.5,-1.62
2008-08-31,2008-10-08,7.4,-1.25,-1.12
2008-09-30,2008-11-07,-4.6,-3.35,-3.52
2008-10-31,2008-12-09,-0.7,-3.0,-3.19
2008-11-30,2009-01-06,-4.0,-1.0,-1.72
2008-12-31,2009-02-03,6.3,0.0,-0.24
2009-01-31,2009-03-03,-7.7,-3.5,-3.29
2009-02-28,2009-04-01,2.1,0.0,0.52
2009-03-31,2009-05-04,3.2,0.0,0.16
2009-04-30,2009-06-02,6.7,0.5,0.53
2009-05-31,2009-07-01,0.1,0.0,0.27
2009-06-30,2009-08-04,3.6,0.7,0.94
2009-07-31,2009-09-01,3.2,1.5,1.54
2009-08-31,2009-10-01,6.4,1.0,0.97
2009-09-30,2009-11-02,6.1,0.0,0.11
2009-10-31,2009-12-01,3.7,-1.0,-0.71
2009-11-30,2010-01-05,-16.0,-2.0,-2.9
2009-12-31,2010-02-02,1.0,1.0,0.94
2010-01-31,2010-03-04,-7.6,1.0,0.49
2010-02-28,2010-04-05,8.2,0.0,-0.15
2010-03-31,2010-05-04,5.3,5.0,4.21
2010-04-30,2010-06-02,6.0,5.0,4.82
2010-05-31,2010-07-01,-30.0,-14.3,-14.25
2010-06-30,2010-08-03,-2.6,4.0,2.3
2010-07-31,2010-09-02,5.2,-1.0,-0.45
2010-08-31,2010-10-04,4.3,2.5,2.44
2010-09-30,2010-11-05,-1.8,3.0,2.79
2010-10-31,2010-12-02,10.4,-1.0,-0.73
2010-11-30,2010-12-30,3.5,0.75,0.7
2010-12-31,2011-01-27,2.0,1.0,0.87
2011-01-31,2011-02-28,-2.8,-2.3,-2.6
2011-02-28,2011-03-28,2.1,0.0,-0.05
2011-03-31,2011-04-28,5.1,1.5,1.56
2011-04-30,2011-05-27,-11.6,-1.0,-0.94
2011-05-31,2011-06-29,8.2,3.0,4.76
2011-06-30,2011-07-28,2.4,-2.0,-0.89
2011-07-31,2011-08-29,-1.3,-1.0,-1.14
2011-08-31,2011-09-29,-1.2,-2.0,-1.55
2011-09-30,2011-10-27,-4.6,0.35,0.42
2011-10-31,2011-11-30,10.4,2.0,1.87
2011-11-30,2011-12-29,7.3,1.5,1.76
2011-12-31,2012-01-25,-3.5,-1.0,-0.78
2012-01-31,2012-02-27,2.0,1.0,1.17
2012-02-29,2012-03-26,-0.5,1.0,1.28
2012-03-31,2012-04-26,4.1,1.0,0.75
2012-04-30,2012-05-30,-5.5,0.0,-0.12
2012-05-31,2012-06-27,5.9,1.5,1.75
2012-06-30,2012-07-26,-1.4,0.3,-0.06
2012-07-31,2012-08-29,2.4,1.0,1.39
2012-08-31,2012-09-27,-2.6,0.25,0.29
2012-09-30,2012-10-25,0.3,2.5,2.38
2012-10-31,2012-11-29,5.2,1.0,0.91
2012-11-30,2012-12-28,1.7,1.0,1.0
2012-12-31,2013-01-28,-4.3,0.0,0.04
2013-01-31,2013-02-27,4.5,1.85,2.05
2013-02-28,2013-03-27,-0.4,-0.3,-0.01
2013-03-31,2013-04-29,1.5,1.0,0.81
