Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,110.8,,
2003-07-31,2003-07-31,113.6,,
2003-08-31,2003-08-31,107.5,,
2003-09-30,2003-09-30,107.8,,
2003-10-31,2003-10-31,110.1,,
2003-11-30,2003-11-30,110.1,,
2003-12-31,2003-12-31,108.9,,
2004-01-31,2004-01-31,111.1,,
2004-02-29,2004-02-29,114.1,,
2004-03-31,2004-03-31,120.7,,
2004-04-30,2004-04-30,117.5,,
2004-05-31,2004-05-31,121.7,,
2004-06-30,2004-06-30,119.5,,
2004-07-31,2004-07-31,120.9,,
2004-08-31,2004-08-31,121.8,,
2004-09-30,2004-09-30,124.0,,
2004-10-31,2004-10-31,125.5,,
2004-11-30,2004-11-30,123.6,,
2004-12-31,2004-12-31,124.0,,
2005-01-31,2005-01-31,122.1,,
2005-02-28,2005-02-28,124.2,,
2005-03-31,2005-03-31,123.7,,
2005-04-30,2005-04-30,126.9,,
2005-05-31,2005-05-31,125.4,,
2005-06-30,2005-06-30,125.8,,
2005-07-31,2005-07-31,127.0,,
2005-08-31,2005-08-31,126.2,,
2005-09-30,2005-09-30,125.4,,
2005-10-31,2005-10-31,122.9,,
2005-11-30,2005-11-30,120.5,,
2005-12-31,2005-12-31,118.1,,
2006-01-31,2006-01-31,118.2,,
2006-02-28,2006-02-28,117.4,,
2006-03-31,2006-03-31,115.4,,
2006-04-30,2006-04-30,113.7,,
2006-05-31,2006-05-31,112.5,,
2006-06-30,2006-06-30,111.1,,
2006-07-31,2006-07-31,109.0,,
2006-08-31,2006-08-31,108.8,,
2006-09-30,2006-09-30,107.6,,
2006-10-31,2006-10-31,106.7,,
2006-11-30,2006-11-30,109.1,,
2006-12-31,2006-12-31,112.2,,
2007-01-31,2007-01-31,107.1,,
2007-02-28,2007-02-28,107.9,,
2007-03-31,2007-03-31,104.6,,
2007-04-30,2007-04-30,100.9,,
2007-05-31,2007-05-31,98.8,,
2007-06-30,2007-06-30,100.1,,
2007-07-31,2007-07-31,92.8,,
2007-08-31,2007-08-31,85.1,,
2007-09-30,2007-09-30,86.8,,
2007-10-31,2007-10-31,88.9,,
2007-11-30,2007-11-30,88.2,,
2007-12-31,2007-12-31,86.1,,
2008-01-31,2008-01-31,86.1,,
2008-02-29,2008-02-29,87.8,,
2008-03-31,2008-03-31,82.8,,
2008-04-30,2008-04-30,88.4,,
2008-05-31,2008-05-31,85.1,,
2008-06-30,2008-06-30,88.6,,
2008-07-31,2008-07-31,87.4,,
2008-08-31,2008-08-31,88.7,,
2008-09-30,2008-09-30,90.7,,
2008-10-31,2008-10-31,83.8,,
2008-11-30,2008-11-30,80.2,,
2008-12-31,2008-12-31,88.2,,
2009-01-31,2009-01-31,83.2,,
2009-02-28,2009-02-28,82.9,,
2009-03-31,2009-03-31,83.2,,
2009-04-30,2009-04-30,90.5,,
2009-05-31,2009-05-31,92.6,,
