Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,1.949,,
2003-07-31,2003-07-31,2.031,,
2003-08-31,2003-08-31,2.109,,
2003-09-30,2003-09-30,2.063,,
2003-10-31,2003-10-31,1.952,,
2003-11-30,2003-11-30,1.854,,
2003-12-31,2003-12-31,1.805,,
2004-01-31,2004-01-31,1.759,,
2004-02-29,2004-02-29,1.73,,
2004-03-31,2004-03-31,1.852,,
2004-04-30,2004-04-30,1.721,,
2004-05-31,2004-05-31,1.642,,
2004-06-30,2004-06-30,1.628,,
2004-07-31,2004-07-31,1.574,,
2004-08-31,2004-08-31,1.428,,
2004-09-30,2004-09-30,1.503,,
2004-10-31,2004-10-31,1.529,,
2004-11-30,2004-11-30,1.529,,
2004-12-31,2004-12-31,1.507,,
2005-01-31,2005-01-31,1.513,,
2005-02-28,2005-02-28,1.432,,
2005-03-31,2005-03-31,1.389,,
2005-04-30,2005-04-30,1.342,,
2005-05-31,2005-05-31,1.281,,
2005-06-30,2005-06-30,1.281,,
2005-07-31,2005-07-31,1.283,,
2005-08-31,2005-08-31,1.19,,
2005-09-30,2005-09-30,1.26,,
2005-10-31,2005-10-31,1.256,,
2005-11-30,2005-11-30,1.267,,
2005-12-31,2005-12-31,1.214,,
2006-01-31,2006-01-31,1.18,,
2006-02-28,2006-02-28,1.169,,
2006-03-31,2006-03-31,1.188,,
2006-04-30,2006-04-30,1.21,,
2006-05-31,2006-05-31,1.208,,
2006-06-30,2006-06-30,1.068,,
2006-07-31,2006-07-31,1.085,,
2006-08-31,2006-08-31,1.125,,
2006-09-30,2006-09-30,1.075,,
2006-10-31,2006-10-31,0.982,,
2006-11-30,2006-11-30,1.034,,
2006-12-31,2006-12-31,1.052,,
2007-01-31,2007-01-31,1.054,,
2007-02-28,2007-02-28,1.074,,
2007-03-31,2007-03-31,1.05,,
2007-04-30,2007-04-30,1.073,,
2007-05-31,2007-05-31,1.111,,
2007-06-30,2007-06-30,1.149,,
2007-07-31,2007-07-31,1.223,,
2007-08-31,2007-08-31,1.238,,
2007-09-30,2007-09-30,1.244,,
2007-10-31,2007-10-31,1.231,,
2007-11-30,2007-11-30,1.239,,
2007-12-31,2007-12-31,1.31,,
2008-01-31,2008-01-31,1.303,,
