Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,113056.0,,
2003-07-31,2003-07-31,113313.0,,
2003-08-31,2003-08-31,113082.0,,
2003-09-30,2003-09-30,113208.0,,
2003-10-31,2003-10-31,113583.0,,
2003-11-30,2003-11-30,113892.0,,
2003-12-31,2003-12-31,114366.0,,
2004-01-31,2004-01-31,113905.0,,
2004-02-29,2004-02-29,114193.0,,
2004-03-31,2004-03-31,114015.0,,
2004-04-30,2004-04-30,114087.0,,
2004-05-31,2004-05-31,114016.0,,
2004-06-30,2004-06-30,114312.0,,
2004-07-31,2004-07-31,114338.0,,
2004-08-31,2004-08-31,114716.0,,
2004-09-30,2004-09-30,114854.0,,
2004-10-31,2004-10-31,114828.0,,
2004-11-30,2004-11-30,115284.0,,
2004-12-31,2004-12-31,115501.0,,
2005-01-31,2005-01-31,116007.0,,
2005-02-28,2005-02-28,115649.0,,
2005-03-31,2005-03-31,115765.0,,
2005-04-30,2005-04-30,116639.0,,
2005-05-31,2005-05-31,116960.0,,
2005-06-30,2005-06-30,117305.0,,
2005-07-31,2005-07-31,117278.0,,
2005-08-31,2005-08-31,117604.0,,
2005-09-30,2005-09-30,117355.0,,
2005-10-31,2005-10-31,117552.0,,
2005-11-30,2005-11-30,117580.0,,
2005-12-31,2005-12-31,118129.0,,
2006-01-31,2006-01-31,118337.0,,
2006-02-28,2006-02-28,118667.0,,
2006-03-31,2006-03-31,119175.0,,
2006-04-30,2006-04-30,119336.0,,
2006-05-31,2006-05-31,119033.0,,
2006-06-30,2006-06-30,119615.0,,
2006-07-31,2006-07-31,119680.0,,
2006-08-31,2006-08-31,119948.0,,
2006-09-30,2006-09-30,120308.0,,
2006-10-31,2006-10-31,120609.0,,
2006-11-30,2006-11-30,120573.0,,
2006-12-31,2006-12-31,120793.0,,
2007-01-31,2007-01-31,121159.0,,
2007-02-28,2007-02-28,121020.0,,
2007-03-31,2007-03-31,121168.0,,
2007-04-30,2007-04-30,120325.0,,
2007-05-31,2007-05-31,120902.0,,
2007-06-30,2007-06-30,120689.0,,
2007-07-31,2007-07-31,120960.0,,
2007-08-31,2007-08-31,120824.0,,
2007-09-30,2007-09-30,121232.0,,
2007-10-31,2007-10-31,121378.0,,
2007-11-30,2007-11-30,121875.0,,
2007-12-31,2007-12-31,121609.0,,
2008-01-31,2008-01-31,121435.0,,
2008-02-29,2008-02-29,121474.0,,
2008-03-31,2008-03-31,121426.0,,
2008-04-30,2008-04-30,120708.0,,
2008-05-31,2008-05-31,120766.0,,
2008-06-30,2008-06-30,120388.0,,
2008-07-31,2008-07-31,120206.0,,
2008-08-31,2008-08-31,119534.0,,
2008-09-30,2008-09-30,119724.0,,
2008-10-31,2008-10-31,119349.0,,
2008-11-30,2008-11-30,118397.0,,
2008-12-31,2008-12-31,117096.0,,
2009-01-31,2009-01-31,115818.0,,
2009-02-28,2009-02-28,114783.0,,
2009-03-31,2009-03-31,113607.0,,
2009-04-30,2009-04-30,113298.0,,
2009-05-31,2009-05-31,112929.0,,
2009-06-30,2009-06-30,112745.0,,
2009-07-31,2009-07-31,112406.0,,
2009-08-31,2009-08-31,112106.0,,
2009-09-30,2009-09-30,111513.0,,
2009-10-31,2009-10-31,110949.0,,
2009-11-30,2009-11-30,111211.0,,
2009-12-31,2009-12-31,110559.0,,
2010-01-31,2010-01-31,110613.0,,
2010-02-28,2010-02-28,110778.0,,
2010-03-31,2010-03-31,111162.0,,
2010-04-30,2010-04-30,111854.0,,
2010-05-31,2010-05-31,112539.0,,
2010-06-30,2010-06-30,112608.0,,
2010-07-31,2010-07-31,112248.0,,
2010-08-31,2010-08-31,111847.0,,
2010-09-30,2010-09-30,111926.0,,
2010-10-31,2010-10-31,111723.0,,
2010-11-30,2010-11-30,111343.0,,
2010-12-31,2010-12-31,111900.0,,
2011-01-31,2011-01-31,112248.0,,
2011-02-28,2011-02-28,112352.0,,
2011-03-31,2011-03-31,112350.0,,
2011-04-30,2011-04-30,112222.0,,
2011-05-31,2011-05-31,112263.0,,
2011-06-30,2011-06-30,112001.0,,
2011-07-31,2011-07-31,112193.0,,
2011-08-31,2011-08-31,112723.0,,
2011-09-30,2011-09-30,112544.0,,
2011-10-31,2011-10-31,112923.0,,
2011-11-30,2011-11-30,113213.0,,
2011-12-31,2011-12-31,113774.0,,
2012-01-31,2012-01-31,113755.0,,
2012-02-29,2012-02-29,114141.0,,
2012-03-31,2012-03-31,115024.0,,
2012-04-30,2012-04-30,114371.0,,
2012-05-31,2012-05-31,114233.0,,
2012-06-30,2012-06-30,114749.0,,
2012-07-31,2012-07-31,114575.0,,
2012-08-31,2012-08-31,114736.0,,
2012-09-30,2012-09-30,115252.0,,
2012-10-31,2012-10-31,115570.0,,
2012-11-30,2012-11-30,115655.0,,
2012-12-31,2012-12-31,115791.0,,
2013-01-31,2013-01-31,115653.0,,
2013-02-28,2013-02-28,115695.0,,
2013-03-31,2013-03-31,115808.0,,
2013-04-30,2013-04-30,116014.0,,
