Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-19,4.0,5.0,5.71
2003-07-31,2003-07-17,8.3,7.0,6.9
2003-08-31,2003-08-21,22.1,10.0,10.23
2003-09-30,2003-09-18,14.6,17.0,17.29
2003-10-31,2003-10-16,28.0,16.0,16.4
2003-11-30,2003-11-20,25.9,25.0,26.93
2003-12-31,2003-12-18,32.1,25.0,25.4
2004-01-31,2004-01-15,38.8,30.0,30.0
2004-02-29,2004-02-19,31.4,35.0,35.08
2004-03-31,2004-03-18,24.2,29.0,28.76
2004-04-30,2004-04-15,32.5,26.1,25.74
2004-05-31,2004-05-20,23.8,30.5,30.63
2004-06-30,2004-06-17,28.9,25.25,25.72
2004-07-31,2004-07-15,36.1,25.0,25.37
2004-08-31,2004-08-19,28.5,30.0,27.98
2004-09-30,2004-09-16,13.4,25.0,24.86
2004-10-31,2004-10-21,28.5,18.0,17.59
2004-11-30,2004-11-18,20.7,23.1,23.28
2004-12-31,2004-12-16,29.6,20.5,20.47
2005-01-31,2005-01-20,13.2,25.0,24.79
2005-02-28,2005-02-17,23.9,17.0,16.79
2005-03-31,2005-03-17,11.4,20.0,19.38
2005-04-30,2005-04-21,25.3,10.0,11.1
2005-05-31,2005-05-19,7.3,17.3,16.12
2005-06-30,2005-06-16,-2.2,10.0,8.7
2005-07-31,2005-07-21,9.6,10.0,11.07
2005-08-31,2005-08-18,17.5,14.0,14.32
2005-09-30,2005-09-15,2.2,13.0,12.44
2005-10-31,2005-10-20,17.3,10.0,10.86
2005-11-30,2005-11-17,11.5,15.5,16.42
2005-12-31,2005-12-15,12.6,15.0,14.4
2006-01-31,2006-01-19,3.3,13.0,12.34
2006-02-28,2006-02-16,15.4,9.1,9.15
2006-03-31,2006-03-16,12.3,13.5,13.68
2006-04-30,2006-04-20,13.2,14.0,14.03
2006-05-31,2006-05-18,14.4,12.5,12.71
2006-06-30,2006-06-15,13.1,11.0,11.17
2006-07-31,2006-07-20,6.0,12.0,11.93
2006-08-31,2006-08-17,18.5,9.0,8.59
2006-09-30,2006-09-21,-0.4,14.0,14.17
2006-10-31,2006-10-19,-0.7,7.0,7.08
2006-11-30,2006-11-16,5.1,5.0,5.19
2006-12-31,2006-12-21,-4.3,4.0,4.09
2007-01-31,2007-01-18,8.3,3.1,3.43
2007-02-28,2007-02-15,0.6,4.05,4.54
2007-03-31,2007-03-15,0.2,4.0,3.71
2007-04-30,2007-04-19,0.2,2.0,2.29
2007-05-31,2007-05-17,4.2,3.5,3.64
2007-06-30,2007-06-21,18.0,7.0,7.59
2007-07-31,2007-07-19,9.2,13.75,13.49
2007-08-31,2007-08-16,0.0,8.6,8.4
2007-09-30,2007-09-20,10.9,2.55,2.43
2007-10-31,2007-10-18,6.8,7.0,7.44
2007-11-30,2007-11-15,8.2,5.0,4.84
2007-12-31,2007-12-20,-5.7,6.0,6.04
2008-01-31,2008-01-17,-20.9,-1.0,-0.77
