Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,2.6,,
2003-09-30,2003-09-30,15.3,,
2003-12-31,2003-12-31,14.4,,
2004-03-31,2004-03-31,0.7,,
2004-06-30,2004-06-30,16.9,,
2004-09-30,2004-09-30,6.5,,
2004-12-31,2004-12-31,8.6,,
2005-03-31,2005-03-31,11.7,,
2005-06-30,2005-06-30,-5.1,,
2005-09-30,2005-09-30,5.4,,
2005-12-31,2005-12-31,13.4,,
2006-03-31,2006-03-31,6.0,,
2006-06-30,2006-06-30,-2.3,,
2006-09-30,2006-09-30,-1.5,,
2006-12-31,2006-12-31,-7.2,,
2007-03-31,2007-03-31,-2.6,,
2007-06-30,2007-06-30,3.9,,
2007-09-30,2007-09-30,-4.5,,
2007-12-31,2007-12-31,-4.5,,
2008-03-31,2008-03-31,-10.5,,
2008-06-30,2008-06-30,-6.6,,
2008-09-30,2008-09-30,-7.7,,
2008-12-31,2008-12-31,-33.4,,
2009-03-31,2009-03-31,-38.3,,
2009-06-30,2009-06-30,-21.3,,
2009-09-30,2009-09-30,-1.2,,
2009-12-31,2009-12-31,42.9,,
2010-03-31,2010-03-31,8.9,,
2010-06-30,2010-06-30,22.7,,
2010-09-30,2010-09-30,19.0,,
2010-12-31,2010-12-31,-1.1,,
2011-03-31,2011-03-31,-7.2,,
2011-06-30,2011-06-30,17.4,,
2011-09-30,2011-09-30,1.8,,
2011-12-31,2011-12-31,34.6,,
2012-03-31,2012-03-31,9.2,,
2012-06-30,2012-06-30,9.3,,
2012-09-30,2012-09-30,1.1,,
2012-12-31,2012-12-31,-3.3,,
2013-03-31,2013-03-31,16.9,,
2013-06-30,2013-06-30,5.3,,
2013-09-30,2013-09-30,17.2,,
2013-12-31,2013-12-31,3.9,,
2014-03-31,2014-03-31,-3.9,,
2014-06-30,2014-06-30,17.5,,
2014-09-30,2014-09-30,9.5,,
2014-12-31,2014-12-31,1.3,,
2015-03-31,2015-03-31,14.7,,
2015-06-30,2015-06-30,1.6,,
2015-09-30,2015-09-30,0.9,,
2015-12-31,2015-12-31,-2.4,,
2016-03-31,2016-03-31,-1.7,,
2016-06-30,2016-06-30,-1.7,,
2016-09-30,2016-09-30,1.7,,
2016-12-31,2016-12-31,11.4,,
2017-03-31,2017-03-31,-1.1,,
2017-06-30,2017-06-30,6.4,,
2017-09-30,2017-09-30,6.8,,
2017-12-31,2017-12-31,7.7,,
2018-03-31,2018-03-31,6.2,,
2018-06-30,2018-06-30,-0.1,,
2018-09-30,2018-09-30,12.7,,
2018-12-31,2018-12-31,0.3,,
2019-03-31,2019-03-31,3.3,,
2019-06-30,2019-06-30,3.7,,
2019-09-30,2019-09-30,3.2,,
2019-12-31,2019-12-31,-5.1,,
2020-03-31,2020-03-31,-9.9,,
2020-06-30,2020-06-30,-45.1,,
2020-09-30,2020-09-30,97.1,,
2020-12-31,2020-12-31,13.0,,
2021-03-31,2021-03-31,-2.4,,
2021-06-30,2021-06-30,-6.4,,
2021-09-30,2021-09-30,16.3,,
2021-12-31,2021-12-31,28.3,,
2022-03-31,2022-03-31,7.4,,
2022-06-30,2022-06-30,-8.5,,
2022-09-30,2022-09-30,-5.7,,
2022-12-31,2022-12-31,5.8,,
2023-03-31,2023-03-31,-8.9,,
2023-06-30,2023-06-30,8.0,,
2023-09-30,2023-09-30,10.1,,
2023-12-31,2023-12-31,0.7,,
2024-03-31,2024-03-31,3.6,,
2024-06-30,2024-06-30,8.3,,
2024-09-30,2024-09-30,0.8,,
2024-12-31,2024-12-31,-5.6,,
2025-03-31,2025-03-31,24.4,,
