Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,1089890.0,,
2003-07-31,2003-07-31,1098175.0,,
2003-08-31,2003-08-31,1097724.0,,
2003-09-30,2003-09-30,1102189.0,,
2003-10-31,2003-10-31,1104794.0,,
2003-11-30,2003-11-30,1109066.0,,
2003-12-31,2003-12-31,1105930.0,,
2004-01-31,2004-01-31,1100415.0,,
2004-02-29,2004-02-29,1108947.0,,
2004-03-31,2004-03-31,1134983.0,,
2004-04-30,2004-04-30,1122891.0,,
2004-05-31,2004-05-31,1126018.0,,
2004-06-30,2004-06-30,1124971.0,,
2004-07-31,2004-07-31,1126633.0,,
2004-08-31,2004-08-31,1136416.0,,
2004-09-30,2004-09-30,1141076.0,,
2004-10-31,2004-10-31,1143491.0,,
2004-11-30,2004-11-30,1145583.0,,
2004-12-31,2004-12-31,1163441.0,,
2005-01-31,2005-01-31,1167649.0,,
2005-02-28,2005-02-28,1168023.0,,
2005-03-31,2005-03-31,1160056.0,,
2005-04-30,2005-04-30,1177581.0,,
2005-05-31,2005-05-31,1175330.0,,
2005-06-30,2005-06-30,1186461.0,,
2005-07-31,2005-07-31,1185681.0,,
2005-08-31,2005-08-31,1188599.0,,
2005-09-30,2005-09-30,1182865.0,,
2005-10-31,2005-10-31,1182725.0,,
2005-11-30,2005-11-30,1198972.0,,
2005-12-31,2005-12-31,1205870.0,,
2006-01-31,2006-01-31,1212206.0,,
2006-02-28,2006-02-28,1215079.0,,
2006-03-31,2006-03-31,1217128.0,,
2006-04-30,2006-04-30,1205627.0,,
2006-05-31,2006-05-31,1215535.0,,
2006-06-30,2006-06-30,1212189.0,,
2006-07-31,2006-07-31,1206927.0,,
2006-08-31,2006-08-31,1213695.0,,
2006-09-30,2006-09-30,1213475.0,,
2006-10-31,2006-10-31,1214355.0,,
2006-11-30,2006-11-30,1215059.0,,
2006-12-31,2006-12-31,1234494.0,,
2007-01-31,2007-01-31,1226965.0,,
2007-02-28,2007-02-28,1234327.0,,
2007-03-31,2007-03-31,1235875.0,,
2007-04-30,2007-04-30,1233744.0,,
2007-05-31,2007-05-31,1242000.0,,
2007-06-30,2007-06-30,1240587.0,,
2007-07-31,2007-07-31,1233195.0,,
2007-08-31,2007-08-31,1248674.0,,
2007-09-30,2007-09-30,1249279.0,,
2007-10-31,2007-10-31,1255916.0,,
2007-11-30,2007-11-30,1252867.0,,
2007-12-31,2007-12-31,1242662.0,,
2008-01-31,2008-01-31,1248910.0,,
2008-02-29,2008-02-29,1236974.0,,
2008-03-31,2008-03-31,1220580.0,,
2008-04-30,2008-04-30,1233018.0,,
2008-05-31,2008-05-31,1224494.0,,
2008-06-30,2008-06-30,1222857.0,,
2008-07-31,2008-07-31,1201769.0,,
2008-08-31,2008-08-31,1192943.0,,
2008-09-30,2008-09-30,1163601.0,,
2008-10-31,2008-10-31,1152758.0,,
2008-11-30,2008-11-30,1121305.0,,
2008-12-31,2008-12-31,1115214.0,,
2009-01-31,2009-01-31,1091570.0,,
2009-02-28,2009-02-28,1098345.0,,
2009-03-31,2009-03-31,1075682.0,,
2009-04-30,2009-04-30,1067305.0,,
2009-05-31,2009-05-31,1067765.0,,
2009-06-30,2009-06-30,1066077.0,,
2009-07-31,2009-07-31,1081824.0,,
2009-08-31,2009-08-31,1082444.0,,
2009-09-30,2009-09-30,1083725.0,,
2009-10-31,2009-10-31,1089060.0,,
2009-11-30,2009-11-30,1097236.0,,
2009-12-31,2009-12-31,1100924.0,,
2010-01-31,2010-01-31,1097775.0,,
2010-02-28,2010-02-28,1105025.0,,
2010-03-31,2010-03-31,1119036.0,,
2010-04-30,2010-04-30,1129045.0,,
2010-05-31,2010-05-31,1125510.0,,
2010-06-30,2010-06-30,1136355.0,,
2010-07-31,2010-07-31,1145984.0,,
2010-08-31,2010-08-31,1146566.0,,
2010-09-30,2010-09-30,1146388.0,,
2010-10-31,2010-10-31,1152306.0,,
2010-11-30,2010-11-30,1155595.0,,
2010-12-31,2010-12-31,1157650.0,,
2011-01-31,2011-01-31,1171839.0,,
2011-02-28,2011-02-28,1155055.0,,
2011-03-31,2011-03-31,1168286.0,,
2011-04-30,2011-04-30,1164024.0,,
2011-05-31,2011-05-31,1154888.0,,
2011-06-30,2011-06-30,1166558.0,,
2011-07-31,2011-07-31,1171851.0,,
2011-08-31,2011-08-31,1180548.0,,
2011-09-30,2011-09-30,1172878.0,,
2011-10-31,2011-10-31,1187685.0,,
2011-11-30,2011-11-30,1183388.0,,
2011-12-31,2011-12-31,1193759.0,,
2012-01-31,2012-01-31,1200818.0,,
2012-02-29,2012-02-29,1205143.0,,
2012-03-31,2012-03-31,1204027.0,,
2012-04-30,2012-04-30,1207954.0,,
2012-05-31,2012-05-31,1211617.0,,
2012-06-30,2012-06-30,1208240.0,,
2012-07-31,2012-07-31,1210539.0,,
2012-08-31,2012-08-31,1209461.0,,
2012-09-30,2012-09-30,1211283.0,,
2012-10-31,2012-10-31,1206602.0,,
2012-11-30,2012-11-30,1228837.0,,
2012-12-31,2012-12-31,1233388.0,,
2013-01-31,2013-01-31,1237216.0,,
2013-02-28,2013-02-28,1242279.0,,
2013-03-31,2013-03-31,1235591.0,,
2013-04-30,2013-04-30,1233842.0,,
2013-05-31,2013-05-31,1247803.0,,
2013-06-30,2013-06-30,1243929.0,,
2013-07-31,2013-07-31,1244157.0,,
2013-08-31,2013-08-31,1249320.0,,
2013-09-30,2013-09-30,1253661.0,,
2013-10-31,2013-10-31,1260475.0,,
2013-11-30,2013-11-30,1275801.0,,
2013-12-31,2013-12-31,1270949.0,,
2014-01-31,2014-01-31,1258055.0,,
2014-02-28,2014-02-28,1268722.0,,
2014-03-31,2014-03-31,1279006.0,,
2014-04-30,2014-04-30,1280443.0,,
2014-05-31,2014-05-31,1283964.0,,
2014-06-30,2014-06-30,1283791.0,,
2014-07-31,2014-07-31,1291656.0,,
2014-08-31,2014-08-31,1294102.0,,
2014-09-30,2014-09-30,1293829.0,,
2014-10-31,2014-10-31,1295747.0,,
2014-11-30,2014-11-30,1298950.0,,
2014-12-31,2014-12-31,1306392.0,,
2015-01-31,2015-01-31,1308978.0,,
2015-02-28,2015-02-28,1303724.0,,
2015-03-31,2015-03-31,1310961.0,,
2015-04-30,2015-04-30,1321167.0,,
2015-05-31,2015-05-31,1307579.0,,
2015-06-30,2015-06-30,1309833.0,,
2015-07-31,2015-07-31,1313431.0,,
2015-08-31,2015-08-31,1315072.0,,
2015-09-30,2015-09-30,1327948.0,,
2015-10-31,2015-10-31,1325144.0,,
2015-11-30,2015-11-30,1322511.0,,
2015-12-31,2015-12-31,1320606.0,,
2016-01-31,2016-01-31,1321509.0,,
2016-02-29,2016-02-29,1332078.0,,
2016-03-31,2016-03-31,1332612.0,,
2016-04-30,2016-04-30,1331387.0,,
2016-05-31,2016-05-31,1323914.0,,
2016-06-30,2016-06-30,1331850.0,,
2016-07-31,2016-07-31,1330786.0,,
2016-08-31,2016-08-31,1340941.0,,
2016-09-30,2016-09-30,1342844.0,,
2016-10-31,2016-10-31,1344497.0,,
2016-11-30,2016-11-30,1345017.0,,
2016-12-31,2016-12-31,1361415.0,,
2017-01-31,2017-01-31,1365202.0,,
