Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,1.845,,
2003-07-31,2003-07-31,1.724,,
2003-08-31,2003-08-31,1.7,,
2003-09-30,2003-09-30,1.647,,
2003-10-31,2003-10-31,1.702,,
2003-11-30,2003-11-30,1.63,,
2003-12-31,2003-12-31,1.603,,
2004-01-31,2004-01-31,1.737,,
2004-02-29,2004-02-29,1.637,,
2004-03-31,2004-03-31,1.665,,
2004-04-30,2004-04-30,1.585,,
2004-05-31,2004-05-31,1.679,,
2004-06-30,2004-06-30,1.739,,
2004-07-31,2004-07-31,1.544,,
2004-08-31,2004-08-31,1.625,,
2004-09-30,2004-09-30,1.611,,
2004-10-31,2004-10-31,1.622,,
2004-11-30,2004-11-30,1.556,,
2004-12-31,2004-12-31,1.563,,
2005-01-31,2005-01-31,1.572,,
2005-02-28,2005-02-28,1.622,,
2005-03-31,2005-03-31,1.618,,
2005-04-30,2005-04-30,1.593,,
2005-05-31,2005-05-31,1.605,,
2005-06-30,2005-06-30,1.581,,
2005-07-31,2005-07-31,1.611,,
2005-08-31,2005-08-31,1.612,,
2005-09-30,2005-09-30,1.578,,
2005-10-31,2005-10-31,1.558,,
2005-11-30,2005-11-30,1.633,,
2005-12-31,2005-12-31,1.574,,
2006-01-31,2006-01-31,1.505,,
2006-02-28,2006-02-28,1.537,,
2006-03-31,2006-03-31,1.442,,
2006-04-30,2006-04-30,1.44,,
2006-05-31,2006-05-31,1.413,,
2006-06-30,2006-06-30,1.429,,
2006-07-31,2006-07-31,1.567,,
2006-08-31,2006-08-31,1.499,,
2006-09-30,2006-09-30,1.509,,
2006-10-31,2006-10-31,1.483,,
2006-11-30,2006-11-30,1.473,,
2006-12-31,2006-12-31,1.416,,
2007-01-31,2007-01-31,1.436,,
2007-02-28,2007-02-28,1.361,,
2007-03-31,2007-03-31,1.409,,
2007-04-30,2007-04-30,1.418,,
2007-05-31,2007-05-31,1.412,,
2007-06-30,2007-06-30,1.381,,
2007-07-31,2007-07-31,1.342,,
2007-08-31,2007-08-31,1.34,,
2007-09-30,2007-09-30,1.413,,
2007-10-31,2007-10-31,1.362,,
2007-11-30,2007-11-30,1.406,,
2007-12-31,2007-12-31,1.516,,
2008-01-31,2008-01-31,1.43,,
2008-02-29,2008-02-29,1.386,,
2008-03-31,2008-03-31,1.378,,
2008-04-30,2008-04-30,1.378,,
2008-05-31,2008-05-31,1.616,,
2008-06-30,2008-06-30,1.641,,
2008-07-31,2008-07-31,1.723,,
2008-08-31,2008-08-31,1.717,,
2008-09-30,2008-09-30,1.681,,
2008-10-31,2008-10-31,1.694,,
2008-11-30,2008-11-30,1.741,,
2008-12-31,2008-12-31,1.827,,
2009-01-31,2009-01-31,1.82,,
2009-02-28,2009-02-28,1.902,,
2009-03-31,2009-03-31,1.965,,
2009-04-30,2009-04-30,2.011,,
2009-05-31,2009-05-31,2.069,,
2009-06-30,2009-06-30,2.153,,
2009-07-31,2009-07-31,2.11,,
2009-08-31,2009-08-31,2.127,,
2009-09-30,2009-09-30,2.121,,
2009-10-31,2009-10-31,2.218,,
2009-11-30,2009-11-30,2.103,,
2009-12-31,2009-12-31,2.202,,
2010-01-31,2010-01-31,2.378,,
2010-02-28,2010-02-28,2.257,,
2010-03-31,2010-03-31,2.333,,
2010-04-30,2010-04-30,2.439,,
2010-05-31,2010-05-31,2.199,,
